t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.27432843276056024,0.2521634318217697,train
1,0.1,0.4260304276817825,0.38842080584895555,train
2,0.1,0.41038757756067296,0.367784174854591,train
3,0.2,0.4825787678859459,0.43951139935738864,train
4,0.2,0.5473060517433253,0.4997575828741379,train
5,0.6,0.6580796881532482,0.612457628171962,train
6,0.7,0.794812261932248,0.7512702638464486,train
7,0.6,0.9735333960030412,0.9409209109595326,train
8,0.9,1.1816943692603257,1.1655215053732133,train
9,1.3,1.4083047244476876,1.4170132764356689,train
10,1.7,1.6213851757266504,1.6541824429847443,train
11,2.7,1.7875823142195966,1.8351531088835296,train
12,2.2,1.8819084418020668,1.926041724026442,train
13,1.8,1.9073161404367278,1.935717829957935,train
14,1.7,1.8872239163479738,1.8999036358249228,train
15,1.4,1.846602851488681,1.8519030810804094,train
16,1.9,1.798035056407432,1.8033504321674352,train
17,1.9,1.7433842623049396,1.75221514062821,train
18,1.7,1.679858736192383,1.692382301756473,train
19,1.7,1.6044451133114404,1.6194012446704675,train
20,1.7,1.5153901674614507,1.5311317829144524,train
21,1.5,1.4123721203193518,1.4272637600508757,train
22,1.6,1.2963600604122354,1.3087704723946758,train
23,1.1,1.1695706918684363,1.1778939374879074,train
24,1.2,1.0354251643250798,1.0382347274336816,train
25,0.7,0.8983430870113008,0.8946559471233826,train
26,0.7,0.7632909152117507,0.7528178830429619,train
27,0.4,0.6351438851360259,0.6184068079901618,train
28,0.3,0.5180238222956304,0.49627480186407474,train
29,0.2,0.41479910155646493,0.3897635816171232,train
30,0.1,0.3268707155031596,0.30040636941759646,train
31,0.2,0.2542595058745103,0.22804276459539416,validation
32,0.2,0.19591278093357084,0.17123272434514997,validation
33,0.1,0.15010464072064575,0.12778778333150206,validation
34,0.0,0.11481691638661838,0.09525898580576152,validation
35,0.1,0.08803243526447808,0.07129158833421395,validation
36,0.1,0.06792012070311979,0.053828185550964074,validation
37,0.0,0.05292438238093176,0.04118712502268302,validation
38,0.1,0.04178569196011238,0.03205889042900787,validation
39,0.0,0.03352005531783821,0.02545958639301021,validation
40,0.0,0.027379161313946892,0.020669301434964503,validation
41,0.0,0.022805496112506207,0.01717152700041828,test
42,0.0,0.01939035007382601,0.014601148917283212,test
43,0.0,0.01683822839256683,0.012703208230074316,test
44,0.0,0.01493854764687897,0.01130189952156218,test
45,0.0,0.013544170778281425,0.010278191723223428,test
46,0.0,0.012555821479071916,0.009554271508311667,test
47,0.0,0.011911368795563261,0.009083244727817338,test
48,0.0,0.011579162189314181,0.008842928273033592,test
49,0.0,0.011554911891327287,0.008833011659528451,test
50,0.0,0.011862010011134305,0.00907534326173228,test
51,0.0,0.012555685989362221,0.009617634002871264,test
