origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.2,0.4746039080580096,0.2746039080580096,0.2746039080580096
32,32,1,0.2,0.40641814292652867,0.20641814292652866,0.20641814292652866
33,33,1,0.1,0.3524688144129696,0.25246881441296964,0.25246881441296964
34,34,1,0.0,0.30168682796737567,0.30168682796737567,0.30168682796737567
35,35,1,0.1,0.2548791068447243,0.1548791068447243,0.1548791068447243
36,36,1,0.1,0.2228760024809219,0.1228760024809219,0.1228760024809219
37,37,1,0.0,0.1966223876202424,0.1966223876202424,0.1966223876202424
38,38,1,0.1,0.03258306328940252,-0.06741693671059748,0.06741693671059748
39,39,1,0.0,0.0260868697894374,0.0260868697894374,0.0260868697894374
40,40,1,0.0,0.020376420566887776,0.020376420566887776,0.020376420566887776
41,41,1,0.0,0.016222043188155007,0.016222043188155007,0.016222043188155007
42,42,1,0.0,0.013167172280267163,0.013167172280267163,0.013167172280267163
43,43,1,0.0,0.01093296674764096,0.01093296674764096,0.01093296674764096
44,44,1,0.0,0.009340390971058684,0.009340390971058684,0.009340390971058684
45,45,1,0.0,0.008219767193256563,0.008219767193256563,0.008219767193256563
46,46,1,0.0,0.007495767558027634,0.007495767558027634,0.007495767558027634
47,47,1,0.0,0.007077202574553286,0.007077202574553286,0.007077202574553286
48,48,1,0.0,0.006953138617147901,0.006953138617147901,0.006953138617147901
49,49,1,0.0,0.007122513997060552,0.007122513997060552,0.007122513997060552
50,50,1,0.0,0.007621237841827923,0.007621237841827923,0.007621237841827923
51,51,1,0.0,0.008489881034842028,0.008489881034842028,0.008489881034842028
31,32,2,0.2,0.4331029662070004,0.23310296620700038,0.23310296620700038
32,33,2,0.1,0.3694373022292631,0.2694373022292631,0.2694373022292631
33,34,2,0.0,0.09960399706609192,0.09960399706609192,0.09960399706609192
34,35,2,0.1,0.07388264649164301,-0.02611735350835699,0.02611735350835699
35,36,2,0.1,0.05258179336144865,-0.047418206638551355,0.047418206638551355
36,37,2,0.0,0.0405524370845695,0.0405524370845695,0.0405524370845695
37,38,2,0.1,0.031888988262778424,-0.06811101173722159,0.06811101173722159
38,39,2,0.0,0.024200063731919,0.024200063731919,0.024200063731919
39,40,2,0.0,0.01964051820038895,0.01964051820038895,0.01964051820038895
40,41,2,0.0,0.015544218632905919,0.015544218632905919,0.015544218632905919
41,42,2,0.0,0.012575189953953805,0.012575189953953805,0.012575189953953805
42,43,2,0.0,0.01041529554512336,0.01041529554512336,0.01041529554512336
43,44,2,0.0,0.008881596790633266,0.008881596790633266,0.008881596790633266
44,45,2,0.0,0.007804387982746244,0.007804387982746244,0.007804387982746244
45,46,2,0.0,0.007091277616617917,0.007091277616617917,0.007091277616617917
46,47,2,0.0,0.00669983232388786,0.00669983232388786,0.00669983232388786
47,48,2,0.0,0.0065821356904310945,0.0065821356904310945,0.0065821356904310945
48,49,2,0.0,0.0067596512158283415,0.0067596512158283415,0.0067596512158283415
49,50,2,0.0,0.007236816027128241,0.007236816027128241,0.007236816027128241
50,51,2,0.0,0.008089553349914427,0.008089553349914427,0.008089553349914427
31,34,4,0.0,0.09295452432908907,0.09295452432908907,0.09295452432908907
32,35,4,0.1,0.0684035239000036,-0.03159647609999641,0.03159647609999641
33,36,4,0.1,0.053158811552202694,-0.04684118844779731,0.04684118844779731
34,37,4,0.0,0.03931124801000329,0.03931124801000329,0.03931124801000329
35,38,4,0.1,0.027718290973414664,-0.07228170902658534,0.07228170902658534
36,39,4,0.0,0.02182734049643905,0.02182734049643905,0.02182734049643905
37,40,4,0.0,0.017585486838536526,0.017585486838536526,0.017585486838536526
38,41,4,0.0,0.01363262154448672,0.01363262154448672,0.01363262154448672
39,42,4,0.0,0.01150615479138772,0.01150615479138772,0.01150615479138772
40,43,4,0.0,0.009449448099592228,0.009449448099592228,0.009449448099592228
41,44,4,0.0,0.007996874990882703,0.007996874990882703,0.007996874990882703
42,45,4,0.0,0.006986464464739516,0.006986464464739516,0.006986464464739516
43,46,4,0.0,0.006341000922182955,0.006341000922182955,0.006341000922182955
44,47,4,0.0,0.005971159364551726,0.005971159364551726,0.005971159364551726
45,48,4,0.0,0.005870358558080001,0.005870358558080001,0.005870358558080001
46,49,4,0.0,0.00602747356655258,0.00602747356655258,0.00602747356655258
47,50,4,0.0,0.006462095378192237,0.006462095378192237,0.006462095378192237
48,51,4,0.0,0.007248376270728927,0.007248376270728927,0.007248376270728927
