t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.7,1.154337324819545,1.1545200079797364,train
1,0.7,0.8133360490757832,0.8082948068956892,train
2,0.6,0.7422664429116815,0.7359951536013429,train
3,0.5,0.7521441168188191,0.7435032352601323,train
4,1.1,0.8958463246840168,0.8853183363842987,train
5,1.6,1.1507672798921622,1.1362790190424727,train
6,2.1,1.6837198651131364,1.6651253680966887,train
7,3.4,2.561006157756018,2.5345556726463885,train
8,5.4,4.2782878992386815,4.246106356625956,train
9,7.6,7.058134094155517,7.017110761703575,train
10,10.6,12.046086259252462,12.020290812978478,train
11,17.4,18.159200867461138,18.156825813632846,train
12,25.3,23.969220034114315,24.039182846764625,train
13,19.3,20.066429630802144,20.04766913767864,train
14,14.8,14.450522475297682,14.422660036740368,train
15,12.0,11.947441599423737,11.940092180700281,train
16,10.2,10.570001016828968,10.571620613743148,train
17,9.6,9.920207165625511,9.931184922495278,train
18,9.4,9.295605884723678,9.306716763640075,train
19,9.0,8.987480598665776,9.002615145176408,train
20,9.2,8.432712466555616,8.443218601784986,train
21,9.5,8.093824021889816,8.104951030752495,train
22,7.2,7.404583799012757,7.408320338367333,train
23,6.1,6.889082478299338,6.88990803139319,train
24,4.8,6.010224610659852,6.00197236961895,train
25,5.0,5.272033555886337,5.257634250618595,train
26,4.4,4.279160188309784,4.257491981488346,train
27,3.6,3.4572779904472033,3.43202401494221,train
28,2.7,2.613382821420694,2.5888282180769617,train
29,2.0,1.9956917482995888,1.9743418097578471,train
30,1.5,1.4942391709854856,1.4780809698949635,train
31,1.3,1.1573038867685361,1.1452659653888178,validation
32,0.8,0.910504795508337,0.9019641309996075,validation
33,0.9,0.7408871440528754,0.7346116239526406,validation
34,0.9,0.6160943955704178,0.6114545987802653,validation
35,0.5,0.5244013208086991,0.5208282788070907,validation
36,0.5,0.453980219674205,0.451160037181712,validation
37,0.8,0.39895853449595997,0.39665892742871156,validation
38,0.4,0.3547628504363974,0.35284118636029527,validation
39,0.5,0.31863275639921534,0.31698850725108346,validation
40,0.6,0.28856132132698564,0.28712699437669686,validation
41,0.4,0.26318948365829886,0.26191656740581726,test
42,0.2,0.24152544471112977,0.2403787450394865,test
43,0.2,0.2228534408665465,0.2218061046366754,test
44,0.4,0.20664339272815221,0.20567402525426437,test
45,0.3,0.19250750612146175,0.19159785211410446,test
46,0.2,0.18017103179463484,0.17930414317266002,test
47,0.3,0.1694629259424826,0.16862135823916996,test
48,0.3,0.16032352837348496,0.15948733714704397,test
49,0.3,0.15283599408667664,0.15198026391160008,test
50,0.4,0.14729181717485623,0.14638357352176612,test
51,0.0,0.14430799093019947,0.143302583979253,test
