round,repeat,record_key,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score_policy,score_formula,score,score_used_val_mae,score_used_multi_split,score_used_stability,score_used_complexity,score_used_age_prior,params
2,,SEIRS|fractional=1|obs=I,SEIRS|fractional=1|obs=I,SEIRS,True,I,0,infectious,10,4,0.7001439136140776,0.49639375389207757,0.6488559819657793,0.20966236488692727,0.2505838237685167,0.37369510989211585,0.21983510876500856,0.2609292832624714,3,0.21654671010455173,0.05242530969002171,0.026212654845010855,0.13887715640554985,"{'1': {'mae': 0.18714462853543332, 'rmse': 0.22935473810920406, 'smape': 0.3152012170398886}, '2': {'mae': 0.1835118671051057, 'rmse': 0.23022152266057827, 'smape': 0.3331749038517192}, '4': {'mae': 0.28884883065448663, 'rmse': 0.3232115890176318, 'smape': 0.6049268011153874}}",0.027775431281109972,0.20500000000000002,0.1,0.08,0.015,0.0,0.0,0.0,0.01,-0.0075,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.46803479623067257,False,True,True,True,True,"{'b0': -0.7816874879057938, 'b1': 4.674530231409232, 'b2': -0.1415880850101566, 'sigma': 0.969898072807059, 'gamma': 0.6071436093757213, 'omega': 0.12864795764909026, 'rho': 64.96459410601739, 'alpha': 0.8776077757261201, 'S0': 0.9767383953067142, 'E0': 0.005580408694846656, 'I0': 0.017681195998439037, 'R0': 0.0, 'fractional': 1.0}"
3,,SEIRS|fractional=1|obs=delayed_I|delay=2,SEIRS|fractional=1|obs=delayed_I|delay=2,SEIRS,True,delayed_I,2,delayed,10,4,0.7350144459758732,0.5057235001091758,0.6675113242548854,0.13646161901325563,0.17881096906295646,0.2263189669481084,0.26385916033659346,0.36302818015153676,3,0.2588776702403097,0.11692915209614274,0.05846457604807137,0.24319816821991877,"{'1': {'mae': 0.3507540681543337, 'rmse': 0.5581643209743518, 'smape': 0.431877764874472}, '2': {'mae': 0.20479635371593746, 'rmse': 0.2523273488311353, 'smape': 0.3887033280562512}, '4': {'mae': 0.23602705913950922, 'rmse': 0.2785928706491233, 'smape': 0.4754488262271986}}",0.04863963364398376,0.21500000000000002,0.1,0.08,0.015,0.0,0.0,0.01,0.01,-0.0075,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.573481879932365,False,True,True,True,True,"{'b0': -0.052119121195733746, 'b1': 4.316215973049519, 'b2': 0.7550990752697767, 'sigma': 0.988174061112446, 'gamma': 0.7689797627960471, 'omega': 0.11400663249658682, 'rho': 78.60750450471424, 'alpha': 0.8311991573658364, 'S0': 0.9862640092379202, 'E0': 0.0063720380133932735, 'I0': 0.0073639527486866205, 'R0': 0.0, 'fractional': 1.0}"
3,,SEIRS|fractional=1|obs=delayed_I|delay=1,SEIRS|fractional=1|obs=delayed_I|delay=1,SEIRS,True,delayed_I,1,delayed,10,4,0.6827932999167574,0.4789446391237906,0.6396406588892916,0.26267453408121316,0.29955651602724176,0.5001797386876856,0.29807816825564504,0.3894149479030795,3,0.29395278194412056,0.10398271572524473,0.051991357862622364,0.241923616770966,"{'1': {'mae': 0.37503093190318265, 'rmse': 0.570284655702123, 'smape': 0.5062414404945752}, '2': {'mae': 0.24440503620656825, 'rmse': 0.2862648236469956, 'smape': 0.48696823906392095}, '4': {'mae': 0.2747985366571843, 'rmse': 0.31169536436011996, 'smape': 0.5828802288828114}}",0.0483847233541932,0.21000000000000002,0.1,0.08,0.015,0.0,0.0,0.005,0.01,-0.0075,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.5968288631609362,False,True,True,True,True,"{'b0': -1.250093869303541, 'b1': 4.786375361264928, 'b2': 0.4713286985999441, 'sigma': 0.9836633784478047, 'gamma': 0.49504728168861317, 'omega': 0.13169458594199285, 'rho': 55.54050686197736, 'alpha': 0.910780351627249, 'S0': 0.9745802181047384, 'E0': 0.010843563212145146, 'I0': 0.014576218683116331, 'R0': 0.0, 'fractional': 1.0}"
3,,SEIRS|fractional=1|obs=delayed_I|delay=3,SEIRS|fractional=1|obs=delayed_I|delay=3,SEIRS,True,delayed_I,3,delayed,10,4,0.6751758992401018,0.4659007822921967,0.6322224052732347,0.25624798959492473,0.2941215949199892,0.48564759514388667,0.3032577879827399,0.3972379703872104,3,0.29458742233825735,0.10501949219763478,0.05250974609881739,0.25078189792443667,"{'1': {'mae': 0.24204811526594874, 'rmse': 0.2822099147207214, 'smape': 0.4443370225376987}, '2': {'mae': 0.2403590221909704, 'rmse': 0.2825181673305103, 'smape': 0.47512161474899567}, '4': {'mae': 0.4273662264913006, 'rmse': 0.6269858291103996, 'smape': 0.6185093470177855}}",0.050156379584887334,0.22000000000000003,0.1,0.08,0.015,0.0,0.0,0.015,0.01,-0.0075,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6097535480219621,False,True,True,True,True,"{'b0': -1.3272208850262848, 'b1': 4.642841238024527, 'b2': 1.5751551668189956, 'sigma': 0.983333210809902, 'gamma': 0.4913581562124788, 'omega': 0.1299260902068632, 'rho': 55.097317827395194, 'alpha': 0.9099608432248192, 'S0': 0.9730239189830439, 'E0': 0.012391807986737943, 'I0': 0.014584273030218345, 'R0': 0.0, 'fractional': 1.0}"
1,,SEIR|fractional=0|obs=I,SEIR|fractional=0|obs=I,SEIR,False,I,0,infectious,8,4,1.8731278252991608,0.8838436958177279,1.296909132224258,0.437180870775281,0.5085368543129618,0.4549339757253602,0.3543839091426273,0.42518803625556173,3,0.3349867023218825,0.17596775053528024,0.08798387526764012,0.23476070499791246,"{'1': {'mae': 0.3978428380418544, 'rmse': 0.4746116142577943, 'smape': 0.4190319212720205}, '2': {'mae': 0.3581251827000499, 'rmse': 0.4241562789814659, 'smape': 0.41588493455878267}, '4': {'mae': 0.30718370668597755, 'rmse': 0.3767962155274248, 'smape': 0.4019387772852366}}",0.046952140999582496,0.16,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6299227185891051,False,True,True,True,True,"{'b0': 1.327498268004457, 'b1': 2.012591171480433, 'b2': -2.6261155350176764, 'sigma': 0.9963413166338396, 'gamma': 0.11931420233334498, 'rho': 27.67058175266594, 'S0': 0.9674118640319443, 'E0': 0.014875325260480464, 'I0': 0.01771281070757528, 'R0': 0.0, 'fractional': 0.0}"
1,,SEIRS|fractional=0|obs=I,SEIRS|fractional=0|obs=I,SEIRS,False,I,0,infectious,9,4,0.8068637830928151,0.5666904212446526,0.7333352391301448,0.42356239800545453,0.44928295959893155,1.0277657263256301,0.4052296218294926,0.4327617285771865,3,0.41285048690060827,0.06019812887858253,0.030099064439291265,0.15188813163124223,"{'1': {'mae': 0.4031045294903507, 'rmse': 0.4305025817406756, 'smape': 0.950275158393217}, '2': {'mae': 0.4099492263047624, 'rmse': 0.4383892539586227, 'smape': 1.0317610979126006}, '4': {'mae': 0.4026351096933648, 'rmse': 0.42939335003226103, 'smape': 1.1445727416725422}}",0.03037762632624845,0.18,0.09,0.08,0.0,0.0,0.0,0.0,0.01,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.648327177666148,False,True,True,True,True,"{'b0': -2.0978218561664326, 'b1': 4.996285905678401, 'b2': 0.29469641374178174, 'sigma': 0.9814393859468875, 'gamma': 0.30052570108841564, 'omega': 0.13871412200615932, 'rho': 39.6413264258676, 'S0': 0.9686697048950388, 'E0': 0.013969254620863741, 'I0': 0.01736104048409752, 'R0': 0.0, 'fractional': 0.0}"
1,,SEIR|fractional=0|obs=delayed_I|delay=1,SEIR|fractional=0|obs=delayed_I|delay=1,SEIR,False,delayed_I,1,delayed,8,4,1.8686726893210701,0.881721508870208,1.296695113416492,0.4373022210924196,0.5086524842417761,0.45503712562314635,0.3606565242140783,0.4367753930974367,3,0.3417025020723876,0.18505769331922517,0.09252884665961258,0.2462615699522905,"{'1': {'mae': 0.3979799205495115, 'rmse': 0.47474955883430664, 'smape': 0.41914648230846685}, '2': {'mae': 0.3827442763637558, 'rmse': 0.4671655486449359, 'smape': 0.4298559184856022}, '4': {'mae': 0.3012453757289677, 'rmse': 0.36841107181306737, 'smape': 0.3975966666511929}}",0.0492523139904581,0.165,0.08,0.08,0.0,0.0,0.0,0.005,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6484836627224583,False,True,True,True,True,"{'b0': 1.423334151047283, 'b1': 2.2312397629455116, 'b2': -2.432967132201531, 'sigma': 0.9963467252663888, 'gamma': 0.1193095234513207, 'rho': 27.587844297446924, 'S0': 0.964266626505487, 'E0': 0.015449199489430904, 'I0': 0.020284174005082187, 'R0': 0.0, 'fractional': 0.0}"
1,,SEIR|fractional=0|obs=delayed_I|delay=2,SEIR|fractional=0|obs=delayed_I|delay=2,SEIR,False,delayed_I,2,delayed,8,4,1.8604651405813046,0.8684154447932041,1.2960106975878871,0.4376966227279673,0.5090256360462512,0.45537444960894524,0.3609725571802211,0.4371085985082859,3,0.3420092999199453,0.18519233700919419,0.09259616850459709,0.24638974251425658,"{'1': {'mae': 0.3983248035840428, 'rmse': 0.4751159586401668, 'smape': 0.41941341830015294}, '2': {'mae': 0.38308127076811066, 'rmse': 0.46752575919623207, 'smape': 0.43013055651712123}, '4': {'mae': 0.30151159718850984, 'rmse': 0.36868407768845884, 'smape': 0.3978541771471045}}",0.04927794850285132,0.17,0.08,0.08,0.0,0.0,0.0,0.01,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6538834169273937,False,True,True,True,True,"{'b0': 1.5029129156624284, 'b1': 2.4389820366322423, 'b2': -2.2046190988060896, 'sigma': 0.9963357217237505, 'gamma': 0.11929241046481236, 'rho': 27.492829131465676, 'S0': 0.9588860858016793, 'E0': 0.01831203675432199, 'I0': 0.022801877443998666, 'R0': 0.0, 'fractional': 0.0}"
2,,SEIRS|fractional=0|obs=delayed_I|delay=2,SEIRS|fractional=0|obs=delayed_I|delay=2,SEIRS,False,delayed_I,2,delayed,9,4,0.8084879896921158,0.5505303021984684,0.7281549773233077,0.41852374847608437,0.44480280452121057,1.01228952921543,0.41469027163436456,0.4419377093468224,3,0.41915717710535616,0.043344390686056035,0.021672195343028017,0.15215883109224762,"{'1': {'mae': 0.39841277388478613, 'rmse': 0.4263979299048433, 'smape': 0.936793508729869}, '2': {'mae': 0.4019592586231705, 'rmse': 0.43339804781527114, 'smape': 1.012029011052181}, '4': {'mae': 0.44369878239513716, 'rmse': 0.4660171503203528, 'smape': 1.2125537706039309}}",0.030431766218449525,0.19,0.09,0.08,0.0,0.0,0.0,0.01,0.01,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6562611386668337,False,True,True,True,True,"{'b0': -2.2307262030141426, 'b1': 4.965333959688773, 'b2': 1.4434411824520388, 'sigma': 0.9797712136601558, 'gamma': 0.2968528152062478, 'omega': 0.13594146146925917, 'rho': 39.330393253404196, 'S0': 0.9686355876054404, 'E0': 0.013727996269725606, 'I0': 0.017636416124834034, 'R0': 0.0, 'fractional': 0.0}"
2,,SEIRS|fractional=0|obs=delayed_I|delay=3,SEIRS|fractional=0|obs=delayed_I|delay=3,SEIRS,False,delayed_I,3,delayed,9,4,0.7869090307322291,0.535252625750339,0.712031724744617,0.4222829154697571,0.447968153060361,1.0213627233996292,0.4199333813265988,0.4461994770922551,3,0.42397906954883335,0.03982145231694745,0.019910726158473724,0.150479855201507,"{'1': {'mae': 0.40216432762249144, 'rmse': 0.42957292542310194, 'smape': 0.9458533812209973}, '2': {'mae': 0.4085459963799927, 'rmse': 0.4370135175910741, 'smape': 1.0260895716823804}, '4': {'mae': 0.44908981997731207, 'rmse': 0.4720119882625892, 'smape': 1.2285072496774472}}",0.0300959710403014,0.195,0.09,0.08,0.0,0.0,0.0,0.015,0.01,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6639857667476085,False,True,True,True,True,"{'b0': -2.3303986976808977, 'b1': 4.894351131150934, 'b2': 2.0066817695670918, 'sigma': 0.9855685345831271, 'gamma': 0.2969024838690822, 'omega': 0.13516366853948777, 'rho': 39.29300905901507, 'S0': 0.9629405838636937, 'E0': 0.021307923785548535, 'I0': 0.015751492350757634, 'R0': 0.0, 'fractional': 0.0}"
