t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.7,0.7584094967139038,0.7584095292728514,train
1,0.7,0.7584094967139038,0.7584095292728514,train
2,0.6,0.7584094967139038,0.7584095292728514,train
3,0.5,0.6649500244577456,0.6649500555072521,train
4,1.1,1.151511841260416,1.1515119669209892,train
5,1.6,1.4959677055721936,1.495967903776778,train
6,2.1,2.1855112585438197,2.1855116404545094,train
7,3.4,3.1410838710363436,3.1410845120470112,train
8,5.4,4.7446887924450865,4.744689894102621,train
9,7.6,7.335226072295053,7.3352278734565575,train
10,10.6,11.501280132496142,11.501282854864412,train
11,17.4,17.209900065493372,17.20990319988538,train
12,25.3,21.779520299594754,21.77952128163536,train
13,19.3,19.095913086249155,19.095910278320044,train
14,14.8,16.742326747520124,16.742329051850515,train
15,12.0,14.679854201664941,14.679847625975034,train
16,10.2,12.869509524683908,12.869520305163746,train
17,9.6,11.286158089498901,11.286135788046632,train
18,9.4,9.890462834185634,9.890503848594138,train
19,9.0,8.6806668601006,8.680591300590846,train
20,9.2,7.595177283572437,7.5953060835189445,train
21,9.5,6.684926344621622,6.684721068166894,train
22,7.2,5.822821686076785,5.823115556516591,train
23,6.1,5.156669595714476,5.156290681210911,train
24,4.8,4.460765463021066,4.461180278938084,train
25,5.0,3.9724416582568636,3.972045108621142,train
26,4.4,3.430949366561371,3.4312445672288265,train
27,3.6,3.0436637657031707,3.0434841324369564,train
28,2.7,2.6497420821393627,2.649818798175655,train
29,2.0,2.3302371340317114,2.330218145851373,train
30,1.5,2.0413963870720804,2.0414007296443937,train
31,1.3,1.7900064688346662,1.7900081657564941,validation
32,0.8,1.569425005713548,1.5694264686701178,validation
33,0.9,1.3760237037077063,1.3760249877014887,validation
34,0.9,1.2064551604983886,1.2064562899413591,validation
35,0.5,1.0577826481412258,1.0577836421142273,validation
36,0.5,0.9274311668465318,0.9274320417175815,validation
37,0.8,0.8131430089106834,0.8131437789835781,validation
38,0.4,0.7129386796700254,0.712939357505167,validation
39,0.5,0.6250826175325664,0.625083214176522,validation
40,0.6,0.5480531350803938,0.5480536602539531,validation
41,0.4,0.4805160635422396,0.48051652580157506,test
42,0.2,0.4213016448406359,0.42130205171762386,test
43,0.2,0.36938427117132705,0.3693846292964782,test
44,0.4,0.32386472126162574,0.3238650364720613,test
45,0.3,0.2839545856577381,0.2839548630921445,test
46,0.2,0.2489626112920843,0.2489628554742656,test
47,0.3,0.21828272881899072,0.21828294373141005,test
48,0.3,0.19138355535104407,0.19138374449956425,test
49,0.3,0.16779919078180827,0.16779935725268955,test
50,0.4,0.1471211482854268,0.14712129479551045,test
51,0.0,0.12899127922765824,0.12899140816855167,test
