origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,1.3,1.8934524099985617,0.5934524099985616,0.5934524099985616
32,32,1,0.8,1.6428392470662436,0.8428392470662436,0.8428392470662436
33,33,1,0.9,1.4233006871564144,0.5233006871564144,0.5233006871564144
34,34,1,0.9,1.2413591729029056,0.3413591729029056,0.3413591729029056
35,35,1,0.5,1.0781762208741863,0.5781762208741863,0.5781762208741863
36,36,1,0.5,0.9379975362261862,0.4379975362261862,0.4379975362261862
37,37,1,0.8,0.8210279665887269,0.021027966588726854,0.021027966588726854
38,38,1,0.4,0.7201755069232256,0.3201755069232256,0.3201755069232256
39,39,1,0.5,0.6317113827316475,0.1317113827316475,0.1317113827316475
40,40,1,0.6,0.5454944658971055,-0.05450553410289449,0.05450553410289449
41,41,1,0.4,0.47899670303651054,0.07899670303651052,0.07899670303651052
42,42,1,0.2,0.41991238424886995,0.21991238424886994,0.21991238424886994
43,43,1,0.2,0.368116125567647,0.168116125567647,0.168116125567647
44,44,1,0.4,0.32270889177636924,-0.07729110822363078,0.07729110822363078
45,45,1,0.3,0.28290269278186236,-0.017097307218137625,0.017097307218137625
46,46,1,0.2,0.24800660003406114,0.048006600034061125,0.048006600034061125
47,47,1,0.3,0.2174149459682515,-0.08258505403174848,0.08258505403174848
48,48,1,0.3,0.19059677737206515,-0.10940322262793484,0.10940322262793484
49,49,1,0.3,0.16708661317775741,-0.13291338682224257,0.13291338682224257
50,50,1,0.4,0.14647645202988407,-0.25352354797011595,0.25352354797011595
51,51,1,0.0,0.12840855772936074,0.12840855772936074,0.12840855772936074
31,32,2,0.8,1.6749784402387016,0.8749784402387015,0.8749784402387015
32,33,2,0.9,1.4480321904116815,0.5480321904116815,0.5480321904116815
33,34,2,0.9,1.2492368008101873,0.34923680081018726,0.34923680081018726
34,35,2,0.5,1.0929663865462482,0.5929663865462482,0.5929663865462482
35,36,2,0.5,0.9428600666761252,0.4428600666761252,0.4428600666761252
36,37,2,0.8,0.8246250602535038,0.02462506025350375,0.02462506025350375
37,38,2,0.4,0.7126825195767569,0.31268251957675686,0.31268251957675686
38,39,2,0.5,0.6248188004983779,0.1248188004983779,0.1248188004983779
39,40,2,0.6,0.5477873002755906,-0.05221269972440934,0.05221269972440934
40,41,2,0.4,0.4802527477933229,0.08025274779332287,0.08025274779332287
41,42,2,0.2,0.4210442958170809,0.2210442958170809,0.2210442958170809
42,43,2,0.2,0.3691354328512826,0.16913543285128257,0.16913543285128257
43,44,2,0.4,0.32077925320603184,-0.07922074679396818,0.07922074679396818
44,45,2,0.3,0.28114891281225146,-0.018851087187748528,0.018851087187748528
45,46,2,0.2,0.24641485018108142,0.04641485018108141,0.04641485018108141
46,47,2,0.3,0.21597188352427227,-0.08402811647572772,0.08402811647572772
47,48,2,0.3,0.18929000592576856,-0.11070999407423143,0.11070999407423143
48,49,2,0.3,0.16441702574654743,-0.13558297425345256,0.13558297425345256
49,50,2,0.4,0.14406739394196477,-0.25593260605803525,0.25593260605803525
50,51,2,0.0,0.12799281655129335,0.12799281655129335,0.12799281655129335
31,34,4,0.9,1.2765179609543478,0.37651796095434775,0.37651796095434775
32,35,4,0.5,1.1203724098729433,0.6203724098729433,0.6203724098729433
33,36,4,0.5,0.967362678334173,0.467362678334173,0.467362678334173
34,37,4,0.8,0.8472071008925893,0.04720710089258928,0.04720710089258928
35,38,4,0.4,0.726567432881991,0.32656743288199097,0.32656743288199097
36,39,4,0.5,0.6335625995006645,0.13356259950066451,0.13356259950066451
37,40,4,0.6,0.5558051464034344,-0.04419485359656561,0.04419485359656561
38,41,4,0.4,0.48759092095426354,0.08759092095426352,0.08759092095426352
39,42,4,0.2,0.42619439364742634,0.22619439364742633,0.22619439364742633
40,43,4,0.2,0.3738487395737098,0.17384873957370978,0.17384873957370978
41,44,4,0.4,0.32793223510196584,-0.07206776489803418,0.07206776489803418
42,45,4,0.3,0.2824615317082114,-0.017538468291788567,0.017538468291788567
43,46,4,0.2,0.24760557760296428,0.04760557760296427,0.04760557760296427
44,47,4,0.3,0.21705087306695392,-0.08294912693304607,0.08294912693304607
45,48,4,0.3,0.1902666408338684,-0.10973335916613158,0.10973335916613158
46,49,4,0.3,0.16678760193211248,-0.1332123980678875,0.1332123980678875
47,50,4,0.4,0.14620589314802118,-0.25379410685197884,0.25379410685197884
48,51,4,0.0,0.12816398188007538,0.12816398188007538,0.12816398188007538
