t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.7,0.6505463989237187,0.6506567178014155,train
1,0.7,0.6405113297200379,0.6405908952579791,train
2,0.6,0.7176708371541591,0.7179295336904948,train
3,0.5,0.7300598374421292,0.7304334581376846,train
4,1.1,0.8296647350163269,0.8302222540272467,train
5,1.6,1.1610239168109755,1.1617542577353406,train
6,2.1,1.6369641683266056,1.6378441072782262,train
7,3.4,2.280900307846727,2.2818009565017126,train
8,5.4,3.4754801853540984,3.4760366889070573,train
9,7.6,5.3943451650330605,5.393635610753664,train
10,10.6,8.148698536648965,8.14466877907476,train
11,17.4,11.916679850490116,11.9059130852266,train
12,25.3,16.617895913355262,16.599320471708943,train
13,19.3,19.36561453757126,19.35111269013716,train
14,14.8,18.205464509232865,18.194787749381078,train
15,12.0,16.279718503660494,16.27148450176893,train
16,10.2,14.229229988488276,14.224213912134271,train
17,9.6,11.883119840433874,11.878482322702386,train
18,9.4,10.353006782067748,10.352645618973785,train
19,9.0,9.401296531046109,9.397451415299772,train
20,9.2,8.612096007959671,8.61678109319566,train
21,9.5,8.237963168920576,8.231967690693363,train
22,7.2,7.92820458394406,7.938040876431465,train
23,6.1,6.990026627615118,6.981489537912848,train
24,4.8,6.052142653054692,6.063100225439066,train
25,5.0,5.192838514102769,5.186862321376068,train
26,4.4,4.591705087937968,4.598408927368427,train
27,3.6,4.103150909762145,4.103473572294625,train
28,2.7,3.5210254123320888,3.524350248372651,train
29,2.0,2.97186557117381,2.9745398915084738,train
30,1.5,2.4110158225697265,2.4136814735001595,train
31,1.3,1.9326774863238079,1.9352412692869383,validation
32,0.8,1.5966557076594834,1.8465974934606155,validation
33,0.9,1.241478151244696,1.7687904510055152,validation
34,0.9,1.0908171729197051,1.700496038289814,validation
35,0.5,0.9910067527619111,1.6405510214896366,validation
36,0.5,0.7785236525265641,1.5879343465270097,validation
37,0.8,0.6899700153446806,1.541749837177957,validation
38,0.4,0.7170580152332332,1.5012109321174236,validation
39,0.5,0.5590963754607248,1.4656272782725785,validation
40,0.6,0.5329785369167307,1.4343929625218597,validation
41,0.4,0.5431722761715505,0.5444761829129321,test
42,0.2,0.444210595924415,0.5204101835584127,test
43,0.2,0.3481837319241437,0.49928529859520265,test
44,0.4,0.2972321394639042,0.480741969437873,test
45,0.3,0.3160403392695114,0.4644646161152581,test
46,0.2,0.27933151721366256,0.45017625795195204,test
47,0.3,0.23686278504459182,0.43763379149095727,test
48,0.3,0.25342102059825244,0.4266238447299613,test
49,0.3,0.24131921628710185,0.4169591369769582,test
50,0.4,0.23289327428084952,0.4084752831757785,test
51,0.0,0.26549919516483705,0.40102798985493465,test
