t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.7,1.1539528025802743,1.1561198669615365,train
1,0.7,0.8131436858777393,0.8091342518243068,train
2,0.6,0.7421235893047831,0.7366243777304722,train
3,0.5,0.7520647294008631,0.7439347489075377,train
4,1.1,0.8957843523094204,0.8857027112407178,train
5,1.6,1.150752442220588,1.136552247869962,train
6,2.1,1.6837149866473369,1.6653963274479222,train
7,3.4,2.561062566902099,2.5346727226268855,train
8,5.4,4.278328553413472,4.246222467453701,train
9,7.6,7.058220495899178,7.016891302193721,train
10,10.6,12.045933357452773,12.020212087297962,train
11,17.4,18.158898386187417,18.15639615875873,train
12,25.3,23.968598322643533,24.0398690394808,train
13,19.3,20.066973399240215,20.047494851470244,train
14,14.8,14.450592803827051,14.422375200952555,train
15,12.0,11.94703347051744,11.93946583525324,train
16,10.2,10.569835999136874,10.5710641431022,train
17,9.6,9.919884274918832,9.930482301744478,train
18,9.4,9.29559149934555,9.306416843967108,train
19,9.0,8.98725960086338,9.00221855582099,train
20,9.2,8.432763869892792,8.443365061229418,train
21,9.5,8.093625043412034,8.104905885719996,train
22,7.2,7.404606340026986,7.408857029160371,train
23,6.1,6.888874745460557,6.890146826536647,train
24,4.8,6.010182114167688,6.002733286633762,train
25,5.0,5.27184293358029,5.258032680533746,train
26,4.4,4.279071652053677,4.258211304540301,train
27,3.6,3.457127026937061,3.4323751378547787,train
28,2.7,2.6132709146989765,2.589253631904021,train
29,2.0,1.9955655031672934,1.9744986536148585,train
30,1.5,1.49412897879527,1.478205848865946,train
31,1.3,1.157204231774749,1.1452670558233802,validation
32,0.8,0.9104206529769802,0.9019372231154273,validation
33,0.9,0.7408168133594667,0.7345457185890427,validation
34,0.9,0.6160360184588077,0.6113787952690244,validation
35,0.5,0.5243527224511184,0.5207443237646362,validation
36,0.5,0.4539394199380236,0.45107564314384324,validation
37,0.8,0.398923947092001,0.3965756290957306,validation
38,0.4,0.3547332150346197,0.35276089302947466,validation
39,0.5,0.31860710484734295,0.3169117160495256,validation
40,0.6,0.288538909635513,0.28705403518443556,validation
41,0.4,0.2631697411686394,0.2618474140252241,test
42,0.2,0.24150793439398727,0.24031326493635763,test
43,0.2,0.2228378297161708,0.22174405792785623,test
44,0.4,0.2066294326048302,0.2056151128206574,test
45,0.3,0.19249502252013145,0.1915417095167749,test
46,0.2,0.18015992138367357,0.17925032499542412,test
47,0.3,0.16945316373181438,0.16856929070534815,test
48,0.3,0.16031518781818854,0.15943623336753796,test
49,0.3,0.15282928517605585,0.1519289771624011,test
50,0.4,0.14728714936786824,0.14633035623730073,test
51,0.0,0.14430606687640019,0.14324470900215278,test
