origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,1.3,1.0667771003947084,-0.23322289960529163,0.23322289960529163
32,32,1,0.8,0.8545756461450024,0.05457564614500232,0.05457564614500232
33,33,1,0.9,0.685427315857133,-0.214572684142867,0.214572684142867
34,34,1,0.9,0.5775551311629219,-0.3224448688370781,0.3224448688370781
35,35,1,0.5,0.5020251678995071,0.00202516789950713,0.00202516789950713
36,36,1,0.5,0.43382466456712937,-0.06617533543287063,0.06617533543287063
37,37,1,0.8,0.3809987096703082,-0.41900129032969186,0.41900129032969186
38,38,1,0.4,0.3464933854680994,-0.05350661453190064,0.05350661453190064
39,39,1,0.5,0.31124021164008986,-0.18875978835991014,0.18875978835991014
40,40,1,0.6,0.28384422871230996,-0.31615577128769,0.31615577128769
41,41,1,0.4,0.2621027155397118,-0.1378972844602882,0.1378972844602882
42,42,1,0.2,0.24088593732006883,0.040885937320068816,0.040885937320068816
43,43,1,0.2,0.22196235259967786,0.021962352599677853,0.021962352599677853
44,44,1,0.4,0.20503037194601562,-0.1949696280539844,0.1949696280539844
45,45,1,0.3,0.1914290046533164,-0.1085709953466836,0.1085709953466836
46,46,1,0.2,0.17929953637091117,-0.02070046362908884,0.02070046362908884
47,47,1,0.3,0.16843102805523594,-0.13156897194476405,0.13156897194476405
48,48,1,0.3,0.15969864584212437,-0.14030135415787562,0.14030135415787562
49,49,1,0.3,0.15232443744398402,-0.14767556255601597,0.14767556255601597
50,50,1,0.4,0.14688880071187974,-0.2531111992881203,0.2531111992881203
51,51,1,0.0,0.14416099675402563,0.14416099675402563,0.14416099675402563
31,32,2,0.8,0.6760057644720556,-0.12399423552794442,0.12399423552794442
32,33,2,0.9,0.5178973078763718,-0.38210269212362824,0.38210269212362824
33,34,2,0.9,0.3912880215060845,-0.5087119784939156,0.5087119784939156
34,35,2,0.5,0.3101192693927974,-0.18988073060720262,0.18988073060720262
35,36,2,0.5,0.43396065736395445,-0.06603934263604555,0.06603934263604555
36,37,2,0.8,0.3805568236129986,-0.41944317638700146,0.41944317638700146
37,38,2,0.4,0.33825266115396924,-0.061747338846030786,0.061747338846030786
38,39,2,0.5,0.31067934710835016,-0.18932065289164984,0.18932065289164984
39,40,2,0.6,0.28140834019564837,-0.3185916598043516,0.3185916598043516
40,41,2,0.4,0.25885451077322585,-0.14114548922677417,0.14114548922677417
41,42,2,0.2,0.24041662305677855,0.04041662305677854,0.04041662305677854
42,43,2,0.2,0.22217261068961752,0.02217261068961751,0.02217261068961751
43,44,2,0.4,0.2057398386114136,-0.19426016138858643,0.19426016138858643
44,45,2,0.3,0.19096389130545197,-0.10903610869454802,0.10903610869454802
45,46,2,0.2,0.17911099103419792,-0.02088900896580209,0.02088900896580209
46,47,2,0.3,0.16858402781930998,-0.13141597218069,0.13141597218069
47,48,2,0.3,0.1593905029042261,-0.1406094970957739,0.1406094970957739
48,49,2,0.3,0.15202203853057755,-0.14797796146942244,0.14797796146942244
49,50,2,0.4,0.14671077451819006,-0.25328922548181,0.25328922548181
50,51,2,0.0,0.14387634290927598,0.14387634290927598,0.14387634290927598
31,34,4,0.9,0.37013591536013674,-0.5298640846398632,0.5298640846398632
32,35,4,0.5,0.2936860392095984,-0.2063139607904016,0.2063139607904016
33,36,4,0.5,0.45469954252404715,-0.04530045747595285,0.04530045747595285
34,37,4,0.8,0.37566284313287207,-0.424337156867128,0.424337156867128
35,38,4,0.4,0.33870308248186726,-0.061296917518132765,0.061296917518132765
36,39,4,0.5,0.3024717705050983,-0.19752822949490167,0.19752822949490167
37,40,4,0.6,0.2739056232721511,-0.32609437672784886,0.32609437672784886
38,41,4,0.4,0.2567668943183275,-0.14323310568167252,0.14323310568167252
39,42,4,0.2,0.23566324415685325,0.035663244156853235,0.035663244156853235
40,43,4,0.2,0.2180224817407719,0.018022481740771895,0.018022481740771895
41,44,4,0.4,0.20569157044641792,-0.1943084295535821,0.1943084295535821
42,45,4,0.3,0.19191476462006626,-0.10808523537993373,0.10808523537993373
43,46,4,0.2,0.1793507405559234,-0.020649259444076612,0.020649259444076612
44,47,4,0.3,0.16767233772826862,-0.13232766227173137,0.13232766227173137
45,48,4,0.3,0.15891873191189468,-0.1410812680881053,0.1410812680881053
46,49,4,0.3,0.15210307477951207,-0.14789692522048792,0.14789692522048792
47,50,4,0.4,0.1465415921059061,-0.2534584078940939,0.2534584078940939
48,51,4,0.0,0.1436166073719655,0.1436166073719655,0.1436166073719655
