t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.7,0.5959428787868288,0.595752925047143,train
1,0.7,0.5223608103626173,0.5221849948038871,train
2,0.6,0.7895699195919371,0.7893073125777029,train
3,0.5,0.968118171369198,0.9677881462618505,train
4,1.1,1.2695872031114843,1.2691523843391739,train
5,1.6,1.6612931164405067,1.6607191176303748,train
6,2.1,2.2577263614349166,2.256944663644726,train
7,3.4,3.18861687881779,3.187512596722072,train
8,5.4,4.720763034652749,4.719132252218916,train
9,7.6,7.278630605908812,7.276122213396275,train
10,10.6,11.41879773610678,11.41486175617305,train
11,17.4,17.173265573486557,17.167301401252487,train
12,25.3,21.80835233962212,21.800603696227558,train
13,19.3,19.117111427132773,19.10995769446385,train
14,14.8,16.75650108592768,16.749957668463253,train
15,12.0,14.689967431002104,14.683922597231692,train
16,10.2,12.87296157569007,12.867521193152909,train
17,9.6,11.290524338255564,11.285392313653938,train
18,9.4,9.884949415842916,9.880565731230204,train
19,9.0,8.684967010256122,8.680471069609087,train
20,9.2,7.580906852564627,7.577627446374512,train
21,9.5,6.691746444570337,6.687582909029556,train
22,7.2,5.805271946166217,5.803053186901461,train
23,6.1,5.158054235654842,5.154235577909118,train
24,4.8,4.453797336297853,4.452131517510488,train
25,5.0,3.9591895923877662,3.956200310294742,train
26,4.4,3.4346142945587084,3.432906561351869,train
27,3.6,3.0284211434277255,3.0263831808239963,train
28,2.7,2.6485224192848165,2.646866771586373,train
29,2.0,2.3229558003718638,2.3214256904118957,train
30,1.5,2.036223760479024,2.0348495290984925,train
31,1.3,1.7849774497069277,1.7837411343943355,validation
32,0.8,1.5647454985292748,1.5636339000167339,validation
33,0.9,1.3716959230683465,1.370697073058386,validation
34,0.9,1.2024724542839582,1.2015754476866465,validation
35,0.5,1.0541334960765691,1.0533284039017041,validation
36,0.5,0.9241006842618774,0.9233784776334861,validation
37,0.8,0.8101140036549183,0.8094664826381732,validation
38,0.4,0.7101924807123791,0.7096122071988887,validation
39,0.5,0.6225997379715287,0.622079972555983,validation
40,0.6,0.5458138044925618,0.5453484473379204,validation
41,0.4,0.4785006549068341,0.4780841905608906,test
42,0.2,0.419491015611817,0.4191184616921824,test
43,0.2,0.3677600338928176,0.3674268935211008,test
44,0.4,0.3224094557110112,0.3221116735473841,test
45,0.3,0.282652001291905,0.28238592300302995,test
46,0.2,0.24779766492388441,0.2475599999055188,test
47,0.3,0.217241697328601,0.21702948449987344,test
48,0.3,0.19045405783193642,0.19026463432302385,test
49,0.3,0.16697015312216648,0.16680112567849112,test
50,0.4,0.1463827109311498,0.14623192985897895,test
51,0.0,0.12833466391238127,0.12820019938073635,test
