t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.7,2.329111926522053e-05,2.3291119265220663e-05,train
1,0.7,0.19460011598689983,0.19460011598691543,train
2,0.6,0.4651720120352955,0.46517201203528247,train
3,0.5,0.810693559227773,0.8106935592278075,train
4,1.1,1.2352015323885852,1.2352015323885353,train
5,1.6,1.7489001202122287,1.748900120212302,train
6,2.1,2.4175469112605525,2.4175469112603967,train
7,3.4,3.3470956672892105,3.347095667289409,train
8,5.4,4.814885794857662,4.814885794857124,train
9,7.6,7.213258835049594,7.213258835050397,train
10,10.6,11.361535415117691,11.361535415115533,train
11,17.4,17.39476427589029,17.394764275894175,train
12,25.3,23.006898112173864,23.0068981121671,train
13,19.3,18.913323492616463,18.91332349262461,train
14,14.8,16.21726699867788,16.217266998671995,train
15,12.0,14.269961691145499,14.269961691145324,train
16,10.2,12.495653207829259,12.49565320782371,train
17,9.6,11.050519697667697,11.050519697666154,train
18,9.4,9.71111749910445,9.711117499099728,train
19,9.0,8.596324638571042,8.59632463856954,train
20,9.2,7.560360275987169,7.560360275983243,train
21,9.5,6.696036643476186,6.696036643475095,train
22,7.2,5.888329293138151,5.888329293134855,train
23,6.1,5.218929127981957,5.2189291279813705,train
24,4.8,4.58610083344985,4.586100833447006,train
25,5.0,4.069437467350148,4.069437467350081,train
26,4.4,3.5711855697194546,3.5711855697169006,train
27,3.6,3.1746133100096947,3.1746133100101503,train
28,2.7,2.7799156245611374,2.7799156245587384,train
29,2.0,2.478016388602793,2.478016388603774,train
30,1.5,2.1629119266555086,2.1629119266531633,train
31,1.3,1.9357185874134963,1.935718587415002,validation
32,0.8,1.681865227029948,1.6818652270275996,validation
33,0.9,1.5133833568674142,1.513383356869413,validation
34,0.9,1.3070905366651642,1.3070905366628163,validation
35,0.5,1.1840748750693872,1.184074875071788,validation
36,0.5,1.0155888352561464,1.0155888352538711,validation
37,0.8,0.9266541344732304,0.9266541344758543,validation
38,0.4,0.7894531891970257,0.7894531891949547,validation
39,0.5,0.7246708344985436,0.7246708345011321,validation
40,0.6,0.6145503796765333,0.6145503796748188,validation
41,0.4,0.5656057499631094,0.5656057499653823,test
42,0.2,0.4795070874813028,0.47950708748006055,test
43,0.2,0.44021511839701755,0.44021511839876964,test
44,0.4,0.37507148735094725,0.3750714873502035,test
45,0.3,0.3417392235639012,0.34173922356507974,test
46,0.2,0.2938431049867337,0.29384310498641075,test
47,0.3,0.264986246117494,0.26498624611819516,test
48,0.3,0.23019048711007434,0.23019048711002701,test
49,0.3,0.20560013978222846,0.20560013978261785,test
50,0.4,0.18007123963430358,0.18007123963438643,test
51,0.0,0.15978252453787598,0.15978252453809935,test
