t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.7,0.7,0.7,train
1,0.7,0.7,0.7,train
2,0.6,0.7,0.7,train
3,0.5,0.6666666666666666,0.6666666666666666,train
4,1.1,0.625,0.625,train
5,1.6,0.725,0.725,train
6,2.1,0.9500000000000001,0.9500000000000001,train
7,3.4,1.3250000000000002,1.3250000000000002,train
8,5.4,2.0500000000000003,2.0500000000000003,train
9,7.6,3.125,3.125,train
10,10.6,4.625,4.625,train
11,17.4,6.75,6.75,train
12,25.3,10.25,10.25,train
13,19.3,15.224999999999998,15.224999999999998,train
14,14.8,18.15,18.15,train
15,12.0,19.2,19.2,train
16,10.2,17.85,17.85,train
17,9.6,14.075,14.075,train
18,9.4,11.65,11.65,train
19,9.0,10.299999999999999,10.299999999999999,train
20,9.2,9.549999999999999,9.549999999999999,train
21,9.5,9.3,9.3,train
22,7.2,9.274999999999999,9.274999999999999,train
23,6.1,8.725,8.725,train
24,4.8,8.0,8.0,train
25,5.0,6.8999999999999995,6.8999999999999995,train
26,4.4,5.775,5.775,train
27,3.6,5.074999999999999,5.074999999999999,train
28,2.7,4.45,4.45,train
29,2.0,3.925,3.925,train
30,1.5,3.175,3.175,train
31,1.3,2.45,2.45,validation
32,0.8,1.875,2.45,validation
33,0.9,1.4,2.45,validation
34,0.9,1.125,2.45,validation
35,0.5,0.975,2.45,validation
36,0.5,0.775,2.45,validation
37,0.8,0.7,2.45,validation
38,0.4,0.675,2.45,validation
39,0.5,0.55,2.45,validation
40,0.6,0.55,2.45,validation
41,0.4,0.5750000000000001,0.5750000000000001,test
42,0.2,0.475,0.5750000000000001,test
43,0.2,0.425,0.5750000000000001,test
44,0.4,0.35,0.5750000000000001,test
45,0.3,0.30000000000000004,0.5750000000000001,test
46,0.2,0.275,0.5750000000000001,test
47,0.3,0.275,0.5750000000000001,test
48,0.3,0.3,0.5750000000000001,test
49,0.3,0.275,0.5750000000000001,test
50,0.4,0.275,0.5750000000000001,test
51,0.0,0.32499999999999996,0.5750000000000001,test
