origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,1.3,2.45,1.1500000000000001,1.1500000000000001
32,32,1,0.8,1.875,1.075,1.075
33,33,1,0.9,1.4,0.4999999999999999,0.4999999999999999
34,34,1,0.9,1.125,0.22499999999999998,0.22499999999999998
35,35,1,0.5,0.975,0.475,0.475
36,36,1,0.5,0.775,0.275,0.275
37,37,1,0.8,0.7,-0.10000000000000009,0.10000000000000009
38,38,1,0.4,0.675,0.275,0.275
39,39,1,0.5,0.55,0.050000000000000044,0.050000000000000044
40,40,1,0.6,0.55,-0.04999999999999993,0.04999999999999993
41,41,1,0.4,0.5750000000000001,0.17500000000000004,0.17500000000000004
42,42,1,0.2,0.475,0.27499999999999997,0.27499999999999997
43,43,1,0.2,0.425,0.22499999999999998,0.22499999999999998
44,44,1,0.4,0.35,-0.050000000000000044,0.050000000000000044
45,45,1,0.3,0.30000000000000004,5.551115123125783e-17,5.551115123125783e-17
46,46,1,0.2,0.275,0.07500000000000001,0.07500000000000001
47,47,1,0.3,0.275,-0.024999999999999967,0.024999999999999967
48,48,1,0.3,0.3,0.0,0.0
49,49,1,0.3,0.275,-0.024999999999999967,0.024999999999999967
50,50,1,0.4,0.275,-0.125,0.125
51,51,1,0.0,0.32499999999999996,0.32499999999999996,0.32499999999999996
31,32,2,0.8,2.45,1.6500000000000001,1.6500000000000001
32,33,2,0.9,1.875,0.975,0.975
33,34,2,0.9,1.4,0.4999999999999999,0.4999999999999999
34,35,2,0.5,1.125,0.625,0.625
35,36,2,0.5,0.975,0.475,0.475
36,37,2,0.8,0.775,-0.025000000000000022,0.025000000000000022
37,38,2,0.4,0.7,0.29999999999999993,0.29999999999999993
38,39,2,0.5,0.675,0.17500000000000004,0.17500000000000004
39,40,2,0.6,0.55,-0.04999999999999993,0.04999999999999993
40,41,2,0.4,0.55,0.15000000000000002,0.15000000000000002
41,42,2,0.2,0.5750000000000001,0.37500000000000006,0.37500000000000006
42,43,2,0.2,0.475,0.27499999999999997,0.27499999999999997
43,44,2,0.4,0.425,0.024999999999999967,0.024999999999999967
44,45,2,0.3,0.35,0.04999999999999999,0.04999999999999999
45,46,2,0.2,0.30000000000000004,0.10000000000000003,0.10000000000000003
46,47,2,0.3,0.275,-0.024999999999999967,0.024999999999999967
47,48,2,0.3,0.275,-0.024999999999999967,0.024999999999999967
48,49,2,0.3,0.3,0.0,0.0
49,50,2,0.4,0.275,-0.125,0.125
50,51,2,0.0,0.275,0.275,0.275
31,34,4,0.9,2.45,1.5500000000000003,1.5500000000000003
32,35,4,0.5,1.875,1.375,1.375
33,36,4,0.5,1.4,0.8999999999999999,0.8999999999999999
34,37,4,0.8,1.125,0.32499999999999996,0.32499999999999996
35,38,4,0.4,0.975,0.575,0.575
36,39,4,0.5,0.775,0.275,0.275
37,40,4,0.6,0.7,0.09999999999999998,0.09999999999999998
38,41,4,0.4,0.675,0.275,0.275
39,42,4,0.2,0.55,0.35000000000000003,0.35000000000000003
40,43,4,0.2,0.55,0.35000000000000003,0.35000000000000003
41,44,4,0.4,0.5750000000000001,0.17500000000000004,0.17500000000000004
42,45,4,0.3,0.475,0.175,0.175
43,46,4,0.2,0.425,0.22499999999999998,0.22499999999999998
44,47,4,0.3,0.35,0.04999999999999999,0.04999999999999999
45,48,4,0.3,0.30000000000000004,5.551115123125783e-17,5.551115123125783e-17
46,49,4,0.3,0.275,-0.024999999999999967,0.024999999999999967
47,50,4,0.4,0.275,-0.125,0.125
48,51,4,0.0,0.3,0.3,0.3
