t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.7,0.7,0.7,train
1,0.7,0.7,0.7,train
2,0.6,0.7,0.7,train
3,0.5,0.6,0.6,train
4,1.1,0.5,0.5,train
5,1.6,1.1,1.1,train
6,2.1,1.6,1.6,train
7,3.4,2.1,2.1,train
8,5.4,3.4,3.4,train
9,7.6,5.4,5.4,train
10,10.6,7.6,7.6,train
11,17.4,10.6,10.6,train
12,25.3,17.4,17.4,train
13,19.3,25.3,25.3,train
14,14.8,19.3,19.3,train
15,12.0,14.8,14.8,train
16,10.2,12.0,12.0,train
17,9.6,10.2,10.2,train
18,9.4,9.6,9.6,train
19,9.0,9.4,9.4,train
20,9.2,9.0,9.0,train
21,9.5,9.2,9.2,train
22,7.2,9.5,9.5,train
23,6.1,7.2,7.2,train
24,4.8,6.1,6.1,train
25,5.0,4.8,4.8,train
26,4.4,5.0,5.0,train
27,3.6,4.4,4.4,train
28,2.7,3.6,3.6,train
29,2.0,2.7,2.7,train
30,1.5,2.0,2.0,train
31,1.3,1.5,1.5,validation
32,0.8,1.3,1.5,validation
33,0.9,0.8,1.5,validation
34,0.9,0.9,1.5,validation
35,0.5,0.9,1.5,validation
36,0.5,0.5,1.5,validation
37,0.8,0.5,1.5,validation
38,0.4,0.8,1.5,validation
39,0.5,0.4,1.5,validation
40,0.6,0.5,1.5,validation
41,0.4,0.6,0.6,test
42,0.2,0.4,0.6,test
43,0.2,0.2,0.6,test
44,0.4,0.2,0.6,test
45,0.3,0.4,0.6,test
46,0.2,0.3,0.6,test
47,0.3,0.2,0.6,test
48,0.3,0.3,0.6,test
49,0.3,0.3,0.6,test
50,0.4,0.3,0.6,test
51,0.0,0.4,0.6,test
