origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,1.3,1.5,0.19999999999999996,0.19999999999999996
32,32,1,0.8,1.3,0.5,0.5
33,33,1,0.9,0.8,-0.09999999999999998,0.09999999999999998
34,34,1,0.9,0.9,0.0,0.0
35,35,1,0.5,0.9,0.4,0.4
36,36,1,0.5,0.5,0.0,0.0
37,37,1,0.8,0.5,-0.30000000000000004,0.30000000000000004
38,38,1,0.4,0.8,0.4,0.4
39,39,1,0.5,0.4,-0.09999999999999998,0.09999999999999998
40,40,1,0.6,0.5,-0.09999999999999998,0.09999999999999998
41,41,1,0.4,0.6,0.19999999999999996,0.19999999999999996
42,42,1,0.2,0.4,0.2,0.2
43,43,1,0.2,0.2,0.0,0.0
44,44,1,0.4,0.2,-0.2,0.2
45,45,1,0.3,0.4,0.10000000000000003,0.10000000000000003
46,46,1,0.2,0.3,0.09999999999999998,0.09999999999999998
47,47,1,0.3,0.2,-0.09999999999999998,0.09999999999999998
48,48,1,0.3,0.3,0.0,0.0
49,49,1,0.3,0.3,0.0,0.0
50,50,1,0.4,0.3,-0.10000000000000003,0.10000000000000003
51,51,1,0.0,0.4,0.4,0.4
31,32,2,0.8,1.5,0.7,0.7
32,33,2,0.9,1.3,0.4,0.4
33,34,2,0.9,0.8,-0.09999999999999998,0.09999999999999998
34,35,2,0.5,0.9,0.4,0.4
35,36,2,0.5,0.9,0.4,0.4
36,37,2,0.8,0.5,-0.30000000000000004,0.30000000000000004
37,38,2,0.4,0.5,0.09999999999999998,0.09999999999999998
38,39,2,0.5,0.8,0.30000000000000004,0.30000000000000004
39,40,2,0.6,0.4,-0.19999999999999996,0.19999999999999996
40,41,2,0.4,0.5,0.09999999999999998,0.09999999999999998
41,42,2,0.2,0.6,0.39999999999999997,0.39999999999999997
42,43,2,0.2,0.4,0.2,0.2
43,44,2,0.4,0.2,-0.2,0.2
44,45,2,0.3,0.2,-0.09999999999999998,0.09999999999999998
45,46,2,0.2,0.4,0.2,0.2
46,47,2,0.3,0.3,0.0,0.0
47,48,2,0.3,0.2,-0.09999999999999998,0.09999999999999998
48,49,2,0.3,0.3,0.0,0.0
49,50,2,0.4,0.3,-0.10000000000000003,0.10000000000000003
50,51,2,0.0,0.3,0.3,0.3
31,34,4,0.9,1.5,0.6,0.6
32,35,4,0.5,1.3,0.8,0.8
33,36,4,0.5,0.8,0.30000000000000004,0.30000000000000004
34,37,4,0.8,0.9,0.09999999999999998,0.09999999999999998
35,38,4,0.4,0.9,0.5,0.5
36,39,4,0.5,0.5,0.0,0.0
37,40,4,0.6,0.5,-0.09999999999999998,0.09999999999999998
38,41,4,0.4,0.8,0.4,0.4
39,42,4,0.2,0.4,0.2,0.2
40,43,4,0.2,0.5,0.3,0.3
41,44,4,0.4,0.6,0.19999999999999996,0.19999999999999996
42,45,4,0.3,0.4,0.10000000000000003,0.10000000000000003
43,46,4,0.2,0.2,0.0,0.0
44,47,4,0.3,0.2,-0.09999999999999998,0.09999999999999998
45,48,4,0.3,0.4,0.10000000000000003,0.10000000000000003
46,49,4,0.3,0.3,0.0,0.0
47,50,4,0.4,0.2,-0.2,0.2
48,51,4,0.0,0.3,0.3,0.3
