round,repeat,record_key,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score_policy,score_formula,score,score_used_val_mae,score_used_multi_split,score_used_stability,score_used_complexity,score_used_age_prior,params,candidate_universe_size,candidate_budget_actual,observation_map_filter,search_name,candidate_count
1,,SIR|fractional=0|obs=I,SIR|fractional=0|obs=I,SIR,False,I,0,infectious,6,3,1.7556523038239353,0.9020574773827917,1.273879678726616,0.4532719864522652,0.5236932995312032,0.46865952053586757,0.37136180161752846,0.44869768930865045,3,0.3518819314823496,0.19066344656775558,0.09533172328387779,0.2517214607641602,"{'1': {'mae': 0.40932026353812806, 'rmse': 0.4872913061817325, 'smape': 0.4276129803766495}, '2': {'mae': 0.39364410726677856, 'rmse': 0.47928661425964175, 'smape': 0.4384675296553019}, '4': {'mae': 0.3111210340476788, 'rmse': 0.3795151474845771, 'smape': 0.40641858042963325}}",0.05034429215283204,0.12,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6225579469190594,False,True,True,True,True,"{'b0': 1.6513522344414284, 'b1': 0.5132376006137164, 'b2': -2.98234221565264, 'gamma': 0.11855237430319326, 'rho': 27.550625656920776, 'S0': 0.9728317248164371, 'I0': 0.0271682751835629, 'R0': 0.0, 'fractional': 0.0}",44,10,I,no_observation_search_discovery,10
1,,SEIR|fractional=0|obs=I,SEIR|fractional=0|obs=I,SEIR,False,I,0,infectious,8,4,1.8731278253271313,0.8838360740601933,1.2969082746636447,0.43719565851196424,0.508550974270982,0.45494652242499223,0.36139434025793765,0.4377847689323728,3,0.3423021672343317,0.18599485006569735,0.09299742503284868,0.24697766664139645,"{'1': {'mae': 0.4003459451219166, 'rmse': 0.47794136884889604, 'smape': 0.42027851418155027}, '2': {'mae': 0.3826295917521222, 'rmse': 0.46705295241120715, 'smape': 0.42975402808638274}, '4': {'mae': 0.3012074838997743, 'rmse': 0.3683599855370152, 'smape': 0.39757166017958434}}",0.04939553332827929,0.16,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6446951255954597,False,True,True,True,True,"{'b0': 1.3277653277503967, 'b1': 2.0124097092271582, 'b2': -2.626356194305987, 'sigma': 0.9963414266334847, 'gamma': 0.11931365320875367, 'rho': 27.67050994045765, 'S0': 0.967411266392326, 'E0': 0.014874752229689302, 'I0': 0.017713981377984724, 'R0': 0.0, 'fractional': 0.0}",44,10,I,no_observation_search_discovery,10
1,,SEIRS|fractional=0|obs=I,SEIRS|fractional=0|obs=I,SEIRS,False,I,0,infectious,9,4,0.8068637825488295,0.5666889303401412,0.7333357398678076,0.4235731615135281,0.4492923180659871,1.0277956741512981,0.4213011520382697,0.44750968248673545,3,0.42534649469075236,0.03989616292068799,0.019948081460343995,0.15053221321353022,"{'1': {'mae': 0.40310185777962937, 'rmse': 0.43049978961594915, 'smape': 0.9502377772878481}, '2': {'mae': 0.4099286745473092, 'rmse': 0.43837128874106535, 'smape': 1.0316703309227944}, '4': {'mae': 0.4508729237878706, 'rmse': 0.47365796910319186, 'smape': 1.236371807898023}}",0.030106442642706045,0.18,0.09,0.08,0.0,0.0,0.0,0.0,0.01,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6504010187938024,False,True,True,True,True,"{'b0': -2.0978189664957814, 'b1': 4.996293548446139, 'b2': 0.2946951320280853, 'sigma': 0.9814351119720977, 'gamma': 0.30052992264686473, 'omega': 0.13871642309974425, 'rho': 39.64158608224747, 'S0': 0.9686690826738228, 'E0': 0.013967960455444073, 'I0': 0.017362956870733092, 'R0': 0.0, 'fractional': 0.0}",44,10,I,no_observation_search_discovery,10
1,,SEIRS|fractional=1|obs=I,SEIRS|fractional=1|obs=I,SEIRS,True,I,0,infectious,10,4,0.8100406549294314,0.5669647927881278,0.7354816473748913,0.37273959752582086,0.4008106671090115,0.8336350607291981,0.33530099548072845,0.47767770926752307,3,0.31698739139158033,0.17215806061395045,0.08607903030697522,0.33469629171171505,"{'1': {'mae': 0.32627360522262583, 'rmse': 0.5467877356106126, 'smape': 0.3759665321555868}, '2': {'mae': 0.2041299619050737, 'rmse': 0.2437968731658434, 'smape': 0.35304836243514914}, '4': {'mae': 0.47549941931448575, 'rmse': 0.6424485190261132, 'smape': 0.7803995145777761}}",0.06693925834234302,0.20500000000000002,0.1,0.08,0.015,0.0,0.0,0.0,0.01,-0.0075,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6675056800408986,False,True,True,True,True,"{'b0': -1.8735070467222332, 'b1': 4.908278014294999, 'b2': 0.2169209500076706, 'sigma': 0.9770600082432834, 'gamma': 0.3383847107568371, 'omega': 0.1374006794929757, 'rho': 42.72241731578736, 'alpha': 0.9763620382600373, 'S0': 0.9700062235474209, 'E0': 0.013025005009341064, 'I0': 0.016968771443238, 'R0': 0.0, 'fractional': 1.0}",44,10,I,no_observation_search_discovery,10
1,,SEIHR|fractional=0|obs=I,SEIHR|fractional=0|obs=I,SEIHR,False,I,0,infectious,11,5,1.9005010312843187,0.8872544636893329,1.2973057672837274,0.44040650573330786,0.5115724548442413,0.45770285169997466,0.34457324612823653,0.4146251404003664,3,0.32973118299486426,0.1789498424934777,0.08947492124673885,0.2304653709445903,"{'1': {'mae': 0.40197027886858294, 'rmse': 0.47954462362952927, 'smape': 0.4216779757577841}, '2': {'mae': 0.3868590312435333, 'rmse': 0.47357728801301713, 'smape': 0.4325233085017081}, '4': {'mae': 0.2448904282725935, 'rmse': 0.2907535095585527, 'smape': 0.3453628193427322}}",0.04609307418891806,0.21000000000000002,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6752991784305211,False,True,True,True,True,"{'b0': 1.5166500699954122, 'b1': 2.156574649298204, 'b2': -2.7355114895351287, 'sigma': 0.9962073158518385, 'eta': 0.06119197011754057, 'gamma_i': 0.0579701669458015, 'gamma_h': 0.41624356882438623, 'rho': 30.745603655871538, 'S0': 0.8696995633201623, 'E0': 0.01332844722727857, 'I0': 0.015879846240712467, 'H0': 0.10109214321184658, 'R0': 0.0, 'fractional': 0.0}",44,10,I,no_observation_search_discovery,10
1,,SEIAR|fractional=0|obs=I,SEIAR|fractional=0|obs=I,SEIAR,False,I,0,infectious,11,5,1.9165627841290382,0.8870258339176973,1.2970257404819057,0.4388637324244529,0.5101216000838276,0.45637866621302725,0.3642885474345045,0.44158266152348596,3,0.34468575020457837,0.18748784418607004,0.09374392209303502,0.24944600950081905,"{'1': {'mae': 0.3987413439913971, 'rmse': 0.4755517960286339, 'smape': 0.4197614289362801}, '2': {'mae': 0.38369062171268764, 'rmse': 0.46812611691346917, 'smape': 0.43063885339263774}, '4': {'mae': 0.3104336765994286, 'rmse': 0.38107007162835493, 'smape': 0.4044292417190015}}",0.04988920190016381,0.21000000000000002,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6983188741977773,False,True,True,True,True,"{'b0': 1.181005378223169, 'b1': 2.3898276672485523, 'b2': -2.6392514113308914, 'sigma': 0.9965007829533282, 'p_asym': 0.031153754144917396, 'gamma_i': 0.11923576652597223, 'gamma_a': 0.6632180646283754, 'rho': 30.015409057292963, 'S0': 0.9227907456097614, 'E0': 0.012983620072860922, 'I0': 0.015369268994982156, 'A0': 0.04885636532239554, 'R0': 0.0, 'fractional': 0.0}",44,10,I,no_observation_search_discovery,10
1,,SIR|fractional=1|obs=I,SIR|fractional=1|obs=I,SIR,True,I,0,infectious,7,3,0.9476686739879902,0.733390034521468,0.906707139421822,0.5723319011270664,0.648383321570747,0.5568476138487826,0.4448142305772455,0.5230274002264907,3,0.42373178416404406,0.20753249464648885,0.10376624732324442,0.27490889636463706,"{'1': {'mae': 0.4940321061130584, 'rmse': 0.5793745711859472, 'smape': 0.4933204330726295}, '2': {'mae': 0.4669936827877643, 'rmse': 0.5579735091666504, 'smape': 0.5019018325498963}, '4': {'mae': 0.37341690283091367, 'rmse': 0.4317341203268745, 'smape': 0.47225061292160897}}",0.05498177927292741,0.14500000000000002,0.07,0.06,0.015,0.0,0.0,0.0,0.0,0.0025,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.7299798107602158,False,True,True,True,True,"{'b0': 0.3469630844263984, 'b1': 2.1459363993967395, 'b2': -1.3952936825482496, 'gamma': 0.5500184669704988, 'rho': 60.45257108843501, 'alpha': 0.7018424818402265, 'S0': 0.9759148237184601, 'I0': 0.024085176281539954, 'R0': 0.0, 'fractional': 1.0}",44,10,I,no_observation_search_discovery,10
1,,SEIAR|fractional=1|obs=I,SEIAR|fractional=1|obs=I,SEIAR,True,I,0,infectious,12,5,1.2431527831589728,0.7309556646152184,0.9389564255030396,0.7602654481531268,0.8707431386399406,0.6621919451455567,0.610561274581052,0.8536025251878233,3,0.5624271044386165,0.4103771788629469,0.20518858943147344,0.5911579633999992,"{'1': {'mae': 0.6665366714795687, 'rmse': 0.829947683712993, 'smape': 0.580358750295256}, '2': {'mae': 0.5562238981023327, 'rmse': 0.854098784711342, 'smape': 0.5044352982201489}, '4': {'mae': 0.6089232541612546, 'rmse': 0.8767611071391348, 'smape': 0.5524073595228965}}",0.11823159267999983,0.235,0.12,0.1,0.015,0.0,0.0,0.0,0.0,-0.0025,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,1.1183472865500899,False,True,True,True,True,"{'b0': 1.286430152802739, 'b1': 4.105476232028486, 'b2': -2.609963058891332, 'sigma': 0.9969710463625095, 'p_asym': 0.014971926881265685, 'gamma_i': 0.6478469212013301, 'gamma_a': 0.18762719961826407, 'rho': 74.71044313714627, 'alpha': 0.738033843439372, 'S0': 0.9656905001970344, 'E0': 0.0055053231301125825, 'I0': 0.014456656465386342, 'A0': 0.0143475202074666, 'R0': 0.0, 'fractional': 1.0}",44,10,I,no_observation_search_discovery,10
1,,SEIHR|fractional=1|obs=I,SEIHR|fractional=1|obs=I,SEIHR,True,I,0,infectious,12,5,1.3192581529757395,0.7880530521979693,1.0009415603555645,1.1756262112821967,1.2718688915910568,0.8850385744629972,0.7373699450784135,0.9222635371898852,3,0.688913336426026,0.4456047238425087,0.22280236192125435,0.54964843733632,"{'1': {'mae': 0.8127495345362666, 'rmse': 0.9756465774449088, 'smape': 0.6669284013052456}, '2': {'mae': 0.6364386360526968, 'rmse': 0.8705011818842847, 'smape': 0.5639318104411338}, '4': {'mae': 0.762921664646277, 'rmse': 0.9206428522404622, 'smape': 0.7157920291052431}}",0.109929687467264,0.235,0.12,0.1,0.015,0.0,0.0,0.0,0.0,-0.0025,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,1.2541453858145446,False,True,True,True,True,"{'b0': 2.3873321207749374, 'b1': 3.085894207116517, 'b2': -3.056998586499663, 'sigma': 0.942382054734868, 'eta': 0.5336110381855674, 'gamma_i': 0.07914218959965659, 'gamma_h': 0.27940576824040825, 'rho': 71.44667949686365, 'alpha': 0.7545473275919087, 'S0': 0.9666646725856461, 'E0': 0.008150684049353965, 'I0': 0.017913838006513968, 'H0': 0.007270805358485921, 'R0': 0.0, 'fractional': 1.0}",44,10,I,no_observation_search_discovery,10
1,,SEIR|fractional=1|obs=I,SEIR|fractional=1|obs=I,SEIR,True,I,0,infectious,9,4,1.2385780740527867,0.7379541190183495,0.9575884150793565,0.5104093169918787,0.5561157725219886,0.5313644259755913,0.9096663380086448,1.0980963066626714,3,0.8582487884411498,0.5626705316725155,0.28133526583625773,0.6107980446588531,"{'1': {'mae': 0.7101269306541844, 'rmse': 0.9041366514485139, 'smape': 0.5907977829400468}, '2': {'mae': 0.8404887337594711, 'rmse': 1.036386586255506, 'smape': 0.6859865081839303}, '4': {'mae': 1.178383349612279, 'rmse': 1.3537656822839947, 'smape': 0.8916341788590583}}",0.12215960893177064,0.185,0.09,0.08,0.015,0.0,0.0,0.0,0.0,-0.0025,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,1.4442436632091784,False,True,True,True,True,"{'b0': 0.08049466385288973, 'b1': 5.49643735865941, 'b2': -1.8006042468604195, 'sigma': 0.9098250403733765, 'gamma': 0.7335455560829887, 'rho': 81.81037823561893, 'alpha': 0.7107881807747943, 'S0': 0.9572941677638983, 'E0': 0.01009724016831665, 'I0': 0.032608592067785123, 'R0': 0.0, 'fractional': 1.0}",44,10,I,no_observation_search_discovery,10
