origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,1.3,1.9402646983164376,0.6402646983164375,0.6402646983164375
32,32,1,0.8,1.6869803451649277,0.8869803451649276,0.8869803451649276
33,33,1,0.9,1.459282788564047,0.5592827885640469,0.5592827885640469
34,34,1,0.9,1.270364679947306,0.37036467994730604,0.37036467994730604
35,35,1,0.5,1.1097804075166806,0.6097804075166806,0.6097804075166806
36,36,1,0.5,0.9654949675526991,0.46549496755269915,0.46549496755269915
37,37,1,0.8,0.8420546792423297,0.04205467924232964,0.04205467924232964
38,38,1,0.4,0.7393205507650475,0.3393205507650475,0.3393205507650475
39,39,1,0.5,0.6462971804946601,0.14629718049466012,0.14629718049466012
40,40,1,0.6,0.5665457885132105,-0.03345421148678951,0.03345421148678951
41,41,1,0.4,0.4978305764201356,0.0978305764201356,0.0978305764201356
42,42,1,0.2,0.4367433772713655,0.23674337727136546,0.23674337727136546
43,43,1,0.2,0.3825501216134011,0.18255012161340106,0.18255012161340106
44,44,1,0.4,0.33530741519746476,-0.06469258480253526,0.06469258480253526
45,45,1,0.3,0.29465552313836246,-0.005344476861637526,0.005344476861637526
46,46,1,0.2,0.25878896311474847,0.05878896311474846,0.05878896311474846
47,47,1,0.3,0.22715571298347734,-0.07284428701652265,0.07284428701652265
48,48,1,0.3,0.19961361301885958,-0.10038638698114041,0.10038638698114041
49,49,1,0.3,0.17545075628709708,-0.12454924371290291,0.12454924371290291
50,50,1,0.4,0.1542330170254018,-0.24576698297459823,0.24576698297459823
51,51,1,0.0,0.13568794859574387,0.13568794859574387,0.13568794859574387
31,32,2,0.8,1.7102305224978498,0.9102305224978497,0.9102305224978497
32,33,2,0.9,1.485827534315302,0.585827534315302,0.585827534315302
33,34,2,0.9,1.2840148210594955,0.38401482105949547,0.38401482105949547
34,35,2,0.5,1.1171796040304074,0.6171796040304074,0.6171796040304074
35,36,2,0.5,0.9756427312961281,0.4756427312961281,0.4756427312961281
36,37,2,0.8,0.8483814812852432,0.04838148128524311,0.04838148128524311
37,38,2,0.4,0.7396743706902896,0.3396743706902896,0.3396743706902896
38,39,2,0.5,0.6494106874578152,0.14941068745781516,0.14941068745781516
39,40,2,0.6,0.5675980606953889,-0.032401939304611105,0.032401939304611105
40,41,2,0.4,0.49751971907518133,0.09751971907518131,0.09751971907518131
41,42,2,0.2,0.43718375019931033,0.23718375019931032,0.23718375019931032
42,43,2,0.2,0.3835265263941424,0.1835265263941424,0.1835265263941424
43,44,2,0.4,0.3359042625370326,-0.06409573746296743,0.06409573746296743
44,45,2,0.3,0.29440472083908675,-0.005595279160913236,0.005595279160913236
45,46,2,0.2,0.25872326462500883,0.05872326462500882,0.05872326462500882
46,47,2,0.3,0.22723071681109325,-0.07276928318890674,0.07276928318890674
47,48,2,0.3,0.19945398336939835,-0.10054601663060164,0.10054601663060164
48,49,2,0.3,0.17527569485039796,-0.12472430514960203,0.12472430514960203
49,50,2,0.4,0.15406211710668583,-0.2459378828933142,0.2459378828933142
50,51,2,0.0,0.13543286238523772,0.13543286238523772,0.13543286238523772
31,34,4,0.9,1.3287697185248795,0.42876971852487944,0.42876971852487944
32,35,4,0.5,1.1526054427086596,0.6526054427086596,0.6526054427086596
33,36,4,0.5,0.9941142771758061,0.49411427717580614,0.49411427717580614
34,37,4,0.8,0.8639942310629225,0.06399423106292246,0.06399423106292246
35,38,4,0.4,0.7540445950801749,0.35404459508017483,0.35404459508017483
36,39,4,0.5,0.655040241534703,0.15504024153470297,0.15504024153470297
37,40,4,0.6,0.5706621083072806,-0.029337891692719387,0.029337891692719387
38,41,4,0.4,0.5010674351069456,0.1010674351069456,0.1010674351069456
39,42,4,0.2,0.4377637951672038,0.2377637951672038,0.2377637951672038
40,43,4,0.2,0.3836626021767313,0.1836626021767313,0.1836626021767313
41,44,4,0.4,0.3371498452586093,-0.06285015474139072,0.06285015474139072
42,45,4,0.3,0.2957500987717915,-0.004249901228208508,0.004249901228208508
43,46,4,0.2,0.25898297269080434,0.058982972690804325,0.058982972690804325
44,47,4,0.3,0.22695932743063738,-0.07304067256936261,0.07304067256936261
45,48,4,0.3,0.19946454243030054,-0.10053545756969945,0.10053545756969945
46,49,4,0.3,0.1751876323185526,-0.12481236768144738,0.12481236768144738
47,50,4,0.4,0.15377103228359168,-0.24622896771640834,0.24622896771640834
48,51,4,0.0,0.13513797744562994,0.13513797744562994,0.13513797744562994
