t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.7,1.1544619442393693,1.1561265473790507,train
1,0.7,0.8133946227499907,0.8090554054620707,train
2,0.6,0.7423082962984413,0.7365121669824188,train
3,0.5,0.7521698033237509,0.7438311302822456,train
4,1.1,0.8958685514257378,0.8855623788952102,train
5,1.6,1.1507809686923904,1.136406883523523,train
6,2.1,1.6837344548747364,1.6651818985080886,train
7,3.4,2.561011280286368,2.534441724677494,train
8,5.4,4.278296547581351,4.245873938544594,train
9,7.6,7.058123336912443,7.016594880039778,train
10,10.6,12.046075411814588,12.019876021748487,train
11,17.4,18.15913096103607,18.15650967839839,train
12,25.3,23.96910108217534,24.04002448308253,train
13,19.3,20.066309682724064,20.047149289076014,train
14,14.8,14.45059685382833,14.422580338369853,train
15,12.0,11.947512623537213,11.940400043407596,train
16,10.2,10.570122721864411,10.571915272865935,train
17,9.6,9.920281767135625,9.93139422718529,train
18,9.4,9.295738029054311,9.306777766526432,train
19,9.0,8.987539767180175,9.00258283629221,train
20,9.2,8.432833795957933,8.44311527006537,train
21,9.5,8.093838807931306,8.104813195432493,train
22,7.2,7.404657374912138,7.408207458916435,train
23,6.1,6.889018580214413,6.88978037583741,train
24,4.8,6.010204365263492,6.0019057518686045,train
25,5.0,5.271870903134504,5.257511527582223,train
26,4.4,4.279033910263417,4.257406494796035,train
27,3.6,3.457067477478308,3.4318645989290952,train
28,2.7,2.613230670129563,2.5887211236256844,train
29,2.0,1.995536878808627,1.9742357047279597,train
30,1.5,1.494140714033108,1.4780489882183931,train
31,1.3,1.1572250653304623,1.1452648577705917,validation
32,0.8,0.9104546891193808,0.9020024844716588,validation
33,0.9,0.7408497959114901,0.7346650498282492,validation
34,0.9,0.6160686983743039,0.6115195305929444,validation
35,0.5,0.5243819559771726,0.5208963014415509,validation
36,0.5,0.4539657438948102,0.45122886445869104,validation
37,0.8,0.39894716975417205,0.39672619529948866,validation
38,0.4,0.35475379376402555,0.35290611147046647,validation
39,0.5,0.31862532728234755,0.3170505559436917,validation
40,0.6,0.2885551167920925,0.28718603235772555,validation
41,0.4,0.26318419732012166,0.261972567928441,test
42,0.2,0.24152086537041303,0.24043176612086598,test
43,0.2,0.2228494063090945,0.22185621233274258,test
44,0.4,0.20663977725066995,0.20572126496692614,test
45,0.3,0.19250420394631212,0.19164221072172188,test
46,0.2,0.18016794703171024,0.17934551103574195,test
47,0.3,0.16945996177267889,0.1686594744094708,test
48,0.3,0.16032057584295542,0.1595217092073945,test
49,0.3,0.15283291805554794,0.15201004750963482,test
50,0.4,0.14728843840870523,0.14640739815602166,test
51,0.0,0.1443040636565525,0.14331831824441474,test
