round,repeat,record_key,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score_policy,score_formula,score,score_used_val_mae,score_used_multi_split,score_used_stability,score_used_complexity,score_used_age_prior,params,candidate_universe_size,candidate_budget_actual,exhaustive_max_candidates,allow_truncated_exhaustive,truncated,search_name,candidate_count
1,,SEIRS|fractional=1|obs=I,SEIRS|fractional=1|obs=I,SEIRS,True,I,0,infectious,10,4,0.6992160452873994,0.4959517165032866,0.6476460847876107,0.20545444496393586,0.24616152963133903,0.36416675279269006,0.2958778805710393,0.42210553611704404,3,0.28383264712182105,0.12651168361606072,0.06325584180803036,0.2963029014566924,"{'1': {'mae': 0.24132685098477338, 'rmse': 0.2918568844110995, 'smape': 0.39899159161239495}, '2': {'mae': 0.2768205387367239, 'rmse': 0.37382125390861487, 'smape': 0.4062667241747392}, '4': {'mae': 0.3694862519916206, 'rmse': 0.6006384700314178, 'smape': 0.4633336112414627}}",0.05926058029133849,0.20500000000000002,0.1,0.08,0.015,0.0,0.0,0.0,0.01,-0.0075,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.5445884889298515,False,True,False,True,True,"{'b0': -0.7600148849738068, 'b1': 4.644784398900056, 'b2': -0.1537891185672403, 'sigma': 0.9827284641584196, 'gamma': 0.6106169437012491, 'omega': 0.12804562581320353, 'rho': 65.17137266293796, 'alpha': 0.8752989813546066, 'S0': 0.9768932927999876, 'E0': 0.0056474752460889364, 'I0': 0.017459231953923536, 'R0': 0.0, 'fractional': 1.0}",44,44,200,False,False,no_stability_discovery,44
1,,SEIRS|fractional=1|obs=delayed_I|delay=3,SEIRS|fractional=1|obs=delayed_I|delay=3,SEIRS,True,delayed_I,3,delayed,10,4,0.6751103743922673,0.4660840130021856,0.6328890668552926,0.26195625917638327,0.29893491812411127,0.49839358133136374,0.2946885829555448,0.38780407978538317,3,0.29032610868100495,0.1054809155890986,0.0527404577945493,0.24332810969051324,"{'1': {'mae': 0.37177145865867833, 'rmse': 0.5716355097676931, 'smape': 0.4939927855203476}, '2': {'mae': 0.24049341678990085, 'rmse': 0.2826602330938235, 'smape': 0.47545655717017987}, '4': {'mae': 0.27180087341805514, 'rmse': 0.30911649649463296, 'smape': 0.5733198319136658}}",0.04866562193810265,0.22000000000000003,0.1,0.08,0.015,0.0,0.0,0.015,0.01,-0.0075,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.5555665664755544,False,True,False,True,True,"{'b0': -1.3281137666180651, 'b1': 4.620654122618176, 'b2': 1.5807979033388315, 'sigma': 0.9841001264650963, 'gamma': 0.4901926309625975, 'omega': 0.13099001632701254, 'rho': 54.98894159223267, 'alpha': 0.9114376461083186, 'S0': 0.973018766720015, 'E0': 0.012486255033209853, 'I0': 0.014494978246775054, 'R0': 0.0, 'fractional': 1.0}",44,44,200,False,False,no_stability_discovery,44
1,,SIR|fractional=0|obs=I,SIR|fractional=0|obs=I,SIR,False,I,0,infectious,6,3,1.7556523037874079,0.9020580457406026,1.2738803395945508,0.4532692550086649,0.5236906926992333,0.4686572341265972,0.3713613453923508,0.4486965374606704,3,0.35188141715040805,0.19065973197164962,0.09532986598582481,0.2517199297329162,"{'1': {'mae': 0.40933035798113027, 'rmse': 0.4872980731253067, 'smape': 0.4276257198112268}, '2': {'mae': 0.3936358592614483, 'rmse': 0.4792771214963711, 'smape': 0.4384613510469231}, '4': {'mae': 0.3111178189344738, 'rmse': 0.3795144177603334, 'smape': 0.4064145079180834}}",0.050343985946583236,0.12,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.005,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.5722112831362328,False,True,False,True,True,"{'b0': 1.6513282025904361, 'b1': 0.513255516220486, 'b2': -2.9823242892030724, 'gamma': 0.11855248197232683, 'rho': 27.550638262271743, 'S0': 0.9728316890713119, 'I0': 0.02716831092868818, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
1,,SIR|fractional=0|obs=delayed_I|delay=1,SIR|fractional=0|obs=delayed_I|delay=1,SIR,False,delayed_I,1,delayed,6,3,1.7538594235244411,0.9009857571410047,1.2734532479906198,0.4531591106572964,0.5235871630311784,0.4685637564820113,0.3712954875277375,0.4486216659834443,3,0.3518200866666109,0.19061971718813195,0.09530985859406597,0.2516835903566444,"{'1': {'mae': 0.40925777634171867, 'rmse': 0.48721395348637453, 'smape': 0.4275745127098888}, '2': {'mae': 0.3935783131147371, 'rmse': 0.479215236554383, 'smape': 0.43841515936679976}, '4': {'mae': 0.31105037312675676, 'rmse': 0.3794358079095753, 'smape': 0.40636042379977905}}",0.05033671807132888,0.125,0.06,0.06,0.0,0.0,0.0,0.005,0.0,0.005,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.577129945260677,False,True,False,True,True,"{'b0': 1.7454012392288012, 'b1': 0.7782616758405945, 'b2': -2.947268447767116, 'gamma': 0.11855795624826676, 'rho': 27.454136226308595, 'S0': 0.9707850862841805, 'I0': 0.029214913715819586, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
1,,SIR|fractional=0|obs=delayed_I|delay=2,SIR|fractional=0|obs=delayed_I|delay=2,SIR,False,delayed_I,2,delayed,6,3,1.7532077290251515,0.9040259310281712,1.273764119348577,0.45331388811533363,0.5237339421958843,0.4686940712949362,0.3714156418694368,0.4487522156507677,3,0.3519350177083542,0.1906766688345448,0.0953383344172724,0.2517390218852888,"{'1': {'mae': 0.4093860018386131, 'rmse': 0.4873532882260373, 'smape': 0.4276715265294678}, '2': {'mae': 0.39369765853757777, 'rmse': 0.47934096293186784, 'smape': 0.4385126667100787}, '4': {'mae': 0.31116326523211957, 'rmse': 0.379562395794398, 'smape': 0.40645625087682163}}",0.05034780437705776,0.13,0.06,0.06,0.0,0.0,0.0,0.01,0.0,0.005,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.5822733521256266,False,True,False,True,True,"{'b0': 1.8429658388122254, 'b1': 1.0312696857016155, 'b2': -2.879787987606935, 'gamma': 0.11855118771170582, 'rho': 27.341275092839535, 'S0': 0.9681156433060489, 'I0': 0.031884356693950996, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
1,,SIR|fractional=0|obs=delayed_I|delay=3,SIR|fractional=0|obs=delayed_I|delay=3,SIR,False,delayed_I,3,delayed,6,3,1.7575646641317741,0.9154620317734209,1.276701039384268,0.45386487409677356,0.5242545504563934,0.46915935834738764,0.37179413232863906,0.4491728243106035,3,0.35229522583791084,0.19087225216708498,0.09543612608354249,0.25193024571885975,"{'1': {'mae': 0.4097950388971315, 'rmse': 0.4878049726837354, 'smape': 0.42797537852741935}, '2': {'mae': 0.39408001902815726, 'rmse': 0.479763169862358, 'smape': 0.43881411049677604}, '4': {'mae': 0.3115073390606284, 'rmse': 0.37995033038571724, 'smape': 0.4067611863134902}}",0.050386049143771955,0.135,0.06,0.06,0.0,0.0,0.0,0.015,0.0,0.005,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.5877313519214533,False,True,False,True,True,"{'b0': 1.9076769611973887, 'b1': 1.284070829513289, 'b2': -2.745981681714371, 'gamma': 0.11852571249467649, 'rho': 27.203227349635824, 'S0': 0.964493574593906, 'I0': 0.03550642540609399, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
1,,SEIR|fractional=0|obs=I,SEIR|fractional=0|obs=I,SEIR,False,I,0,infectious,8,4,1.873127825375993,0.8838410216685972,1.2969083880555734,0.4371782241612692,0.5085345292079977,0.4549315667717389,0.3605235375425136,0.4366364890602214,3,0.34157346974488156,0.18500136629312355,0.09250068314656178,0.24621030955687706,"{'1': {'mae': 0.3978112869305284, 'rmse': 0.4745788646977702, 'smape': 0.41901139450156394}, '2': {'mae': 0.38258955722459026, 'rmse': 0.4670088840662377, 'smape': 0.4297245540497358}, '4': {'mae': 0.3011697684724222, 'rmse': 0.3683217184166563, 'smape': 0.39753209788547883}}",0.049242061911375416,0.16,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.5940741528914434,False,True,False,True,True,"{'b0': 1.327811192050754, 'b1': 2.012412764814406, 'b2': -2.6264377860664556, 'sigma': 0.9963410521915457, 'gamma': 0.1193144445655382, 'rho': 27.67065647281395, 'S0': 0.9674103627621649, 'E0': 0.014876029641231107, 'I0': 0.017713607596603908, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
1,,SEIR|fractional=0|obs=delayed_I|delay=1,SEIR|fractional=0|obs=delayed_I|delay=1,SEIR,False,delayed_I,1,delayed,8,4,1.8686726904572286,0.881723694792666,1.296695636020165,0.43728158821779406,0.5086328336864926,0.45501958022835315,0.36067325175864334,0.43678983657381804,3,0.3417183859955385,0.18506860791792362,0.09253430395896181,0.24626280095923758,"{'1': {'mae': 0.3980145752775138, 'rmse': 0.47478866243950285, 'smape': 0.4191704047834617}, '2': {'mae': 0.38273942127449234, 'rmse': 0.4671551910141382, 'smape': 0.4298519159583347}, '4': {'mae': 0.30126575872392397, 'rmse': 0.3684256562678131, 'smape': 0.39762005629715347}}",0.04925256019184752,0.165,0.08,0.08,0.0,0.0,0.0,0.005,0.0,0.0,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.5992526899545003,False,True,False,True,True,"{'b0': 1.4235211010994346, 'b1': 2.231120622380442, 'b2': -2.4331173843120513, 'sigma': 0.9963450196534404, 'gamma': 0.1193103259560657, 'rho': 27.587930653621324, 'S0': 0.9642670227941857, 'E0': 0.015448891740111702, 'I0': 0.020284085465702487, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
1,,SEIR|fractional=0|obs=delayed_I|delay=2,SEIR|fractional=0|obs=delayed_I|delay=2,SEIR,False,delayed_I,2,delayed,8,4,1.8604651404242039,0.8684165462034948,1.296010491783948,0.43769320650710036,0.5090223969433355,0.455371533887169,0.3609960467140066,0.43714437710687387,3,0.34202796900237303,0.1852201380024866,0.0926100690012433,0.24641928574206914,"{'1': {'mae': 0.3983450499222806, 'rmse': 0.4751636662899911, 'smape': 0.4194124719600727}, '2': {'mae': 0.3830704242924765, 'rmse': 0.46751344761487557, 'smape': 0.43011775665971264}, '4': {'mae': 0.30157266592726273, 'rmse': 0.3687560174157549, 'smape': 0.3979039356370123}}",0.04928385714841383,0.17,0.08,0.08,0.0,0.0,0.0,0.01,0.0,0.0,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.6046380380036164,False,True,False,True,True,"{'b0': 1.502919935791536, 'b1': 2.438978591420984, 'b2': -2.2046201982102662, 'sigma': 0.9963355111335144, 'gamma': 0.11929255382938579, 'rho': 27.492846874283416, 'S0': 0.9588864814967537, 'E0': 0.018311233944832372, 'I0': 0.02280228455841387, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
1,,SEIR|fractional=0|obs=delayed_I|delay=3,SEIR|fractional=0|obs=delayed_I|delay=3,SEIR,False,delayed_I,3,delayed,8,4,1.8439125195807433,0.8628951620021821,1.2927283762612602,0.43678682961275,0.5081715355679406,0.45459074910389197,0.360456853582209,0.4351668752481386,3,0.34108201079166833,0.1839251729822943,0.09196258649114715,0.2437299777852117,"{'1': {'mae': 0.40063990228307456, 'rmse': 0.4783302912762608, 'smape': 0.42041276493077023}, '2': {'mae': 0.376010341045263, 'rmse': 0.4547876479132014, 'smape': 0.4262250046999543}, '4': {'mae': 0.30472031741828964, 'rmse': 0.3723826865549536, 'smape': 0.40008622463864}}",0.04874599555704234,0.175,0.08,0.08,0.0,0.0,0.0,0.015,0.0,0.0,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.6080445972828155,False,True,False,True,True,"{'b0': 1.467259037760225, 'b1': 2.7416231978467263, 'b2': -1.9152056298648863, 'sigma': 0.9963649701296987, 'gamma': 0.11933661181003523, 'rho': 27.41089868570874, 'S0': 0.9469647215082986, 'E0': 0.02907152557338166, 'I0': 0.02396375291831973, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
