t,actual,full_fit_prediction,test_forecast_prediction,segment,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95,raw_lower_50,raw_upper_50,raw_lower_80,raw_upper_80,raw_lower_95,raw_upper_95
0,0.7,0.4037143429137584,0.40500744612498685,train,0.36466828832140463,1.5034678244468622,0.0914147310341914,2.031459945668726,0.0,2.7315131494220237,0.36466828832140463,1.5034678244468622,0.0914147310341914,2.031459945668726,0.0,2.7315131494220237
1,0.7,0.44442671843388165,0.44539814604811556,train,0.019342923113803145,1.0661457966314107,0.0,1.1925079337564122,0.0,1.6726478632211115,0.019342923113803145,1.0661457966314107,0.0,1.1925079337564122,0.0,1.6726478632211115
2,0.6,0.6816380405153943,0.6844875569949412,train,0.011681966628469181,1.182446811572242,0.0,1.4132657572114498,0.0,2.3971820898320804,0.011681966628469181,1.182446811572242,0.0,1.4132657572114498,0.0,2.3971820898320804
3,0.5,0.8924671863147636,0.8965333495060995,train,0.10142451707394498,1.1452803386421406,0.0,2.1150540295965055,0.0,2.2960654155733358,0.10142451707394498,1.1452803386421406,0.0,2.1150540295965055,0.0,2.2960654155733358
4,1.1,1.2185614837781025,1.224571305379973,train,0.9710249554489632,1.7751481233734308,0.680057521760028,2.0144675215310546,0.36480250822215277,2.1481648891561202,0.9710249554489632,1.7751481233734308,0.680057521760028,2.0144675215310546,0.36480250822215277,2.1481648891561202
5,1.6,1.648866637087662,1.6567437508805565,train,1.1262575363442018,2.015066904062844,0.21978440905547098,2.325712857860502,0.0,2.7911478980847257,1.1262575363442018,2.015066904062844,0.21978440905547098,2.325712857860502,0.0,2.7911478980847257
6,2.1,2.290923097731137,2.300503652826687,train,1.5965749388315915,2.575244379500161,1.0957347649703124,3.4442833624247844,0.9742685204949912,4.310501882260994,1.5965749388315915,2.575244379500161,1.0957347649703124,3.4442833624247844,0.9742685204949912,4.310501882260994
7,3.4,3.2751673033369824,3.2852771938830565,train,2.5788192293720544,3.7055126075026488,2.3542363614467314,4.291182358964813,1.8963973021389529,4.809116605439115,2.5788192293720544,3.7055126075026488,2.3542363614467314,4.291182358964813,1.8963973021389529,4.809116605439115
8,5.4,4.860366735881635,4.86756107212149,train,3.946986594960167,5.064855673150729,3.6600959217191673,6.015931359182948,3.4384077388843086,6.379324927307579,3.946986594960167,5.064855673150729,3.6600959217191673,6.015931359182948,3.4384077388843086,6.379324927307579
9,7.6,7.447286009187886,7.4426964462674565,train,6.735280373687857,8.002919857489115,6.354025543526582,8.386865577508342,5.960671046231568,9.510401208606064,6.735280373687857,8.002919857489115,6.354025543526582,8.386865577508342,5.960671046231568,9.510401208606064
