origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,1.3,2.2556914973450155,0.9556914973450155,0.9556914973450155
32,32,1,0.8,1.8373125439077211,1.037312543907721,1.037312543907721
33,33,1,0.9,1.587386813761088,0.687386813761088,0.687386813761088
34,34,1,0.9,1.3764459481587943,0.47644594815879426,0.47644594815879426
35,35,1,0.5,1.1989854401326145,0.6989854401326145,0.6989854401326145
36,36,1,0.5,1.0384693646162604,0.5384693646162604,0.5384693646162604
37,37,1,0.8,0.9011998902105756,0.10119989021057552,0.10119989021057552
38,38,1,0.4,0.792449212236789,0.39244921223678897,0.39244921223678897
39,39,1,0.5,0.6910972037071602,0.1910972037071602,0.1910972037071602
40,40,1,0.6,0.6042742799925735,0.004274279992573571,0.004274279992573571
41,41,1,0.4,0.5322532588750672,0.13225325887506723,0.13225325887506723
42,42,1,0.2,0.4670085660790971,0.26700856607909706,0.26700856607909706
43,43,1,0.2,0.408545972211461,0.20854597221146098,0.20854597221146098
44,44,1,0.4,0.35853543645211877,-0.04146456354788125,0.04146456354788125
45,45,1,0.3,0.3154339504552503,0.015433950455250312,0.015433950455250312
46,46,1,0.2,0.277342192431078,0.07734219243107798,0.07734219243107798
47,47,1,0.3,0.24300036342938663,-0.056999636570613355,0.056999636570613355
48,48,1,0.3,0.212974091796855,-0.08702590820314499,0.08702590820314499
49,49,1,0.3,0.18577205371813535,-0.11422794628186464,0.11422794628186464
50,50,1,0.4,0.16343952952053112,-0.2365604704794689,0.2365604704794689
51,51,1,0.0,0.1440706500608553,0.1440706500608553,0.1440706500608553
31,32,2,0.8,1.919787662003205,1.119787662003205,1.119787662003205
32,33,2,0.9,1.6427881191115965,0.7427881191115965,0.7427881191115965
33,34,2,0.9,1.407492056563104,0.5074920565631039,0.5074920565631039
34,35,2,0.5,1.217106383526264,0.7171063835262641,0.7171063835262641
35,36,2,0.5,1.0554025474148536,0.5554025474148536,0.5554025474148536
36,37,2,0.8,0.9147814421798973,0.11478144217989728,0.11478144217989728
37,38,2,0.4,0.7951172192833559,0.39511721928335586,0.39511721928335586
38,39,2,0.5,0.6985777471254084,0.19857774712540843,0.19857774712540843
39,40,2,0.6,0.6159026059172511,0.015902605917251122,0.015902605917251122
40,41,2,0.4,0.5330740145466067,0.13307401454660672,0.13307401454660672
41,42,2,0.2,0.5120397883462581,0.31203978834625806,0.31203978834625806
42,43,2,0.2,0.4107328525927785,0.21073285259277846,0.21073285259277846
43,44,2,0.4,0.36062152309713325,-0.03937847690286678,0.03937847690286678
44,45,2,0.3,0.3129903118721665,0.012990311872166538,0.012990311872166538
45,46,2,0.2,0.2752579381017569,0.0752579381017569,0.0752579381017569
46,47,2,0.3,0.24100657891928406,-0.058993421080715924,0.058993421080715924
47,48,2,0.3,0.21213095526594686,-0.08786904473405313,0.08786904473405313
48,49,2,0.3,0.1864216987037514,-0.1135783012962486,0.1135783012962486
49,50,2,0.4,0.16403203802406466,-0.23596796197593536,0.23596796197593536
50,51,2,0.0,0.14392211351684173,0.14392211351684173,0.14392211351684173
31,34,4,0.9,1.6061478371201812,0.7061478371201811,0.7061478371201811
32,35,4,0.5,1.3000482702201037,0.8000482702201037,0.8000482702201037
33,36,4,0.5,1.1024574234162405,0.6024574234162405,0.6024574234162405
34,37,4,0.8,0.9510244299114401,0.15102442991144005,0.15102442991144005
35,38,4,0.4,0.8277313784220138,0.4277313784220138,0.4277313784220138
36,39,4,0.5,0.7116368322994576,0.21163683229945762,0.21163683229945762
37,40,4,0.6,0.6180429785094451,0.01804297850944514,0.01804297850944514
38,41,4,0.4,0.542606495912444,0.142606495912444,0.142606495912444
39,42,4,0.2,0.4729014165795989,0.2729014165795989,0.2729014165795989
40,43,4,0.2,0.41440063433014185,0.21440063433014184,0.21440063433014184
41,44,4,0.4,0.36343085286674537,-0.036569147133254654,0.036569147133254654
42,45,4,0.3,0.31885610198089054,0.01885610198089055,0.01885610198089055
43,46,4,0.2,0.2787937026067477,0.07879370260674767,0.07879370260674767
44,47,4,0.3,0.24403023042809785,-0.05596976957190214,0.05596976957190214
45,48,4,0.3,0.21483301349700584,-0.08516698650299415,0.08516698650299415
46,49,4,0.3,0.18833020401908185,-0.11166979598091814,0.11166979598091814
47,50,4,0.4,0.1653744163689038,-0.23462558363109623,0.23462558363109623
48,51,4,0.0,0.1453840181964295,0.1453840181964295,0.1453840181964295
