origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,1.3,1.75,0.44999999999999996,0.44999999999999996
32,32,1,0.8,1.4,0.5999999999999999,0.5999999999999999
33,33,1,0.9,1.05,0.15000000000000002,0.15000000000000002
34,34,1,0.9,0.8500000000000001,-0.04999999999999993,0.04999999999999993
35,35,1,0.5,0.9,0.4,0.4
36,36,1,0.5,0.7,0.19999999999999996,0.19999999999999996
37,37,1,0.8,0.5,-0.30000000000000004,0.30000000000000004
38,38,1,0.4,0.65,0.25,0.25
39,39,1,0.5,0.6000000000000001,0.10000000000000009,0.10000000000000009
40,40,1,0.6,0.45,-0.14999999999999997,0.14999999999999997
41,41,1,0.4,0.55,0.15000000000000002,0.15000000000000002
42,42,1,0.2,0.5,0.3,0.3
43,43,1,0.2,0.30000000000000004,0.10000000000000003,0.10000000000000003
44,44,1,0.4,0.2,-0.2,0.2
45,45,1,0.3,0.30000000000000004,5.551115123125783e-17,5.551115123125783e-17
46,46,1,0.2,0.35,0.14999999999999997,0.14999999999999997
47,47,1,0.3,0.25,-0.04999999999999999,0.04999999999999999
48,48,1,0.3,0.25,-0.04999999999999999,0.04999999999999999
49,49,1,0.3,0.3,0.0,0.0
50,50,1,0.4,0.3,-0.10000000000000003,0.10000000000000003
51,51,1,0.0,0.35,0.35,0.35
31,32,2,0.8,1.75,0.95,0.95
32,33,2,0.9,1.4,0.4999999999999999,0.4999999999999999
33,34,2,0.9,1.05,0.15000000000000002,0.15000000000000002
34,35,2,0.5,0.8500000000000001,0.3500000000000001,0.3500000000000001
35,36,2,0.5,0.9,0.4,0.4
36,37,2,0.8,0.7,-0.10000000000000009,0.10000000000000009
37,38,2,0.4,0.5,0.09999999999999998,0.09999999999999998
38,39,2,0.5,0.65,0.15000000000000002,0.15000000000000002
39,40,2,0.6,0.6000000000000001,1.1102230246251565e-16,1.1102230246251565e-16
40,41,2,0.4,0.45,0.04999999999999999,0.04999999999999999
41,42,2,0.2,0.55,0.35000000000000003,0.35000000000000003
42,43,2,0.2,0.5,0.3,0.3
43,44,2,0.4,0.30000000000000004,-0.09999999999999998,0.09999999999999998
44,45,2,0.3,0.2,-0.09999999999999998,0.09999999999999998
45,46,2,0.2,0.30000000000000004,0.10000000000000003,0.10000000000000003
46,47,2,0.3,0.35,0.04999999999999999,0.04999999999999999
47,48,2,0.3,0.25,-0.04999999999999999,0.04999999999999999
48,49,2,0.3,0.25,-0.04999999999999999,0.04999999999999999
49,50,2,0.4,0.3,-0.10000000000000003,0.10000000000000003
50,51,2,0.0,0.3,0.3,0.3
31,34,4,0.9,1.75,0.85,0.85
32,35,4,0.5,1.4,0.8999999999999999,0.8999999999999999
33,36,4,0.5,1.05,0.55,0.55
34,37,4,0.8,0.8500000000000001,0.050000000000000044,0.050000000000000044
35,38,4,0.4,0.9,0.5,0.5
36,39,4,0.5,0.7,0.19999999999999996,0.19999999999999996
37,40,4,0.6,0.5,-0.09999999999999998,0.09999999999999998
38,41,4,0.4,0.65,0.25,0.25
39,42,4,0.2,0.6000000000000001,0.4000000000000001,0.4000000000000001
40,43,4,0.2,0.45,0.25,0.25
41,44,4,0.4,0.55,0.15000000000000002,0.15000000000000002
42,45,4,0.3,0.5,0.2,0.2
43,46,4,0.2,0.30000000000000004,0.10000000000000003,0.10000000000000003
44,47,4,0.3,0.2,-0.09999999999999998,0.09999999999999998
45,48,4,0.3,0.30000000000000004,5.551115123125783e-17,5.551115123125783e-17
46,49,4,0.3,0.35,0.04999999999999999,0.04999999999999999
47,50,4,0.4,0.25,-0.15000000000000002,0.15000000000000002
48,51,4,0.0,0.25,0.25,0.25
