t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.012145087670612417,0.0015500251823683832,train
1,0.2,0.2708697547632668,0.08683161348368341,train
2,0.1,0.2708948625961757,0.09676686346063021,train
3,0.2,0.27092946155790215,0.14270896490810261,train
4,0.5,0.2717236980725721,0.2060819008657077,train
5,0.4,0.28268878970395134,0.31743011721714887,train
6,0.3,0.3629688798421851,0.5004681558951982,train
7,0.6,0.6284266457520559,0.8050017815293533,train
8,1.3,1.1627754424918018,1.2886238915686723,train
9,1.9,2.044577745607288,1.9960451665485575,train
10,3.0,2.8921735252584124,2.8655652889172756,train
11,3.8,3.1131498302000566,3.6239169485447396,train
12,5.4,3.112479681251445,3.935761759552183,train
13,3.9,3.112416513549363,3.926754222228035,train
14,3.2,3.112403468277849,3.929314072416092,train
15,2.5,3.1123948446239407,3.9285657490177845,train
16,3.1,3.112386478038931,3.9286933977123253,train
17,4.1,3.1123781209852175,3.9286685068684277,train
18,3.1,3.1123697641880663,3.928655004089921,validation
19,4.0,3.112361407417411,3.928641844152618,validation
20,4.6,3.112353050669246,3.9286287270493814,validation
21,3.9,3.11234469394352,3.9286156195614743,validation
22,4.7,3.112336337240232,3.928602515089453,validation
23,4.3,3.1123279805593818,3.928589411810278,validation
24,3.4,3.112319623900969,3.928576309093757,test
25,2.7,3.112311267264994,3.9285632066831515,test
26,2.3,3.1123029106514575,3.928550104459988,test
27,1.3,3.112294554060359,3.9285370023641244,test
28,0.9,3.112286197491697,3.9285239003627352,test
29,0.7,3.112277840945473,3.928510798436901,test
30,0.3,3.1122694844216867,3.9284976965752603,test
