origin_end,target_t,horizon,actual,prediction,error,abs_error
18,18,1,3.1,2.298798941419523,-0.8012010585804772,0.8012010585804772
19,19,1,4.0,2.8050945519352366,-1.1949054480647634,1.1949054480647634
20,20,1,4.6,3.2848564787022414,-1.3151435212977582,1.3151435212977582
21,21,1,3.9,3.707092412027701,-0.1929075879722988,0.1929075879722988
22,22,1,4.7,3.754448028097893,-0.9455519719021073,0.9455519719021073
23,23,1,4.3,3.840547227043099,-0.4594527729569009,0.4594527729569009
24,24,1,3.4,3.9113043437529207,0.5113043437529208,0.5113043437529208
25,25,1,2.7,3.840422620392454,1.140422620392454,1.140422620392454
26,26,1,2.3,3.738701461025278,1.438701461025278,1.438701461025278
27,27,1,1.3,3.389167604900209,2.089167604900209,2.089167604900209
28,28,1,0.9,2.997366886922129,2.097366886922129,2.097366886922129
29,29,1,0.7,2.594658608831169,1.894658608831169,1.894658608831169
30,30,1,0.3,2.1873710596775027,1.8873710596775026,1.8873710596775026
18,19,2,4.0,2.270868018458027,-1.7291319815419728,1.7291319815419728
19,20,2,4.6,2.6541965669841554,-1.9458034330158442,1.9458034330158442
20,21,2,3.9,3.2945356377360406,-0.6054643622639593,0.6054643622639593
21,22,2,4.7,3.7052749005452252,-0.9947250994547749,0.9947250994547749
22,23,2,4.3,3.7612893571638684,-0.5387106428361315,0.5387106428361315
23,24,2,3.4,3.8398132756039374,0.43981327560393746,0.43981327560393746
24,25,2,2.7,3.9112994728953243,1.2112994728953241,1.2112994728953241
25,26,2,2.3,3.840191589440795,1.5401915894407954,1.5401915894407954
26,27,2,1.3,3.7366297394440435,2.4366297394440437,2.4366297394440437
27,28,2,0.9,3.357861741918732,2.457861741918732,2.457861741918732
28,29,2,0.7,2.940965906156076,2.2409659061560756,2.2409659061560756
29,30,2,0.3,2.5225477860314647,2.222547786031465,2.222547786031465
18,21,4,3.9,1.7971906393868262,-2.1028093606131737,2.1028093606131737
19,22,4,4.7,2.6099008657812695,-2.0900991342187307,2.0900991342187307
20,23,4,4.3,2.6352639880405997,-1.6647360119594001,1.6647360119594001
21,24,4,3.4,3.468371620405835,0.06837162040583511,0.06837162040583511
22,25,4,2.7,3.5885146863247654,0.8885146863247653,0.8885146863247653
23,26,4,2.3,3.7870445633524206,1.4870445633524207,1.4870445633524207
24,27,4,1.3,3.6993065705752564,2.3993065705752565,2.3993065705752565
25,28,4,0.9,3.7055729975628338,2.805572997562834,2.805572997562834
26,29,4,0.7,3.6931246674262446,2.993124667426245,2.993124667426245
27,30,4,0.3,3.679271576351906,3.3792715763519063,3.3792715763519063
