origin_end,target_t,horizon,actual,prediction,error,abs_error
18,18,1,11.0,8.256166682073685,-2.743833317926315,2.743833317926315
19,19,1,12.5,7.7130759216543465,-4.7869240783456535,4.7869240783456535
20,20,1,15.7,11.847223619544172,-3.8527763804558273,3.8527763804558273
21,21,1,16.9,14.120366578710831,-2.7796334212891676,2.7796334212891676
22,22,1,19.2,15.9831096219876,-3.2168903780123994,3.2168903780123994
23,23,1,21.1,17.08187304839078,-4.018126951609222,4.018126951609222
24,24,1,18.7,18.173188145992647,-0.5268118540073523,0.5268118540073523
25,25,1,14.2,19.26998349743536,5.069983497435359,5.069983497435359
26,26,1,11.1,20.598334605181698,9.498334605181698,9.498334605181698
27,27,1,7.4,19.65440992603928,12.254409926039278,12.254409926039278
28,28,1,4.2,16.19193566017394,11.99193566017394,11.99193566017394
29,29,1,2.4,13.684808254544475,11.284808254544474,11.284808254544474
30,30,1,0.8,11.609493266517033,10.809493266517032,10.809493266517032
18,19,2,12.5,6.475288104961944,-6.024711895038056,6.024711895038056
19,20,2,15.7,7.926187709639832,-7.773812290360167,7.773812290360167
20,21,2,16.9,8.440083757391983,-8.459916242608015,8.459916242608015
21,22,2,19.2,9.248852604167698,-9.951147395832301,9.951147395832301
22,23,2,21.1,10.030112020181024,-11.069887979818978,11.069887979818978
23,24,2,18.7,10.90686920293911,-7.79313079706089,7.79313079706089
24,25,2,14.2,11.795560899258922,-2.4044391007410777,2.4044391007410777
25,26,2,11.1,12.310301451692542,1.2103014516925423,1.2103014516925423
26,27,2,7.4,12.31029773884058,4.91029773884058,4.91029773884058
27,28,2,4.2,12.310292224575734,8.110292224575733,8.110292224575733
28,29,2,2.4,12.310288849576088,9.910288849576087,9.910288849576087
29,30,2,0.8,11.579766781130616,10.779766781130615,10.779766781130615
18,21,4,16.9,5.339542943936977,-11.560457056063022,11.560457056063022
19,22,4,19.2,7.864939806066931,-11.335060193933067,11.335060193933067
20,23,4,21.1,8.507496517032893,-12.592503482967109,12.592503482967109
21,24,4,18.7,20.214124136973453,1.5141241369734537,1.5141241369734537
22,25,4,14.2,18.843041807711572,4.6430418077115725,4.6430418077115725
23,26,4,11.1,22.377725114275062,11.277725114275063,11.277725114275063
24,27,4,7.4,33.1579688102029,25.757968810202904,25.757968810202904
25,28,4,4.2,4.90057307618872,0.7005730761887197,0.7005730761887197
26,29,4,2.4,-69.54988655227548,-71.94988655227549,71.94988655227549
27,30,4,0.8,-132.2568419774551,-133.05684197745512,133.05684197745512
