origin_end,target_t,horizon,actual,prediction,error,abs_error
18,18,1,11.0,7.351507617500535,-3.648492382499465,3.648492382499465
19,19,1,12.5,7.87187973215236,-4.62812026784764,4.62812026784764
20,20,1,15.7,7.8668699001324915,-7.833130099867508,7.833130099867508
21,21,1,16.9,7.86989615122606,-9.030103848773939,9.030103848773939
22,22,1,19.2,10.109283862895154,-9.090716137104845,9.090716137104845
23,23,1,21.1,11.124218568021641,-9.97578143197836,9.97578143197836
24,24,1,18.7,12.035915558182154,-6.664084441817845,6.664084441817845
25,25,1,14.2,12.594375542280211,-1.605624457719788,1.605624457719788
26,26,1,11.1,12.714675252713,1.6146752527130008,1.6146752527130008
27,27,1,7.4,12.714650604891569,5.314650604891568,5.314650604891568
28,28,1,4.2,12.714625957074592,8.514625957074593,8.514625957074593
29,29,1,2.4,11.746987226507882,9.346987226507881,9.346987226507881
30,30,1,0.8,11.196762306852602,10.396762306852601,10.396762306852601
18,19,2,12.5,6.6735992300645535,-5.8264007699354465,5.8264007699354465
19,20,2,15.7,7.825349744556236,-7.874650255443763,7.874650255443763
20,21,2,16.9,12.324773506031029,-4.5752264939689695,4.5752264939689695
21,22,2,19.2,15.108589703152923,-4.0914102968470765,4.0914102968470765
22,23,2,21.1,17.011704427833525,-4.088295572166476,4.088295572166476
23,24,2,18.7,18.91466112569957,0.2146611256995712,0.2146611256995712
24,25,2,14.2,20.92380128129443,6.723801281294431,6.723801281294431
25,26,2,11.1,22.13558678983043,11.03558678983043,11.03558678983043
26,27,2,7.4,21.978717931051033,14.578717931051033,14.578717931051033
27,28,2,4.2,23.118936981333114,18.918936981333115,18.918936981333115
28,29,2,2.4,20.027662780040483,17.627662780040485,17.627662780040485
29,30,2,0.8,20.939284671950425,20.139284671950424,20.139284671950424
18,21,4,16.9,5.6051290074322715,-11.294870992567727,11.294870992567727
19,22,4,19.2,8.733767675081765,-10.466232324918234,10.466232324918234
20,23,4,21.1,14.331076471083737,-6.768923528916265,6.768923528916265
21,24,4,18.7,17.093876693238073,-1.6061233067619263,1.6061233067619263
22,25,4,14.2,42.053738910820684,27.853738910820685,27.853738910820685
23,26,4,11.1,38.30257216494174,27.202572164941742,27.202572164941742
24,27,4,7.4,31.629172319313362,24.229172319313363,24.229172319313363
25,28,4,4.2,28.525238995567857,24.325238995567858,24.325238995567858
26,29,4,2.4,24.659545685047245,22.259545685047247,22.259545685047247
27,30,4,0.8,22.451899760975586,21.651899760975585,21.651899760975585
