round,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score,params
1,SEIHR|fractional=0|obs=H,SEIHR,False,H,0,hospitalized,11,5,0.2297941218644105,0.25553706108915697,0.3196525648486517,2.3475170106838568,2.5161260758608286,0.6821210299575599,0.7571310829320768,0.7828651572222038,2,0.7534105288931523,0.13868070692018855,0.06934035346009428,0.19593549458285928,"{'1': {'mae': 0.7658931575707887, 'rmse': 0.8010066223333937, 'smape': 0.1985814751187853}, '2': {'mae': 0.7483690082933647, 'rmse': 0.764723692111014, 'smape': 0.17431702270903993}}",0.03918709891657186,0.21500000000000002,0.11,0.1,0.0,0.0,0.005,0.0,0.0,0.0,1.0769379812698185,"{'b0': 1.2127485444512607, 'b1': 1.0790327873301344, 'b2': -0.48950845614900756, 'sigma': 0.6851076954690009, 'eta': 0.23765669809193857, 'gamma_i': 0.03270517661908867, 'gamma_h': 0.06954395707776033, 'rho': 4.866340505068081, 'S0': 0.9273336072555672, 'E0': 0.02432698688259469, 'I0': 0.015585719876711186, 'H0': 0.03275368598512691, 'R0': 0.0, 'fractional': 0.0}"
2,SEIHR|fractional=1|obs=H,SEIHR,True,H,0,hospitalized,12,5,0.23573512634724766,0.2551958104704346,0.3181421008136298,2.3516847277713375,2.52002082151028,0.6837850821870401,0.8450605525747473,0.8743108088911714,2,0.8232962003584586,0.3216364988082742,0.1608182494041371,0.22178719533545344,"{'1': {'mae': 0.5431166744422768, 'rmse': 0.5705309962523613, 'smape': 0.12979265701897788}, '2': {'mae': 1.1470044307072178, 'rmse': 1.1780906215299816, 'smape': 0.29385627327354746}}",0.04435743906709069,0.24,0.12,0.1,0.015,0.0,0.005,0.0,0.0,0.005,1.2734718888296863,"{'b0': 1.2171093859795596, 'b1': 1.1509832820927877, 'b2': -0.5435377146545306, 'sigma': 0.7179719275166128, 'eta': 0.24534485814723733, 'gamma_i': 0.03308421172133401, 'gamma_h': 0.07753919991080083, 'rho': 5.115997101931489, 'alpha': 0.9778058809533585, 'S0': 0.9300762667064535, 'E0': 0.022988866040179363, 'I0': 0.015058262792280777, 'H0': 0.03187660446108623, 'R0': 0.0, 'fractional': 1.0}"
1,SEIR|fractional=0|obs=delayed_I|delay=2,SEIR,False,delayed_I,2,delayed,8,4,0.15362322211120832,0.19195832365269586,0.2549491578423006,2.2400733803641573,2.3768849214363748,0.6401721387076561,1.0794875733667757,1.1129330923107825,2,1.0602336884076728,0.2878640594207437,0.14393202971037186,0.2639074198302619,"{'1': {'mae': 0.8599632511168949, 'rmse': 0.9018175339869524, 'smape': 0.22679362642794332}, '2': {'mae': 1.2990118956166565, 'rmse': 1.3240486506346127, 'smape': 0.3342885815474868}}",0.05278148396605238,0.17,0.08,0.08,0.0,0.0,0.0,0.01,0.0,-0.005,1.421947202084097,"{'b0': 0.4085028510713773, 'b1': 1.4164576736018046, 'b2': -0.9082814087745034, 'sigma': 0.844700410431375, 'gamma': 0.02269678491010325, 'rho': 2.9253842149612836, 'S0': 0.9431049744344796, 'E0': 0.03161671875603178, 'I0': 0.025278306809488577, 'R0': 0.0, 'fractional': 0.0}"
2,SEIR|fractional=1|obs=delayed_I|delay=2,SEIR,True,delayed_I,2,delayed,9,4,0.15831681141257734,0.19507101108931885,0.25923523233981655,2.2362840281971437,2.374989181109103,0.6386619500361546,1.0549764060250766,1.094827412730715,2,1.0317450345524666,0.3071900166884759,0.15359500834423795,0.2889048145290044,"{'1': {'mae': 0.8387388449481662, 'rmse': 0.8834422824421699, 'smape': 0.22214771499824817}, '2': {'mae': 1.2712139671019869, 'rmse': 1.3062125430192602, 'smape': 0.3284269557299028}}",0.057780962905800884,0.195,0.09,0.08,0.015,0.0,0.0,0.01,0.0,0.0,1.4381210058025053,"{'b0': 0.45015772575296426, 'b1': 1.4159962283390208, 'b2': -0.904058456536778, 'sigma': 0.8467869802165725, 'gamma': 0.02729559522777935, 'rho': 3.0298271391981735, 'alpha': 0.96925487044595, 'S0': 0.9440560628808253, 'E0': 0.03117927055915102, 'I0': 0.024764666560023598, 'R0': 0.0, 'fractional': 1.0}"
1,SEIR|fractional=0|obs=delayed_I|delay=3,SEIR,False,delayed_I,3,delayed,8,4,0.14228905215817012,0.18712793015352422,0.25367793904406233,2.239720340246524,2.37680866163949,0.6400286357768958,1.0912287893235015,1.1247153477462621,2,1.072894162483606,0.2885076386543439,0.14425381932717196,0.2632024655780285,"{'1': {'mae': 0.8672253377166216, 'rmse': 0.9113297168148364, 'smape': 0.2288830033801307}, '2': {'mae': 1.3152322409303816, 'rmse': 1.3381009786776878, 'smape': 0.3383582535950954}}",0.0526404931156057,0.175,0.08,0.08,0.0,0.0,0.0,0.015,0.0,-0.005,1.4397884749263836,"{'b0': 0.5968766635950201, 'b1': 1.1794920981070507, 'b2': -0.6017452800405988, 'sigma': 0.8110120641353471, 'gamma': 0.022889269292612605, 'rho': 2.9259837900521677, 'S0': 0.9353268993668931, 'E0': 0.03728373474568809, 'I0': 0.02738936588741873, 'R0': 0.0, 'fractional': 0.0}"
1,SEIR|fractional=0|obs=I,SEIR,False,I,0,infectious,8,4,0.1688023471792578,0.19793526169183062,0.2552004945099493,2.2632844129536362,2.400627859870776,0.6491508000176712,1.0829837692029731,1.134237360936054,2,1.0549936174442487,0.33951036731531964,0.16975518365765982,0.3358126195763823,"{'1': {'mae': 0.865619564065241, 'rmse': 0.9157139377769582, 'smape': 0.23242759152360834}, '2': {'mae': 1.3003479743407054, 'rmse': 1.3527607840951499, 'smape': 0.33991525138139594}}",0.06716252391527647,0.16,0.08,0.08,0.0,0.0,0.0,0.0,0.0,-0.005,1.446911325017185,"{'b0': 0.09692817075197917, 'b1': 1.60058052276499, 'b2': -1.486562946048747, 'sigma': 0.8884692885940086, 'gamma': 0.02435461415472367, 'rho': 2.957044440558545, 'S0': 0.9490451692418586, 'E0': 0.027039886946327096, 'I0': 0.023914943811814273, 'R0': 0.0, 'fractional': 0.0}"
1,SEIR|fractional=0|obs=delayed_I|delay=1,SEIR,False,delayed_I,1,delayed,8,4,0.16232246368277764,0.19486601167187856,0.25510172707086476,2.2483749195115634,2.385286243642177,0.6433785511702954,1.0837202082409416,1.1334131358403723,2,1.0566624014740604,0.334035428457144,0.167017714228572,0.3305949366139926,"{'1': {'mae': 0.865890104627986, 'rmse': 0.91464156081696, 'smape': 0.23214605256558518}, '2': {'mae': 1.3015503118538971, 'rmse': 1.3521847108637846, 'smape': 0.33969095005047506}}",0.06611898732279851,0.165,0.08,0.08,0.0,0.0,0.0,0.005,0.0,-0.005,1.4497991030254311,"{'b0': 0.2427651647296412, 'b1': 1.5547377249586511, 'b2': -1.2115642433578713, 'sigma': 0.8722991731534274, 'gamma': 0.02321742597346434, 'rho': 2.936056357716597, 'S0': 0.9470127544945053, 'E0': 0.028676126980334508, 'I0': 0.024311118525160227, 'R0': 0.0, 'fractional': 0.0}"
1,SEIR|fractional=1|obs=I,SEIR,True,I,0,infectious,9,4,0.17323294777930928,0.19868186934317827,0.25652991802419567,2.26242650332727,2.401405508102723,0.6487708117837131,1.0727774912778414,1.1200507822696353,2,1.04595055558321,0.33029773713925037,0.16514886856962518,0.3200495473821545,"{'1': {'mae': 0.8566557965366323, 'rmse': 0.9048918060509028, 'smape': 0.2289621939681691}, '2': {'mae': 1.2888991860190504, 'rmse': 1.3352097584883678, 'smape': 0.33561028553778477}}",0.06400990947643091,0.185,0.09,0.08,0.015,0.0,0.0,0.0,0.0,0.0,1.460109333629266,"{'b0': 0.1886853714985355, 'b1': 1.624025048142023, 'b2': -1.5415489438148686, 'sigma': 0.8895347297934012, 'gamma': 0.029572585042977415, 'rho': 3.067696770847452, 'alpha': 0.9660843120866355, 'S0': 0.9500543679158538, 'E0': 0.026574534423890954, 'I0': 0.023371097660255243, 'R0': 0.0, 'fractional': 1.0}"
2,SEIR|fractional=1|obs=delayed_I|delay=3,SEIR,True,delayed_I,3,delayed,9,4,0.14702120709345382,0.18964976016490656,0.2575051071737959,2.2345139974751755,2.373420042152803,0.6379748140928857,1.0904038553619815,1.1233559387172347,2,1.0723566112550187,0.286536587484265,0.1432682937421325,0.2609852929584592,"{'1': {'mae': 0.8671562813352582, 'rmse': 0.9105513722675682, 'smape': 0.22862795055568966}, '2': {'mae': 1.3136514293887047, 'rmse': 1.3361605051669014, 'smape': 0.3376280402710445}}",0.05219705859169184,0.2,0.09,0.08,0.015,0.0,0.0,0.015,0.0,0.0,1.467821963588843,"{'b0': 0.6407629689257268, 'b1': 1.1876724093866702, 'b2': -0.6012667588221738, 'sigma': 0.8121977559638056, 'gamma': 0.027407831226172606, 'rho': 3.0301452528492483, 'alpha': 0.969307285667168, 'S0': 0.9366195507406828, 'E0': 0.03668090982771705, 'I0': 0.026699539431600076, 'R0': 0.0, 'fractional': 1.0}"
1,SEIAR|fractional=0|obs=I,SEIAR,False,I,0,infectious,11,5,0.19763228138627104,0.2116890363622259,0.2634220361976508,2.2192598846914025,2.354696161115195,0.6321987769970093,1.0609176399234967,1.1188073306845228,2,1.029710155504716,0.3582342878415564,0.1791171439207782,0.35352678963199036,"{'1': {'mae': 0.8463625555368393, 'rmse': 0.9040967536172066, 'smape': 0.22736054697814045}, '2': {'mae': 1.2754727243101545, 'rmse': 1.3335179077518389, 'smape': 0.3335480857822791}}",0.07070535792639808,0.21000000000000002,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.489532657351892,"{'b0': 0.10484502769241011, 'b1': 1.9350835999058664, 'b2': -1.6869111379469772, 'sigma': 0.901284832240458, 'p_asym': 0.05593441907202226, 'gamma_i': 0.020554838296198395, 'gamma_a': 0.7901332331418848, 'rho': 3.439114877676912, 'S0': 0.8429864550941978, 'E0': 0.026014214931240322, 'I0': 0.022791522253350606, 'A0': 0.10820780772121127, 'R0': 0.0, 'fractional': 0.0}"
