t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,9.137262782596672e-05,0.00010851985367647133,train
1,0.1,0.001002305068558396,0.002034080034211745,train
2,0.1,0.0017944504593091183,0.0029398051234687775,train
3,0.1,0.008610766433969316,0.014183528927426423,train
4,0.2,0.019833794914224424,0.02899572454108599,train
5,0.2,0.06355621205622393,0.08393576005390198,train
6,0.2,0.1477305722600633,0.17488490990447444,train
7,0.3,0.352139823552092,0.36589908054088055,train
8,0.6,0.6901483925132033,0.6443996550755252,train
9,0.7,1.1880795660246088,1.01623718006289,train
10,1.2,1.7072044853863537,1.4148520812638479,train
11,1.9,2.1220920942193984,1.7890254345400414,train
12,2.9,2.3873978854062896,2.1084079594829115,train
13,3.0,2.5415920410420796,2.372488910249466,train
14,2.5,2.631468712356506,2.594962212060646,train
15,2.1,2.6874392561085725,2.7932095612040215,train
16,2.3,2.72594820304273,2.9844992617750496,train
17,3.0,2.75569271696392,3.186594050723673,train
18,3.5,2.781660051381797,3.420408780301809,validation
19,3.8,2.8073038536994424,3.713252409632074,validation
20,4.6,2.835816270463108,4.099304232318469,validation
21,4.6,2.87111842959715,4.605024952132195,validation
22,5.2,2.918854017104528,5.1895092594160905,validation
23,5.5,2.9870196358784757,5.6367735646577675,validation
24,4.8,3.083651266272474,5.676789542043873,test
25,3.6,3.2039433922314395,5.689293934309723,test
26,2.7,3.3034950811293724,5.668908453159437,test
27,1.8,3.318426187192372,5.727569710596016,test
28,1.1,3.314822674389752,5.477003736110085,test
29,0.6,3.3219521828544596,6.759758045763408,test
30,0.2,3.2963871432031624,-0.821661734415064,test
