t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,9.739495373381331e-26,0.0011553274419912433,train
1,0.1,9.739489365840992e-26,0.0012352588657990634,train
2,0.1,0.10294987094221907,0.043504680970174216,train
3,0.1,0.2791358727367747,0.12253963108468895,train
4,0.2,0.5045616520960802,0.23350919666861025,train
5,0.2,0.7600314805770096,0.37211267235496703,train
6,0.2,1.0303657920921672,0.534523331216287,train
7,0.3,1.3037312003540644,0.7173381156366652,train
8,0.6,1.571069462553713,0.9175326279492941,train
9,0.7,1.8256118586644654,1.132420876129869,train
10,1.2,2.0624672101061345,1.3596193481068244,train
11,1.9,2.2782732971083837,1.5970154359760864,train
12,2.9,2.4709027774442656,1.8427430567941059,train
13,3.0,2.6392158836051336,2.0951885092339593,train
14,2.5,2.7828532015323666,2.3531881457991295,train
15,2.1,2.9020627298410155,2.617174636316394,train
16,2.3,2.9975562000375935,2.891504502001106,train
17,3.0,3.070390319613363,3.1843618558899762,train
18,3.5,3.121869193465622,3.5046705862013208,validation
19,3.8,3.1534646957554573,3.858547493814468,validation
20,4.6,3.1667520136317058,4.2471911143683,validation
21,4.6,3.1633579746598177,4.667411481219354,validation
22,5.2,3.144920108692236,5.114318537337592,validation
23,5.5,3.1130546888045196,5.583415015549337,validation
24,4.8,3.0693322505059997,6.0707566128655595,test
25,3.6,3.015259308723258,6.572829739325247,test
26,2.7,2.95226518244142,7.086543209797135,test
27,1.8,2.8816930012222866,7.609152686511913,test
28,1.1,2.8047941094727555,8.138251901988665,test
29,0.6,2.7227252062652134,8.671707085555392,test
30,0.2,2.63654766329802,9.207658498786067,test
