t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.33877364006237365,0.17520994497728137,train
1,0.2,0.33877364006237365,0.17520994497728137,train
2,0.2,0.33877364006237365,0.17520994497728137,train
3,0.5,0.33877364006237365,0.17520994497728137,train
4,0.4,0.6791596451964144,0.22765611571607047,train
5,0.3,0.7298129026039126,0.40216551529079564,train
6,0.8,1.2095655939518417,0.6758808918843664,train
7,1.1,1.44931851694231,1.106276181876713,train
8,2.0,2.1396130008612047,1.7444034581082326,train
9,2.5,2.649139060880357,2.6219679387215473,train
10,3.1,3.5799620719218224,3.71458268971008,train
11,4.2,4.361350792738651,4.9127416100565275,train
12,7.0,5.424614424373814,6.037169212339565,train
13,9.0,6.2838424400392405,6.911172161149236,train
14,6.3,7.159519262220233,7.436420666044527,train
15,5.8,7.692519852323378,7.6092974202868735,train
16,6.8,7.963532216362884,7.486537292229859,train
17,7.6,7.8026425692030115,7.145586249041756,train
18,8.4,7.29104303988285,6.660904474607122,validation
19,5.5,6.457233323879058,6.0943551355083825,validation
20,6.9,5.437976561963094,5.493213522175938,validation
21,4.2,4.352707793133142,4.8914380420101295,validation
22,4.7,3.3214523671804974,4.312016535726186,validation
23,2.5,2.4226254704801757,3.769420097635403,validation
24,0.8,1.6958891751784602,3.2717828727594642,test
25,0.2,1.1444474691202808,2.8226935860734725,test
26,0.1,0.7483747523219998,2.4226008630941163,test
27,0.0,0.4768482788682053,2.069879924674235,test
28,0.0,0.29782209534631965,1.7616209540854058,test
29,0.0,0.1834594735774043,1.4941976172649032,test
30,0.0,0.11217743593390857,1.2636667145750697,test
