t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.17689817430971017,0.03773911461283155,train
1,0.2,0.20060526994217628,0.04880177855313224,train
2,0.2,0.32700448504903884,0.08744944097006249,train
3,0.5,0.3888527728474842,0.15061509283679725,train
4,0.4,0.6226233341873965,0.2580090095544093,train
5,0.3,0.759588562727605,0.4356071801771838,train
6,0.8,1.1797809059947069,0.720477815592691,train
7,1.1,1.4463923288173155,1.1586273143761916,train
8,2.0,2.149618022303323,1.7958085621059026,train
9,2.5,2.595864421083906,2.656656566171897,train
10,3.1,3.638322250200029,3.714854897239892,train
11,4.2,4.243929141743631,4.87170174488624,train
12,7.0,5.526178934284481,5.970124278320597,train
13,9.0,6.110260674695481,6.850225862005471,train
14,6.3,7.284853521779943,7.40953032171968,train
15,5.8,7.504824278103283,7.6248145856293,train
16,6.8,8.08903089875282,7.5341429228739445,train
17,7.6,7.656043839292369,7.205964441723422,train
18,8.4,7.395573967091909,6.714679833741542,validation
19,5.5,6.3743095153117295,6.126970150234391,validation
20,6.9,5.504200376753582,5.4963112269158305,validation
21,4.2,4.3124303646228705,4.862244197874005,validation
22,4.7,3.345663358123948,4.251923208256151,validation
23,2.5,2.3974828922608618,3.6824745458157686,validation
24,0.8,1.693145022778509,3.163405796385579,test
25,0.2,1.125348441366286,2.6987256169343556,test
26,0.1,0.7382288484244979,2.2886644059878525,test
27,0.0,0.4645979167229801,1.9309992474615745,test
28,0.0,0.29047529688481205,1.6220342737032296,test
29,0.0,0.17757698032798266,1.3573014408339568,test
30,0.0,0.10893618623584292,1.132044550942005,test
