t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.4,1.2259361363174301,0.0033450099154707607,train
1,0.2,1.2259361363174301,0.0033450099154707607,train
2,0.6,1.2259361363174301,0.0033450099154707607,train
3,0.6,0.39281578908202025,0.047651206684318444,train
4,0.8,1.1632010545684308,0.08575478627808462,train
5,0.6,0.9602735008664532,0.17614027977004215,train
6,0.8,1.5777696981831157,0.35211360987929546,train
7,1.5,1.7724913976467345,0.6941760905213005,train
8,2.1,2.5240544201025346,1.331600704492812,train
9,2.6,3.1535234355994763,2.4455810709940566,train
10,3.6,4.254206257185329,4.196831109264513,train
11,4.6,5.431817071899786,6.5197116375412,train
12,10.2,7.021167344600529,8.918272815726061,train
13,13.9,8.74814053723606,10.792535464392772,train
14,12.2,10.697836599364399,12.075356456940504,train
15,9.7,12.584010603448778,12.908033326243025,train
16,11.0,14.255882786354913,13.372690476704758,train
17,12.7,15.397548337232848,13.546027863162802,train
18,15.7,15.798107804398319,13.490725646048572,validation
19,14.4,15.306122903879782,13.258650901478957,validation
20,14.3,13.953170099923305,12.89255739217977,validation
21,14.0,11.932214313147645,12.427523973441442,validation
22,12.1,9.559236056539904,11.892178098899853,validation
23,8.4,7.174557620623795,11.309736135647988,validation
24,3.3,5.052384685328942,10.69888701631585,test
25,1.1,3.34772211357683,10.074541893174088,test
26,0.3,2.095311477042898,9.448469239196088,test
27,0.1,1.244650082059913,8.829832092778302,test
28,0.3,0.7054175106256813,8.225641781298297,test
29,0.1,0.38361465186684307,7.641140425697278,test
30,0.0,0.20133288001417612,7.080122777587224,test
