origin_end,target_t,horizon,actual,prediction,error,abs_error
18,18,1,6.0,4.765385241105498,-1.2346147588945016,1.2346147588945016
19,19,1,5.0,5.315273553568553,0.31527355356855313,0.31527355356855313
20,20,1,5.0,5.199585638331042,0.19958563833104215,0.19958563833104215
21,21,1,4.4,5.148322420163636,0.7483224201636354,0.7483224201636354
22,22,1,4.0,5.032071239756658,1.0320712397566583,1.0320712397566583
23,23,1,2.8,4.897007951759427,2.0970079517594273,2.0970079517594273
24,24,1,1.3,4.663955018499548,3.3639550184995484,3.3639550184995484
25,25,1,0.3,4.663957218096071,4.363957218096071,4.363957218096071
26,26,1,0.1,4.059822071333459,3.9598220713334586,3.9598220713334586
27,27,1,0.1,3.783490303366497,3.6834903033664967,3.6834903033664967
28,28,1,0.1,3.5886438318728535,3.4886438318728534,3.4886438318728534
29,29,1,0.0,3.3762412130765798,3.3762412130765798,3.3762412130765798
30,30,1,0.0,3.192512583379946,3.192512583379946,3.192512583379946
18,19,2,5.0,6.5981184858228445,1.5981184858228445,1.5981184858228445
19,20,2,5.0,6.43969645943311,1.4396964594331099,1.4396964594331099
20,21,2,4.4,6.016978086444072,1.616978086444072,1.616978086444072
21,22,2,4.0,5.778020669758824,1.7780206697588241,1.7780206697588241
22,23,2,2.8,5.441051043772696,2.6410510437726966,2.6410510437726966
23,24,2,1.3,5.163500660998732,3.8635006609987324,3.8635006609987324
24,25,2,0.3,4.787255877542618,4.487255877542618,4.487255877542618
25,26,2,0.1,4.399240717580728,4.299240717580728,4.299240717580728
26,27,2,0.1,4.035663003108292,3.9356630031082918,3.9356630031082918
27,28,2,0.1,3.741722305079108,3.641722305079108,3.641722305079108
28,29,2,0.0,3.499975879944543,3.499975879944543,3.499975879944543
29,30,2,0.0,3.296154307379854,3.296154307379854,3.296154307379854
18,21,4,4.4,6.207289117284672,1.8072891172846717,1.8072891172846717
19,22,4,4.0,6.500127712902302,2.5001277129023016,2.5001277129023016
20,23,4,2.8,6.011368355519603,3.2113683555196033,3.2113683555196033
21,24,4,1.3,5.712161079432097,4.412161079432098,4.412161079432098
22,25,4,0.3,5.330035235761705,5.030035235761705,5.030035235761705
23,26,4,0.1,4.9242208194544705,4.824220819454471,4.824220819454471
24,27,4,0.1,4.906518601765048,4.806518601765048,4.806518601765048
25,28,4,0.1,3.82338393016377,3.72338393016377,3.72338393016377
26,29,4,0.0,1.9335518092210022,1.9335518092210022,1.9335518092210022
27,30,4,0.0,1.7734933085030002,1.7734933085030002,1.7734933085030002
