origin_end,target_t,horizon,actual,prediction,error,abs_error
18,18,1,6.0,4.5868292859830575,-1.4131707140169425,1.4131707140169425
19,19,1,5.0,4.665946023076395,-0.33405397692360506,0.33405397692360506
20,20,1,5.0,4.68569388297601,-0.3143061170239898,0.3143061170239898
21,21,1,4.4,4.67098011909104,0.2709801190910399,0.2709801190910399
22,22,1,4.0,4.4044510417987,0.4044510417987004,0.4044510417987004
23,23,1,2.8,4.905987156115874,2.105987156115874,2.105987156115874
24,24,1,1.3,3.457794741967996,2.1577947419679964,2.1577947419679964
25,25,1,0.3,6.423584927406986,6.123584927406986,6.123584927406986
26,26,1,0.1,4.281938583808022,4.181938583808022,4.181938583808022
27,27,1,0.1,4.199638300604232,4.099638300604233,4.099638300604233
28,28,1,0.1,4.139802137179149,4.03980213717915,4.03980213717915
29,29,1,0.0,4.074771508121784,4.074771508121784,4.074771508121784
30,30,1,0.0,4.010760673052911,4.010760673052911,4.010760673052911
18,19,2,5.0,5.360766726244202,0.3607667262442016,0.3607667262442016
19,20,2,5.0,5.903662296149298,0.9036622961492977,0.9036622961492977
20,21,2,4.4,5.450231236270636,1.050231236270636,1.050231236270636
21,22,2,4.0,5.403748591072139,1.403748591072139,1.403748591072139
22,23,2,2.8,5.328823937104337,2.5288239371043373,2.5288239371043373
23,24,2,1.3,5.365994329943306,4.065994329943306,4.065994329943306
24,25,2,0.3,5.412681715002991,5.112681715002991,5.112681715002991
25,26,2,0.1,5.352500769369563,5.252500769369563,5.252500769369563
26,27,2,0.1,5.477119199387127,5.377119199387128,5.377119199387128
27,28,2,0.1,5.322164636541035,5.222164636541035,5.222164636541035
28,29,2,0.0,5.463615720052864,5.463615720052864,5.463615720052864
29,30,2,0.0,5.389963925123479,5.389963925123479,5.389963925123479
18,21,4,4.4,4.511598705026415,0.11159870502641489,0.11159870502641489
19,22,4,4.0,4.934352620029533,0.9343526200295331,0.9343526200295331
20,23,4,2.8,4.943338433514077,2.143338433514077,2.143338433514077
21,24,4,1.3,4.963078751188647,3.663078751188647,3.663078751188647
22,25,4,0.3,4.810136365093253,4.5101363650932536,4.5101363650932536
23,26,4,0.1,4.351796171828667,4.251796171828667,4.251796171828667
24,27,4,0.1,3.9699779289271127,3.8699779289271126,3.8699779289271126
25,28,4,0.1,3.5315874915531302,3.43158749155313,3.43158749155313
26,29,4,0.0,2.968318647493104,2.968318647493104,2.968318647493104
27,30,4,0.0,2.868824046593732,2.868824046593732,2.868824046593732
