round,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score,params
1,SEIRS|fractional=0|obs=I,SEIRS,False,I,0,infectious,9,4,0.09750784536010976,0.22598817416097883,0.2779854781101647,0.47069363237041884,0.5576825970362148,0.6738731131160257,0.3926458518720969,0.4425910409706001,2,0.40272533553161516,0.1328326795842611,0.06641633979213055,0.20060032694816995,"{'1': {'mae': 0.3458859500898015, 'rmse': 0.4097770294441372, 'smape': 0.447123020727281}, '2': {'mae': 0.4394057536543922, 'rmse': 0.47540505249706294, 'smape': 0.5848153041515953}}",0.040120065389633995,0.18,0.09,0.08,0.0,0.0,0.0,0.0,0.01,-0.01,0.6792617407133796,"{'b0': 0.20702781997207503, 'b1': 0.28804379193130886, 'b2': -0.06495107196639317, 'sigma': 0.25565626311007017, 'gamma': 0.08822177438649825, 'omega': 0.07013491613924362, 'rho': 1.0298721883401627, 'S0': 0.695200869305298, 'E0': 0.20414395612513267, 'I0': 0.1006551745695694, 'R0': 0.0, 'fractional': 0.0}"
2,SEIRS|fractional=1|obs=I,SEIRS,True,I,0,infectious,10,4,0.1005523534381089,0.2438659251489121,0.301458755126679,0.3842216798040058,0.4597905355722408,0.5082116761089314,0.3740855819053785,0.431169831666088,2,0.38377361449862935,0.13842138985461142,0.06921069492730571,0.2139935793479698,"{'1': {'mae': 0.34177848666883787, 'rmse': 0.40149523304628687, 'smape': 0.44147454368567546}, '2': {'mae': 0.4063926771419191, 'rmse': 0.4608444302858891, 'smape': 0.5160705556482574}}",0.04279871586959397,0.20500000000000002,0.1,0.08,0.015,0.0,0.0,0.0,0.01,-0.0075,0.693283025295529,"{'b0': 0.23639017811353136, 'b1': 0.11467763224162121, 'b2': 0.07790149095084481, 'sigma': 0.22372650721860016, 'gamma': 0.06464703193347829, 'omega': 0.48310022242609246, 'rho': 0.7865012717110575, 'alpha': 0.9307530013277827, 'S0': 0.5075341393719128, 'E0': 0.34836983189661247, 'I0': 0.14409602873147478, 'R0': 0.0, 'fractional': 1.0}"
2,SEIRS|fractional=0|obs=delayed_I|delay=1,SEIRS,False,delayed_I,1,delayed,9,4,0.09231096321174057,0.20910275791848992,0.25843924527319934,0.5223227309086527,0.6104386094206544,0.7890732975242255,0.4181395528603078,0.46223563790958033,2,0.42722566321213823,0.11892377015505888,0.05946188507752944,0.19284982513924342,"{'1': {'mae': 0.36527221928773496, 'rmse': 0.4227200718232585, 'smape': 0.4876025161246985}, '2': {'mae': 0.4710068864328807, 'rmse': 0.5017512039959022, 'smape': 0.6519737118067713}}",0.038569965027848686,0.185,0.09,0.08,0.0,0.0,0.0,0.005,0.01,-0.01,0.7002575133175164,"{'b0': 0.38714854140103516, 'b1': 0.36927570701427315, 'b2': -0.09200528590473249, 'sigma': 0.31762233551127383, 'gamma': 0.11810666912249224, 'omega': 0.05149894227657259, 'rho': 1.2170584960336566, 'S0': 0.75567554859493, 'E0': 0.1593473092266223, 'I0': 0.08497714217844761, 'R0': 0.0, 'fractional': 0.0}"
3,SEIRS|fractional=1|obs=delayed_I|delay=1,SEIRS,True,delayed_I,1,delayed,10,4,0.09665930597250379,0.22289996725273453,0.27478646260291645,0.47085829427758713,0.5579207632248391,0.6741811052280389,0.39121210006990925,0.4397729799324598,2,0.40088057607880234,0.12697599880187965,0.06348799940093983,0.1977828704879258,"{'1': {'mae': 0.34402121376838013, 'rmse': 0.40471860395648335, 'smape': 0.4454109440906057}, '2': {'mae': 0.43840298637143843, 'rmse': 0.4748273559084362, 'smape': 0.5835278745253524}}",0.039556574097585166,0.21000000000000002,0.1,0.08,0.015,0.0,0.0,0.005,0.01,-0.0075,0.7064251495773274,"{'b0': 0.3907553265079211, 'b1': 0.2536136900573148, 'b2': -0.013332950351303895, 'sigma': 0.2888710112421745, 'gamma': 0.10088727269664344, 'omega': 0.0668822454368002, 'rho': 1.0797784615691917, 'alpha': 0.9616543801450816, 'S0': 0.6864041122468604, 'E0': 0.21218260581339526, 'I0': 0.10141328193974435, 'R0': 0.0, 'fractional': 1.0}"
2,SEIRS|fractional=0|obs=delayed_I|delay=2,SEIRS,False,delayed_I,2,delayed,9,4,0.0861370243633478,0.1935427977201308,0.24065762527910006,0.5617657924250107,0.6453753495048956,0.8864288161962682,0.4396067753738826,0.47825084019031705,2,0.44761509460283466,0.1074108035245525,0.05370540176227625,0.1842315111371039,"{'1': {'mae': 0.3849325465120602, 'rmse': 0.4354315103908589, 'smape': 0.5334981297504019}, '2': {'mae': 0.49428100423570503, 'rmse': 0.5210701699897752, 'smape': 0.7057839228216388}}",0.03684630222742078,0.19,0.09,0.08,0.0,0.0,0.0,0.01,0.01,-0.01,0.7181667985925317,"{'b0': 0.6066517340286842, 'b1': 0.3669506607921464, 'b2': -0.06222003623013046, 'sigma': 0.3617183669555368, 'gamma': 0.14436590813163358, 'omega': 0.04598905929628675, 'rho': 1.3733951794023482, 'S0': 0.7819454090889624, 'E0': 0.1401026388442084, 'I0': 0.07795195206682905, 'R0': 0.0, 'fractional': 0.0}"
3,SEIRS|fractional=1|obs=delayed_I|delay=2,SEIRS,True,delayed_I,2,delayed,10,4,0.09104250178246634,0.20444944253889805,0.25185357288053567,0.5274102020277204,0.6151547375242002,0.8011433306069683,0.4176122597061611,0.46036316012371203,2,0.42619381925492994,0.11403616344717468,0.05701808172358734,0.18956835510871817,"{'1': {'mae': 0.36376544062724536, 'rmse': 0.41945749777675617, 'smape': 0.4872110009979833}, '2': {'mae': 0.4714590787850769, 'rmse': 0.501268822470668, 'smape': 0.6549227997794201}}",0.03791367102174364,0.21500000000000002,0.1,0.08,0.015,0.0,0.0,0.01,0.01,-0.0075,0.7286255720002609,"{'b0': 0.613385483035991, 'b1': 0.31952892658325993, 'b2': -0.026969959055632313, 'sigma': 0.35374760129490923, 'gamma': 0.13776261112170163, 'omega': 0.04905909949294928, 'rho': 1.3027352633898415, 'alpha': 0.9695074368219418, 'S0': 0.7562070638623631, 'E0': 0.15901855612404506, 'I0': 0.08477438001359186, 'R0': 0.0, 'fractional': 1.0}"
2,SEIRS|fractional=0|obs=delayed_I|delay=3,SEIRS,False,delayed_I,3,delayed,9,4,0.07843179812277805,0.1734831602911544,0.22255336979786633,0.5898437063775333,0.669490399519071,0.9608591701289954,0.4585947310237486,0.4935223465189226,2,0.465889244452816,0.10060940751620281,0.05030470375810141,0.17851651310805083,"{'1': {'mae': 0.4025751661164642, 'rmse': 0.4479736155281877, 'smape': 0.5760532301483282}, '2': {'mae': 0.5146142959310329, 'rmse': 0.5390710775096575, 'smape': 0.7534506236902226}}",0.035703302621610165,0.195,0.09,0.08,0.0,0.0,0.0,0.015,0.01,-0.01,0.7368972508325276,"{'b0': 0.8184913909090286, 'b1': 0.32333352381095704, 'b2': -0.013303790539700412, 'sigma': 0.40453349632894814, 'gamma': 0.16734644422257638, 'omega': 0.04449697316715331, 'rho': 1.4987661308871794, 'S0': 0.7878716082047559, 'E0': 0.13762270637042603, 'I0': 0.07450568542481813, 'R0': 0.0, 'fractional': 0.0}"
1,SEIR|fractional=0|obs=I,SEIR,False,I,0,infectious,8,4,0.09036085635014102,0.2033172963083238,0.2527107971071939,0.6301518560303914,0.7159571043948763,1.0672936780425881,0.4845945788746546,0.5208131537738755,2,0.49193272217922823,0.11031953925271358,0.05515976962635679,0.18695208961189652,"{'1': {'mae': 0.4198952776931511, 'rmse': 0.4662901399051749, 'smape': 0.6115925798587412}, '2': {'mae': 0.5492938800561582, 'rmse': 0.575336167642576, 'smape': 0.8234899246803473}}",0.03739041792237931,0.16,0.08,0.08,0.0,0.0,0.0,0.0,0.0,-0.005,0.7394829097279644,"{'b0': 0.2221621275429498, 'b1': 0.5334762153219809, 'b2': -0.30979689846508635, 'sigma': 0.33247155965152475, 'gamma': 0.10901138153466239, 'rho': 1.2642031725325784, 'S0': 0.7928587052099804, 'E0': 0.13057711596840882, 'I0': 0.07656417882161093, 'R0': 0.0, 'fractional': 0.0}"
1,SEIR|fractional=1|obs=I,SEIR,True,I,0,infectious,9,4,0.09488059866278362,0.21485642371641073,0.2652490208300055,0.5783899744620281,0.6682348786720346,0.9257626896419476,0.4536435831551778,0.49463598446721924,2,0.46157938910621277,0.11452858451695143,0.057264292258475714,0.1931820918047133,"{'1': {'mae': 0.3927006019332563, 'rmse': 0.44525177756327855, 'smape': 0.5479423212780504}, '2': {'mae': 0.5145865643770993, 'rmse': 0.54402019137116, 'smape': 0.7428018251781231}}",0.03863641836094266,0.185,0.09,0.08,0.015,0.0,0.0,0.0,0.0,-0.0025,0.7399800997256312,"{'b0': 0.2587843982667507, 'b1': 0.4464893316348169, 'b2': -0.2361253899473879, 'sigma': 0.3098421782801905, 'gamma': 0.10148845409466514, 'rho': 1.186581555702422, 'alpha': 0.9656493851178413, 'S0': 0.7587437412165517, 'E0': 0.15624241933689403, 'I0': 0.08501383944655416, 'R0': 0.0, 'fractional': 1.0}"
3,SEIRS|fractional=1|obs=delayed_I|delay=3,SEIRS,True,delayed_I,3,delayed,10,4,0.08363385797488225,0.1824244879546359,0.23109685624068488,0.5669251318615665,0.6498931411045377,0.8997355770834924,0.44077888487808126,0.4782286368641195,2,0.4482735593674303,0.10297872998630979,0.051489364993154894,0.18155025068364428,"{'1': {'mae': 0.3849588280005146, 'rmse': 0.43364991105579853, 'smape': 0.5367650624554666}, '2': {'mae': 0.49659894175564795, 'rmse': 0.5228073626724404, 'smape': 0.7127832288178592}}",0.036310050136728854,0.22000000000000003,0.1,0.08,0.015,0.0,0.0,0.015,0.01,-0.0075,0.7485729744973141,"{'b0': 0.8327083984519115, 'b1': 0.30587580468378556, 'b2': 0.0035595230898187516, 'sigma': 0.4061765739377714, 'gamma': 0.1669418827943782, 'omega': 0.04437803786439965, 'rho': 1.4674430063201087, 'alpha': 0.9726491008121688, 'S0': 0.7767221034806453, 'E0': 0.1457871927053151, 'I0': 0.07749070381403947, 'R0': 0.0, 'fractional': 1.0}"
