t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.0,0.24264198561615194,0.12990648980949934,train
1,0.1,0.24264198561615194,0.12990648980949934,train
2,0.0,0.24264198561615194,0.12990648980949934,train
3,0.1,0.24264198561615194,0.12990648980949934,train
4,0.0,0.5284442757059531,0.26635236290590947,train
5,0.1,0.6004135858658395,0.4141563384831595,train
6,0.2,0.8650321646960135,0.6975274247881519,train
7,0.6,0.9964307888553308,0.9562527107609101,train
8,0.9,1.1704351615736672,1.304542847263455,train
9,1.2,1.256387462855255,1.5133466526146877,train
10,1.7,1.308913842623153,1.6687404081329633,train
11,2.0,1.3045977862887301,1.6406428873840475,train
12,2.8,1.2671908924981137,1.5408697652013923,train
13,1.8,1.2064662142299147,1.3716822528808608,train
14,0.9,1.1380502728370507,1.208762521721721,train
15,0.5,1.0728306797816143,1.063767027602142,train
16,0.3,1.0197740563369788,0.9571363577083569,train
17,0.5,0.9854118127674885,0.8880344870419554,train
18,0.4,0.9752678260336456,0.8601806533971778,train
19,0.5,0.9949350304043233,0.8747323780103878,train
20,0.8,1.05137345031008,0.9389018177314963,train
21,1.1,1.1541250613416691,1.0639610575111746,validation
22,1.3,1.3163820389425829,1.268995080966129,validation
23,1.7,1.5552915620811358,1.5776803935806358,validation
24,1.8,1.8899110153319707,2.0100927203797054,validation
25,3.0,2.3332471532954973,2.551105451922531,validation
26,3.3,2.872504560286949,3.090154374758401,validation
27,3.4,3.4337743271996284,3.3721901454615804,validation
28,3.6,3.848519339046794,3.1601908740340767,test
29,3.8,3.8915768684764664,2.669538417618698,test
30,3.4,3.4677689684571473,2.3856549645172915,test
31,3.2,2.7848865133390177,2.339579949102054,test
32,2.4,2.156353251994597,2.4804766023847225,test
33,1.6,1.705660667476201,2.6643176614686666,test
34,1.1,1.4149234564901831,2.801893422830207,test
35,0.9,1.2390808829599143,2.782319957450636,test
