round,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score,params
3,SEIRS|fractional=1|obs=delayed_I|delay=3,SEIRS,True,delayed_I,3,delayed,10,4,0.1514390923084268,0.14311148491406286,0.19515571836157108,1.5664147430294888,1.772567105287314,1.0075424532237565,1.004416643448786,1.152875240476501,2,1.0123682874110145,0.3370366102056808,0.1685183051028404,0.5618127264502153,"{'1': {'mae': 0.7719194050346242, 'rmse': 0.924200184763574, 'smape': 0.5005609474554479}, '2': {'mae': 1.2369138818629477, 'rmse': 1.381550296189428, 'smape': 0.7448000781760867}}",0.11236254529004307,0.22000000000000003,0.1,0.08,0.015,0.0,0.0,0.015,0.01,-0.0075,1.5057491378038979,"{'b0': 1.9951903253858982, 'b1': 1.3709332305912407, 'b2': -0.6654533141801181, 'sigma': 0.896519338203338, 'gamma': 0.5445533890904601, 'omega': 0.07894413982021144, 'rho': 6.856145192559505, 'alpha': 0.9878213908337108, 'S0': 0.9624972776578766, 'E0': 0.023157273318431325, 'I0': 0.01434544902369194, 'R0': 0.0, 'fractional': 1.0}"
2,SEIRS|fractional=0|obs=delayed_I|delay=3,SEIRS,False,delayed_I,3,delayed,9,4,0.3468454831105231,0.424062641328529,0.5650771847002565,1.6573105990756234,1.9256073788494885,1.0731293840726766,1.0712247944781508,1.224849568689455,2,1.0786129579672452,0.5587095553690967,0.27935477768454836,0.5899345843766599,"{'1': {'mae': 0.7756540047116461, 'rmse': 0.9245364014658016, 'smape': 0.5067365533385904}, '2': {'mae': 1.3667955842446553, 'rmse': 1.5251627359131081, 'smape': 0.7491226424409563}}",0.11798691687533198,0.195,0.09,0.08,0.0,0.0,0.0,0.015,0.01,-0.005,1.6659546525271258,"{'b0': -3.121309763603224, 'b1': -0.2834971057749283, 'b2': -0.08825429161667858, 'sigma': 0.1468069520609174, 'gamma': 0.11415827487272127, 'omega': 0.309824348347446, 'rho': 3.0162323760153495, 'S0': 0.12908535110667105, 'E0': 0.8446564050790671, 'I0': 0.02625824381426173, 'R0': 0.0, 'fractional': 0.0}"
2,SEIRS|fractional=0|obs=delayed_I|delay=2,SEIRS,False,delayed_I,2,delayed,9,4,0.15595205583399296,0.14492983007376503,0.197983957411368,1.5373045512519778,1.7470916292370664,0.9750254112237268,1.1619463028694237,1.3847751723832171,2,1.193007859277495,0.6035050697071247,0.30175253485356235,0.7333491721548429,"{'1': {'mae': 0.9238796948863969, 'rmse': 1.2124849039828773, 'smape': 0.5634039987429537}, '2': {'mae': 1.4000129108524504, 'rmse': 1.557065440783557, 'smape': 0.7743850631201373}}",0.14666983443096857,0.19,0.09,0.08,0.0,0.0,0.0,0.01,0.01,-0.005,1.826430228562026,"{'b0': 1.7420026256822474, 'b1': 1.6752243110167424, 'b2': -0.9767597048657377, 'sigma': 0.8961052943500999, 'gamma': 0.5184860537192162, 'omega': 0.079424471213936, 'rho': 6.669457319334228, 'S0': 0.964420193307873, 'E0': 0.020320539353718074, 'I0': 0.015259267338409049, 'R0': 0.0, 'fractional': 0.0}"
3,SEIRS|fractional=1|obs=delayed_I|delay=2,SEIRS,True,delayed_I,2,delayed,10,4,0.16469474133361567,0.1490567561725326,0.20359230512265664,1.5912782193549937,1.799495994395122,1.0328328423460649,1.1429607714353054,1.3873461166450793,2,1.1777650011344813,0.621133458986626,0.310566729493313,0.7547617666373652,"{'1': {'mae': 0.8816065977851932, 'rmse': 1.2209508497514643, 'smape': 0.5039208905556989}, '2': {'mae': 1.4043149450854173, 'rmse': 1.5537413835386942, 'smape': 0.7851082533192136}}",0.15095235332747303,0.21500000000000002,0.1,0.08,0.015,0.0,0.0,0.01,0.01,-0.0075,1.8467840839552674,"{'b0': 1.7712702632111836, 'b1': 1.6793768340537474, 'b2': -0.9738592448394695, 'sigma': 0.89606071381078, 'gamma': 0.5263295831340917, 'omega': 0.0736383131794689, 'rho': 6.763648754922664, 'alpha': 0.9891564426499918, 'S0': 0.9650418307542992, 'E0': 0.019793048758865235, 'I0': 0.015165120486835451, 'R0': 0.0, 'fractional': 1.0}"
2,SEIRS|fractional=0|obs=delayed_I|delay=1,SEIRS,False,delayed_I,1,delayed,9,4,0.16396009889664792,0.14136867965725197,0.18971783970685205,1.4830991743135118,1.7051077105153114,0.9138442773166986,1.161030593308398,1.4053409166883273,2,1.1948489641307458,0.6427542474578242,0.3213771237289121,0.7736961931204347,"{'1': {'mae': 0.9262324421919537, 'rmse': 1.2358572560941286, 'smape': 0.5544221463189675}, '2': {'mae': 1.3958287444248423, 'rmse': 1.5748245772825258, 'smape': 0.760152965921355}}",0.15473923862408695,0.185,0.09,0.08,0.0,0.0,0.0,0.005,0.01,-0.005,1.850965326483745,"{'b0': 1.6121859338964961, 'b1': 1.9849947645941408, 'b2': -1.32990492141522, 'sigma': 0.9265240207308485, 'gamma': 0.5660361202286263, 'omega': 0.08417216962211048, 'rho': 7.170566631803919, 'S0': 0.9640823086801841, 'E0': 0.01933034115798103, 'I0': 0.016587350161835067, 'R0': 0.0, 'fractional': 0.0}"
3,SEIRS|fractional=1|obs=delayed_I|delay=1,SEIRS,True,delayed_I,1,delayed,10,4,0.42072241260865106,0.484244753749276,0.6243798898225446,1.4758838400687497,1.7568292305606583,0.8816512433878648,1.1829939592224845,1.4193107219293921,2,1.217018087943229,0.6280019996076253,0.31400099980381263,0.7650958093551147,"{'1': {'mae': 0.9589347298122716, 'rmse': 1.2642148446320125, 'smape': 0.5816806179170049}, '2': {'mae': 1.4070531886326976, 'rmse': 1.574406599226772, 'smape': 0.7748101538473247}}",0.15301916187102294,0.21000000000000002,0.1,0.08,0.015,0.0,0.0,0.005,0.01,-0.0075,1.8865382496180645,"{'b0': -2.9264020308035463, 'b1': -0.3026370614049317, 'b2': 0.012254456442408858, 'sigma': 0.11140440607652305, 'gamma': 0.07666467865763589, 'omega': 0.3672120099565437, 'rho': 2.547735178765095, 'alpha': 0.9849119051789081, 'S0': 0.13673519124881126, 'E0': 0.8342389076556793, 'I0': 0.02902590109550941, 'R0': 0.0, 'fractional': 1.0}"
1,SEIRS|fractional=0|obs=I,SEIRS,False,I,0,infectious,9,4,0.16638180523024138,0.1449476430493935,0.18760739487968023,1.4657539748426458,1.6967565141517809,0.8925972179900896,1.3315252538623037,1.5615845575349514,2,1.3933643076550482,0.7995425568210888,0.3997712784105444,0.8090583588646965,"{'1': {'mae': 1.2508998003275724, 'rmse': 1.5310598804635502, 'smape': 0.6856643006058236}, '2': {'mae': 1.412150707397035, 'rmse': 1.5921092346063528, 'smape': 0.7699221953033456}}",0.16181167177293931,0.18,0.09,0.08,0.0,0.0,0.0,0.0,0.01,-0.005,2.129947257838532,"{'b0': 1.4692484196107536, 'b1': 2.161198963390207, 'b2': -1.6452624454708022, 'sigma': 0.9336017537751629, 'gamma': 0.5891343973203576, 'omega': 0.08611642339438318, 'rho': 7.428137136932058, 'S0': 0.9581444228660279, 'E0': 0.021464683009711757, 'I0': 0.02039089412426038, 'R0': 0.0, 'fractional': 0.0}"
2,SEIRS|fractional=1|obs=I,SEIRS,True,I,0,infectious,10,4,0.17515550323048,0.1488952729241054,0.19305462125918377,1.5220424713875833,1.7470980033748538,0.9510342119962437,1.3604606998302393,1.5739506728371744,2,1.4214282207940943,0.7810771670833312,0.3905385835416656,0.785155119354682,"{'1': {'mae': 1.2932718818691609, 'rmse': 1.5541199423914318, 'smape': 0.7391826101089934}, '2': {'mae': 1.427649517791318, 'rmse': 1.5937814032829167, 'smape': 0.7896171460942542}}",0.1570310238709364,0.20500000000000002,0.1,0.08,0.015,0.0,0.0,0.0,0.01,-0.0075,2.1664978282066962,"{'b0': 1.49721908990782, 'b1': 2.167906426128611, 'b2': -1.6557015489723388, 'sigma': 0.9334004267038998, 'gamma': 0.5939376006571818, 'omega': 0.08003215177243247, 'rho': 7.498853026545335, 'alpha': 0.9893056623666164, 'S0': 0.9587610311518616, 'E0': 0.020998199028470162, 'I0': 0.020240769819668117, 'R0': 0.0, 'fractional': 1.0}"
2,SEIHR|fractional=1|obs=H,SEIHR,True,H,0,hospitalized,12,5,0.24056314658859942,0.22455159051298199,0.2930836441489184,2.1710162295123747,2.3610273161828106,1.8615604376658819,1.6794584676037316,1.7302267389511852,2,1.7017953468747296,0.4178893521914151,0.20894467609570755,0.4159247877029742,"{'1': {'mae': 1.4838980889483024, 'rmse': 1.5261783359305336, 'smape': 1.170455337775176}, '2': {'mae': 1.8750188462591606, 'rmse': 1.934275141971837, 'smape': 1.3971256397392369}}",0.08318495754059485,0.24,0.12,0.1,0.015,0.0,0.005,0.0,0.0,-0.0025,2.2314249805110324,"{'b0': 1.5395424011340402, 'b1': 1.6611260806138386, 'b2': -0.9329061279990823, 'sigma': 0.884868398291339, 'eta': 0.413611595380213, 'gamma_i': 0.04700462058188823, 'gamma_h': 0.6263987089203793, 'rho': 10.729401519145275, 'alpha': 0.9677013471934899, 'S0': 0.9342617882863687, 'E0': 0.018285752578483753, 'I0': 0.014116441006808414, 'H0': 0.03333601812833896, 'R0': 0.0, 'fractional': 1.0}"
1,SEIHR|fractional=0|obs=H,SEIHR,False,H,0,hospitalized,11,5,0.23671910908994911,0.23487076639495333,0.30696886783166577,2.2009314011808665,2.3867648145614386,1.9244697206981838,1.7142488248251433,1.762373875611708,2,1.7369331111370525,0.41486361518323267,0.20743180759161634,0.4090054531778944,"{'1': {'mae': 1.5169256905732897, 'rmse': 1.5582773714979692, 'smape': 1.2225641959801992}, '2': {'mae': 1.9115719590769966, 'rmse': 1.9664703797254468, 'smape': 1.4559661425500587}}",0.08180109063557889,0.21500000000000002,0.11,0.1,0.0,0.0,0.005,0.0,0.0,0.0,2.241166009364248,"{'b0': 1.3206527211609396, 'b1': 1.4776147978419536, 'b2': -0.7889551001234898, 'sigma': 0.8619915569943146, 'eta': 0.3207955409783608, 'gamma_i': 0.03808148058612731, 'gamma_h': 0.573918459955737, 'rho': 10.411030701741232, 'S0': 0.9294840739248057, 'E0': 0.02075453645642408, 'I0': 0.015527617985441165, 'H0': 0.034233771633329205, 'R0': 0.0, 'fractional': 0.0}"
