t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.0,9.677527996073951e-06,2.3352309429620774e-05,train
1,0.1,0.3776840896434836,0.2044441051762731,train
2,0.0,0.6435218011841517,0.3758402191757242,train
3,0.1,0.8223614818973419,0.5190934573993795,train
4,0.0,0.934137963157621,0.6377680650868959,train
5,0.1,0.9947899156717072,0.7349267696861703,train
6,0.2,1.0170062344227933,0.8132578503594405,train
7,0.6,1.0108389972042433,0.8751376172944653,train
8,0.9,0.9842061467330998,0.9226726092968541,train
9,1.2,0.9433031157743308,0.9577323148524427,train
10,1.7,0.8929393406728656,0.9819762614798963,train
11,2.0,0.8368128835758663,0.9968772076773063,train
12,2.8,0.7777341275323564,1.0037413698377247,train
13,1.8,0.7178078117142731,1.0037262665558329,train
14,0.9,0.6585837563329572,0.9978566422609975,train
15,0.5,0.6012169344798843,0.9870392681052632,train
16,0.3,0.54698046918569,0.9720806779363798,train
17,0.5,0.5005697181696368,0.9537381598647854,train
18,0.4,0.4839908485969966,0.9330451890320336,train
19,0.5,0.542665942361419,0.9137392337168034,train
20,0.8,0.709438474624879,0.9161595302338174,train
21,1.1,1.000915426403079,0.9995485040769361,validation
22,1.3,1.4235120762984197,1.2251896757906826,validation
23,1.7,1.941143976747214,1.6170107612014633,validation
24,1.8,2.4439196217124577,2.1494897570868727,validation
25,3.0,2.8075845274672884,2.7181887051454887,validation
26,3.3,3.009447151264642,3.185315219578536,validation
27,3.4,3.0900682165636395,3.5646654558285347,validation
28,3.6,3.080847387957223,3.865250052412642,test
29,3.8,3.0066251228755627,4.100973900764561,test
30,3.4,2.8868520324244606,4.270590375719498,test
31,3.2,2.7366435174076744,4.411149499434076,test
32,2.4,2.5676374039694663,4.436038659847981,test
33,1.6,2.388692448480952,4.663272337847706,test
34,1.1,2.2064561885442244,4.066459100519311,test
35,0.9,2.025825551275179,6.015723965626705,test
