CATCHMENT,NETWORK,YEAR,YEAR.1,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE,season,t,series_name
Entire Network,FluSurv-NET,2021-22,2021,40,>= 65 yr,Overall,Overall,Overall,0.0,0.0,,,2021-22,0,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2021,41,>= 65 yr,Overall,Overall,Overall,0.0,0.1,,,2021-22,1,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2021,42,>= 65 yr,Overall,Overall,Overall,0.0,0.0,,,2021-22,2,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2021,43,>= 65 yr,Overall,Overall,Overall,0.0,0.1,,,2021-22,3,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2021,44,>= 65 yr,Overall,Overall,Overall,0.0,0.0,,,2021-22,4,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2021,45,>= 65 yr,Overall,Overall,Overall,0.0,0.1,,,2021-22,5,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2021,46,>= 65 yr,Overall,Overall,Overall,1.0,0.2,,,2021-22,6,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2021,47,>= 65 yr,Overall,Overall,Overall,1.0,0.6,,,2021-22,7,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2021,48,>= 65 yr,Overall,Overall,Overall,2.0,0.9,,,2021-22,8,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2021,49,>= 65 yr,Overall,Overall,Overall,3.0,1.2,,,2021-22,9,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2021,50,>= 65 yr,Overall,Overall,Overall,5.0,1.7,,,2021-22,10,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2021,51,>= 65 yr,Overall,Overall,Overall,7.0,2.0,,,2021-22,11,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2021,52,>= 65 yr,Overall,Overall,Overall,10.0,2.8,,,2021-22,12,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,1,>= 65 yr,Overall,Overall,Overall,11.0,1.8,,,2021-22,13,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,2,>= 65 yr,Overall,Overall,Overall,12.0,0.9,,,2021-22,14,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,3,>= 65 yr,Overall,Overall,Overall,13.0,0.5,,,2021-22,15,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,4,>= 65 yr,Overall,Overall,Overall,13.0,0.3,,,2021-22,16,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,5,>= 65 yr,Overall,Overall,Overall,14.0,0.5,,,2021-22,17,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,6,>= 65 yr,Overall,Overall,Overall,14.0,0.4,,,2021-22,18,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,7,>= 65 yr,Overall,Overall,Overall,15.0,0.5,,,2021-22,19,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,8,>= 65 yr,Overall,Overall,Overall,15.0,0.8,,,2021-22,20,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,9,>= 65 yr,Overall,Overall,Overall,16.0,1.1,,,2021-22,21,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,10,>= 65 yr,Overall,Overall,Overall,18.0,1.3,,,2021-22,22,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,11,>= 65 yr,Overall,Overall,Overall,19.0,1.7,,,2021-22,23,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,12,>= 65 yr,Overall,Overall,Overall,21.0,1.8,,,2021-22,24,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,13,>= 65 yr,Overall,Overall,Overall,24.0,3.0,,,2021-22,25,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,14,>= 65 yr,Overall,Overall,Overall,28.0,3.3,,,2021-22,26,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,15,>= 65 yr,Overall,Overall,Overall,31.0,3.4,,,2021-22,27,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,16,>= 65 yr,Overall,Overall,Overall,35.0,3.6,,,2021-22,28,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,17,>= 65 yr,Overall,Overall,Overall,38.0,3.8,,,2021-22,29,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,18,>= 65 yr,Overall,Overall,Overall,42.0,3.4,,,2021-22,30,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,19,>= 65 yr,Overall,Overall,Overall,45.0,3.2,,,2021-22,31,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,20,>= 65 yr,Overall,Overall,Overall,47.0,2.4,,,2021-22,32,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,21,>= 65 yr,Overall,Overall,Overall,49.0,1.6,,,2021-22,33,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,22,>= 65 yr,Overall,Overall,Overall,50.0,1.1,,,2021-22,34,2021-22 / >= 65 yr
Entire Network,FluSurv-NET,2021-22,2022,23,>= 65 yr,Overall,Overall,Overall,51.0,0.9,,,2021-22,35,2021-22 / >= 65 yr
