t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.0,2.6490957702584615e-09,3.0816799202118084e-09,train
1,0.0,2.6490957702584615e-09,3.0816799202118084e-09,train
2,0.0,2.6490957702584615e-09,3.0816799202118084e-09,train
3,0.0,0.1639320992705292,0.11173072191208495,train
4,0.0,0.27885298980303186,0.19975586387140568,train
5,0.1,0.35575254727774397,0.2678503058641609,train
6,0.1,0.40343015075278676,0.3192542189529623,train
7,0.2,0.4289040094471972,0.3567441258364108,train
8,0.3,0.437747057725298,0.38269488668037255,train
9,0.4,0.43436222770749383,0.3991337400765451,train
10,0.6,0.42220771821500763,0.40778738870679,train
11,0.7,0.4039810586871463,0.4101229985516627,train
12,1.0,0.3817692535148524,0.40738387424629474,train
13,0.6,0.35717103495901303,0.4006204797367256,train
14,0.4,0.3313962132294393,0.39071739129333644,train
15,0.3,0.30534639059459734,0.37841670116199766,train
16,0.2,0.27968417985665617,0.3643384378216552,train
17,0.2,0.2549644017724576,0.34900132552319196,train
18,0.2,0.23275307304246937,0.33290032779780937,train
19,0.2,0.22332299700430497,0.3173850229377603,train
20,0.3,0.2516724456840684,0.31125947465146053,train
21,0.3,0.3312163649539093,0.33988445840458165,validation
22,0.4,0.4612557667461375,0.4218818836929758,validation
23,0.6,0.6294330593930225,0.5563685217858652,validation
24,0.7,0.7998940082710663,0.7268703860732479,validation
25,0.9,0.9268112671609301,0.9004879712778685,validation
26,1.1,0.9978304187353919,1.0438174124717854,validation
27,1.1,1.0269181274851116,1.1475039547057873,validation
28,1.2,1.0250118128568377,1.2174476284278462,test
29,1.2,1.0007284312048832,1.2596645134391082,test
30,1.1,0.9608007669455084,1.2792530116484242,test
31,1.0,0.9104486620769097,1.2805402185760577,test
32,0.8,0.8536809405844522,1.2671891180976855,test
33,0.6,0.7935408360891718,1.2422910236134321,test
34,0.5,0.7323050984796826,1.2084457512581968,test
35,0.3,0.6716451491819164,1.167831187224398,test
