t,actual,full_fit_prediction,test_forecast_prediction,segment,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95,raw_lower_50,raw_upper_50,raw_lower_80,raw_upper_80,raw_lower_95,raw_upper_95
0,0.0,0.02382163311290827,0.0007621195877843069,train,0.0,0.06034692527304307,0.0,0.12651692633910963,0.0,0.2965507695407549,0.0,0.06034692527304307,0.0,0.12651692633910963,0.0,0.2965507695407549
1,0.0,0.03187939083710653,0.05474380641904644,train,0.02854500716856636,0.16979111857583132,0.0,0.24742722130892544,0.0,0.2697208567088292,0.02854500716856636,0.16979111857583132,0.0,0.24742722130892544,0.0,0.2697208567088292
2,0.0,0.05589812166075487,0.10130064163088844,train,0.048795489480158584,0.19810002314751696,0.022527513399427067,0.20408094157605106,0.008944583342077527,0.20562596211657905,0.048795489480158584,0.19810002314751696,0.022527513399427067,0.20408094157605106,0.008944583342077527,0.20562596211657905
3,0.0,0.08805622957062041,0.14120187827296254,train,0.10332267956559088,0.19779491552247053,0.003907270472890375,0.25910050967500053,0.000976817618222594,0.29713288320742637,0.10332267956559088,0.19779491552247053,0.003907270472890375,0.25910050967500053,0.000976817618222594,0.29713288320742637
4,0.0,0.13069827735026376,0.17514560416016278,train,0.12739697058356877,0.32260785118569457,0.057525330628605015,0.36583970125812637,0.049405207971102996,0.4018146272010203,0.12739697058356877,0.32260785118569457,0.057525330628605015,0.36583970125812637,0.049405207971102996,0.4018146272010203
5,0.1,0.18139955224341164,0.2037649439224421,train,0.055271802497665216,0.2600444331153946,0.0,0.334480497767638,0.0,0.45339725278457066,0.055271802497665216,0.2600444331153946,0.0,0.334480497767638,0.0,0.45339725278457066
6,0.1,0.2353487071627708,0.22763373819653782,train,0.09829543811237572,0.22725924694242378,0.05436982981122267,0.282910676641923,0.03553341648022347,0.30718340194593746,0.09829543811237572,0.22725924694242378,0.05436982981122267,0.282910676641923,0.03553341648022347,0.30718340194593746
7,0.2,0.2862828261128579,0.24727174447255454,train,0.08659856268867622,0.26558952183488926,0.0,0.3237890695869158,0.0,0.39308262150418966,0.08659856268867622,0.26558952183488926,0.0,0.3237890695869158,0.0,0.39308262150418966
8,0.3,0.3284712402708831,0.2631493994557123,train,0.1388172405524419,0.2903057171824419,0.07798421577803082,0.37630374942965655,0.019496053944507704,0.39530489284643766,0.1388172405524419,0.2903057171824419,0.07798421577803082,0.37630374942965655,0.019496053944507704,0.39530489284643766
9,0.4,0.358298140115423,0.27569217973995047,train,0.15725050914802502,0.2632479013304105,0.1318233038759323,0.3771629421252707,0.060548799785997115,0.4919227696535977,0.15725050914802502,0.2632479013304105,0.1318233038759323,0.3771629421252707,0.060548799785997115,0.4919227696535977
10,0.6,0.3747562259805325,0.2852845959392273,train,0.05238296944306918,0.3321731846160694,0.0,0.38952637260734674,0.0,0.41955305829485434,0.05238296944306918,0.3321731846160694,0.0,0.38952637260734674,0.0,0.41955305829485434
11,0.7,0.37900501212951976,0.2922738574568525,train,0.1728133948276693,0.2601996034157765,0.12157275349386214,0.33684016288959123,0.09010373973155487,0.3836036347146629,0.1728133948276693,0.2601996034157765,0.12157275349386214,0.33684016288959123,0.09010373973155487,0.3836036347146629
12,1.0,0.3735384899809788,0.29697326075423475,train,0.17442107159363313,0.2840058534858599,0.026510334027216007,0.3522947600328378,0.02432316010956999,0.3918637584101503,0.17442107159363313,0.2840058534858599,0.026510334027216007,0.3522947600328378,0.02432316010956999,0.3918637584101503
13,0.6,0.361405352108362,0.29966542669929186,train,0.1770797318968989,0.33495342609545753,0.11028749419639008,0.3923953498944517,0.02757187354909752,0.4074449828897162,0.1770797318968989,0.33495342609545753,0.11028749419639008,0.3923953498944517,0.02757187354909752,0.4074449828897162
14,0.4,0.345678949112963,0.30060584183159694,train,0.21422122918448366,0.38529229892858907,0.1431222548263617,0.42674967010025205,0.10447746465951087,0.4849732659157202,0.21422122918448366,0.38529229892858907,0.1431222548263617,0.42674967010025205,0.10447746465951087,0.4849732659157202
15,0.3,0.3291990401191849,0.300028706162069,train,0.2342943195355896,0.3877020503827095,0.15999656664192696,0.43573902908950846,0.07522719604035173,0.45535123940615885,0.2342943195355896,0.3877020503827095,0.15999656664192696,0.43573902908950846,0.07522719604035173,0.45535123940615885
16,0.2,0.31453515714282543,0.29816464930884035,train,0.2771035678412497,0.4178605265078635,0.20564010057307228,0.5725210632225001,0.14100158940474172,0.6718470787090405,0.2771035678412497,0.4178605265078635,0.20564010057307228,0.5725210632225001,0.14100158940474172,0.6718470787090405
17,0.2,0.30411405133990327,0.2953174945908471,train,0.15284359746691747,0.3081954292530228,0.09357052128143074,0.3670550900952651,0.08225297384001923,0.4645989561267385,0.15284359746691747,0.3081954292530228,0.09357052128143074,0.3670550900952651,0.08225297384001923,0.4645989561267385
18,0.2,0.30047203311277665,0.29222853941256793,train,0.18945001715995816,0.3701869983632869,0.1410452830914531,0.4670398869227518,0.06755958326397773,0.49525852902992756,0.18945001715995816,0.3701869983632869,0.1410452830914531,0.4670398869227518,0.06755958326397773,0.49525852902992756
19,0.2,0.3066111203532645,0.29165592738517643,train,0.22160502836296403,0.362209647066149,0.2034714366306819,0.4248829093521095,0.18278502551225298,0.5349433904342297,0.22160502836296403,0.362209647066149,0.2034714366306819,0.4248829093521095,0.18278502551225298,0.5349433904342297
20,0.3,0.32643741595130377,0.3026208123211076,train,0.19219600254491626,0.3398826437748734,0.11900875482742929,0.4805935790076819,0.09265046396788126,0.4848210389541178,0.19219600254491626,0.3398826437748734,0.11900875482742929,0.4805935790076819,0.09265046396788126,0.4848210389541178
21,0.3,0.36522269194858314,0.3415239276136546,validation,0.2887250328829639,0.44611124817739206,0.23600420748091708,0.4904567868174717,0.2350726171670401,0.5109901941979502,0.2887250328829639,0.44611124817739206,0.23600420748091708,0.4904567868174717,0.2350726171670401,0.5109901941979502
22,0.4,0.4299161377838988,0.4229084543576504,validation,0.24321945080474405,0.4650073793672239,0.1252760500543775,0.5394217645521543,0.031319012513594376,0.5457277207103169,0.24321945080474405,0.4650073793672239,0.1252760500543775,0.5394217645521543,0.031319012513594376,0.5457277207103169
23,0.6,0.5288023555251008,0.5520475693200453,validation,0.40904050470368725,0.6233863528302632,0.33693133132614494,0.6861384255728082,0.16347710940665058,0.7534762495959147,0.40904050470368725,0.6233863528302632,0.33693133132614494,0.6861384255728082,0.16347710940665058,0.7534762495959147
24,0.7,0.6691452793906005,0.7190134710182792,validation,0.6086370751943243,0.8276574766716152,0.5099656013947048,0.8941729997647876,0.4248177484693302,0.9020660961118991,0.6086370751943243,0.8276574766716152,0.5099656013947048,0.8941729997647876,0.4248177484693302,0.9020660961118991
25,0.9,0.8500588207281281,0.8918316785349738,validation,0.6844905117028736,0.979501302597322,0.5806999334643188,1.0576980164312124,0.5707059609476823,1.064018469612761,0.6844905117028736,0.979501302597322,0.5806999334643188,1.0576980164312124,0.5707059609476823,1.064018469612761
26,1.1,1.0482502730053527,1.0358079953673582,validation,0.9537327583219799,1.0651358166796983,0.8747927307472303,1.1189226062855593,0.6587481979717482,1.1862454890614789,0.9537327583219799,1.0651358166796983,0.8747927307472303,1.1189226062855593,0.6587481979717482,1.1862454890614789
27,1.1,1.205016985658515,1.1571897255141008,validation,1.0929816529768939,1.276776669012723,1.0864793679367506,1.3209023564012372,1.0751453178984902,1.3830892864301607,1.0929816529768939,1.276776669012723,1.0864793679367506,1.3209023564012372,1.0751453178984902,1.3830892864301607
28,1.2,1.249581927120317,1.2550544010719138,test,1.0241790738976637,1.2506744549891846,0.8903388331980875,1.308807067771637,0.7639791011780451,1.3464107037981417,1.0241790738976637,1.2506744549891846,0.8903388331980875,1.308807067771637,0.7639791011780451,1.3464107037981417
29,1.2,1.1759839352573278,1.3382369792246296,test,1.0738548803938284,1.4319728369273446,0.9577139726525564,1.5644247654885868,0.5426590135859864,1.5972396344339446,1.0738548803938284,1.4319728369273446,0.9577139726525564,1.5644247654885868,0.5426590135859864,1.5972396344339446
30,1.1,1.0475340565651619,1.3934311205986074,test,1.1223953872458208,1.5871997292788103,0.9311915242392758,1.617539517959431,0.786720944239001,1.7052467362709067,1.1223953872458208,1.5871997292788103,0.9311915242392758,1.617539517959431,0.786720944239001,1.7052467362709067
31,1.0,0.8999279141246062,1.4665015655608378,test,1.419997899976122,1.5251405897065102,1.2276676784162348,1.66284414468895,0.9009247159776723,1.7419824370114085,1.419997899976122,1.5251405897065102,1.2276676784162348,1.66284414468895,0.9009247159776723,1.7419824370114085
32,0.8,0.7539226387172164,1.4211903481487165,test,0.9275438174652489,1.7711089491018732,0.6778604019376939,1.9988278086403921,0.16946510048442348,2.178263537573776,0.9275438174652489,1.7711089491018732,0.6778604019376939,1.9988278086403921,0.16946510048442348,2.178263537573776
33,0.6,0.6198473295512559,1.7227911293893092,test,0.9535775693659019,2.3492758602816015,0.5962555999302392,6.367496686994264,0.1490638999825598,30.203587445013817,0.9535775693659019,2.3492758602816015,0.5962555999302392,6.367496686994264,0.1490638999825598,30.203587445013817
34,0.5,0.5023484682438044,0.8387931438021434,test,0.11298816035067445,6.211692349660531,0.0,81.84944792066216,0.0,471.6248899035279,0.11298816035067445,6.211692349660531,0.0,81.84944792066216,0.0,471.6248899035279
35,0.3,0.4025019504866463,4.330472424323458,test,1.6045454122812166,18.550220725591707,1.0755290356392488,71.69010195420698,0.2688822589098122,109.33290553864501,1.6045454122812166,18.550220725591707,1.0755290356392488,71.69010195420698,0.2688822589098122,109.33290553864501
