t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.9,0.8130636417595142,0.7972755968691314,train
1,0.7,1.201928162429193,1.1855802824336394,train
2,1.9,1.8015079013969117,1.787819237475332,train
3,3.2,2.715471286284648,2.708814505770345,train
4,3.9,4.064342090262007,4.06822929117407,train
5,6.0,5.925006908008481,5.937349425213926,train
6,6.9,8.179375970502004,8.187880210230425,train
7,11.8,10.299578398432272,10.289066146508901,train
8,11.5,11.358338747308151,11.336679752897954,train
9,9.5,10.689089291822048,10.69021920807073,train
10,8.7,8.669567968500896,8.7011880977239,train
11,7.0,6.311655579681768,6.34374245264756,train
12,5.4,4.302218699631954,4.312451314977885,train
13,2.2,2.823775486789896,2.8113408530088515,train
14,1.3,1.8130478445647409,1.7866564255322344,train
15,0.6,1.148516862854309,1.1169630553990513,train
16,0.2,0.7211424908019487,0.6903080462158085,train
17,0.3,0.4499290597444588,0.42286574851789505,train
18,0.4,0.2793052000160527,0.2571146514177732,validation
19,0.2,0.17262893191544107,0.1552871572712498,validation
20,0.2,0.10626217856243876,0.09319680622513865,validation
21,0.4,0.06515149193577252,0.055594248890100076,validation
22,0.3,0.039789133188238186,0.032969228235652966,validation
23,0.2,0.024204926195420126,0.01944148546025279,validation
24,0.3,0.014667401691036402,0.011402511545361094,test
25,0.2,0.008853976509011685,0.00665352948515576,test
26,0.1,0.005324801662846357,0.0038639867885709982,test
27,0.4,0.0031908914602850613,0.0022341980538462514,test
28,0.2,0.0019056645852912858,0.0012867560511128696,test
29,0.1,0.0011345034614371786,0.0007385111590933413,test
30,0.1,0.0006734472042410561,0.0004225812459441042,test
