origin_end,target_t,horizon,actual,prediction,error,abs_error
18,18,1,0.4,0.07829201823506224,-0.32170798176493776,0.32170798176493776
19,19,1,0.2,0.03243786802536152,-0.16756213197463848,0.16756213197463848
20,20,1,0.2,0.014548447169725396,-0.18545155283027462,0.18545155283027462
21,21,1,0.4,0.005783876518835568,-0.39421612348116447,0.39421612348116447
22,22,1,0.3,0.002379267584875975,-0.297620732415124,0.297620732415124
23,23,1,0.2,0.0009554628968512254,-0.1990445371031488,0.1990445371031488
24,24,1,0.3,0.0003818863092605827,-0.29961811369073943,0.29961811369073943
25,25,1,0.2,0.00015261420031436189,-0.19984738579968564,0.19984738579968564
26,26,1,0.1,6.124626471162876e-05,-0.09993875373528838,0.09993875373528838
27,27,1,0.4,2.4795690715531502e-05,-0.3999752043092845,0.3999752043092845
28,28,1,0.2,1.018013671538997e-05,-0.19998981986328462,0.19998981986328462
29,29,1,0.1,4.264376572347774e-06,-0.09999573562342766,0.09999573562342766
30,30,1,0.1,1.835656873688984e-06,-0.09999816434312632,0.09999816434312632
18,19,2,0.2,0.032133965106365514,-0.1678660348936345,0.1678660348936345
19,20,2,0.2,0.012859590166299078,-0.18714040983370092,0.18714040983370092
20,21,2,0.4,0.0059562601566346155,-0.3940437398433654,0.3940437398433654
21,22,2,0.3,0.0025503856508466687,-0.29744961434915335,0.29744961434915335
22,23,2,0.2,0.00111385184605917,-0.19888614815394084,0.19888614815394084
23,24,2,0.3,0.0004676162484771708,-0.2995323837515228,0.2995323837515228
24,25,2,0.2,0.00020103126011423224,-0.19979896873988578,0.19979896873988578
25,26,2,0.1,8.726604900671721e-05,-0.09991273395099329,0.09991273395099329
26,27,2,0.4,3.8986204564993263e-05,-0.399961013795435,0.399961013795435
27,28,2,0.2,1.8100418712208727e-05,-0.19998189958128781,0.19998189958128781
28,29,2,0.1,8.825935241941709e-06,-0.09999117406475806,0.09999117406475806
29,30,2,0.1,4.568901316977362e-06,-0.09999543109868303,0.09999543109868303
18,21,4,0.4,0.004654109727477033,-0.395345890272523,0.395345890272523
19,22,4,0.3,0.0022316099049325628,-0.29776839009506745,0.29776839009506745
20,23,4,0.2,0.0009145131245527786,-0.19908548687544722,0.19908548687544722
21,24,4,0.3,0.00037007888202587804,-0.2996299211179741,0.2996299211179741
22,25,4,0.2,0.00015230111018313543,-0.19984769888981688,0.19984769888981688
23,26,4,0.1,6.108394612855034e-05,-0.09993891605387145,0.09993891605387145
24,27,4,0.4,2.470989917621033e-05,-0.39997529010082383,0.39997529010082383
25,28,4,0.2,1.0133696250439868e-05,-0.19998986630374957,0.19998986630374957
26,29,4,0.1,4.238527684945755e-06,-0.09999576147231506,0.09999576147231506
27,30,4,0.1,1.8210066057977212e-06,-0.09999817899339421,0.09999817899339421
