CATCHMENT,NETWORK,YEAR,YEAR.1,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE,season,t,series_name
Entire Network,FluSurv-NET,2022-23,2022,40,0-4 yr,Overall,Overall,Overall,1.0,0.9,,,2022-23,0,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2022,41,0-4 yr,Overall,Overall,Overall,2.0,0.7,,,2022-23,1,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2022,42,0-4 yr,Overall,Overall,Overall,4.0,1.9,,,2022-23,2,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2022,43,0-4 yr,Overall,Overall,Overall,7.0,3.2,,,2022-23,3,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2022,44,0-4 yr,Overall,Overall,Overall,11.0,3.9,,,2022-23,4,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2022,45,0-4 yr,Overall,Overall,Overall,17.0,6.0,,,2022-23,5,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2022,46,0-4 yr,Overall,Overall,Overall,24.0,6.9,,,2022-23,6,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2022,47,0-4 yr,Overall,Overall,Overall,35.0,11.8,,,2022-23,7,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2022,48,0-4 yr,Overall,Overall,Overall,47.0,11.5,,,2022-23,8,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2022,49,0-4 yr,Overall,Overall,Overall,56.0,9.5,,,2022-23,9,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2022,50,0-4 yr,Overall,Overall,Overall,65.0,8.7,,,2022-23,10,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2022,51,0-4 yr,Overall,Overall,Overall,72.0,7.0,,,2022-23,11,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2022,52,0-4 yr,Overall,Overall,Overall,78.0,5.4,,,2022-23,12,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,1,0-4 yr,Overall,Overall,Overall,80.0,2.2,,,2022-23,13,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,2,0-4 yr,Overall,Overall,Overall,81.0,1.3,,,2022-23,14,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,3,0-4 yr,Overall,Overall,Overall,82.0,0.6,,,2022-23,15,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,4,0-4 yr,Overall,Overall,Overall,82.0,0.2,,,2022-23,16,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,5,0-4 yr,Overall,Overall,Overall,82.0,0.3,,,2022-23,17,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,6,0-4 yr,Overall,Overall,Overall,83.0,0.4,,,2022-23,18,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,7,0-4 yr,Overall,Overall,Overall,83.0,0.2,,,2022-23,19,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,8,0-4 yr,Overall,Overall,Overall,83.0,0.2,,,2022-23,20,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,9,0-4 yr,Overall,Overall,Overall,83.0,0.4,,,2022-23,21,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,10,0-4 yr,Overall,Overall,Overall,84.0,0.3,,,2022-23,22,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,11,0-4 yr,Overall,Overall,Overall,84.0,0.2,,,2022-23,23,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,12,0-4 yr,Overall,Overall,Overall,84.0,0.3,,,2022-23,24,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,13,0-4 yr,Overall,Overall,Overall,84.0,0.2,,,2022-23,25,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,14,0-4 yr,Overall,Overall,Overall,84.0,0.1,,,2022-23,26,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,15,0-4 yr,Overall,Overall,Overall,85.0,0.4,,,2022-23,27,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,16,0-4 yr,Overall,Overall,Overall,85.0,0.2,,,2022-23,28,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,17,0-4 yr,Overall,Overall,Overall,85.0,0.1,,,2022-23,29,2022-23 / 0-4 yr
Entire Network,FluSurv-NET,2022-23,2023,18,0-4 yr,Overall,Overall,Overall,85.0,0.1,,,2022-23,30,2022-23 / 0-4 yr
