t,actual,full_fit_prediction,test_forecast_prediction,segment,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95,raw_lower_50,raw_upper_50,raw_lower_80,raw_upper_80,raw_lower_95,raw_upper_95
0,0.9,0.6924614259292222,0.6039108837384224,train,0.20328032098425503,0.6419912897944781,0.10800136128336787,0.8157932927003839,0.02700034032084197,1.2463142845402986,0.20328032098425503,0.6419912897944781,0.10800136128336787,0.8157932927003839,0.02700034032084197,1.2463142845402986
1,0.7,1.3201332504206411,1.204895562234722,train,0.7891968689603988,1.2937098651172436,0.7074400438853872,1.780162745922441,0.6759084075982336,1.8944521659233422,0.7891968689603988,1.2937098651172436,0.7074400438853872,1.780162745922441,0.6759084075982336,1.8944521659233422
2,1.9,1.7430624668022727,1.6250285185240367,train,1.3581621142588198,1.9120288293062573,1.2815636298643507,2.176025181886171,1.2162784462554457,2.2096422113559826,1.3581621142588198,1.9120288293062573,1.2815636298643507,2.176025181886171,1.2162784462554457,2.2096422113559826
3,3.2,2.998628330237478,2.9103561524710617,train,2.7258168509437093,3.279392248531629,2.485546282160185,3.7674858260777557,2.4814464121207958,4.734626618262131,2.7258168509437093,3.279392248531629,2.485546282160185,3.7674858260777557,2.4814464121207958,4.734626618262131
4,3.9,3.949649394385378,3.9454937432913164,train,3.9044154404988265,4.058261677670933,3.352427948371403,4.352917379684558,3.3123299473902934,4.965914593955988,3.9044154404988265,4.058261677670933,3.352427948371403,4.352917379684558,3.3123299473902934,4.965914593955988
5,6.0,5.977842095573772,6.18629775705955,train,6.022183273920763,6.839903227173627,5.723902788381851,6.879646078046539,5.560943195318547,7.108929989699431,6.022183273920763,6.839903227173627,5.723902788381851,6.879646078046539,5.560943195318547,7.108929989699431
6,6.9,7.34099045246725,7.779305205074947,train,7.492021705249479,8.464613260707425,7.087948655612742,8.56189558336351,6.93018876911984,8.60176287874634,7.492021705249479,8.464613260707425,7.087948655612742,8.56189558336351,6.93018876911984,8.60176287874634
7,11.8,9.363285093593115,10.097011510943675,train,9.924539182868308,10.502500497813806,9.815073988609777,11.016934258144442,9.362770209594366,12.974895460307154,9.924539182868308,10.502500497813806,9.815073988609777,11.016934258144442,9.362770209594366,12.974895460307154
8,11.5,9.974796490182017,10.737163924787254,train,10.498142595020056,11.253820209530295,10.254060676674953,11.329616440531716,10.226970633070772,11.441155198841535,10.498142595020056,11.253820209530295,10.254060676674953,11.329616440531716,10.226970633070772,11.441155198841535
9,9.5,10.173300246801727,10.763631456621207,train,10.563552974978329,10.977727784823818,10.427581467463074,11.036086917260333,10.380624819139701,11.229453987998738,10.563552974978329,10.977727784823818,10.427581467463074,11.036086917260333,10.380624819139701,11.229453987998738
10,8.7,8.790950156562731,9.006796469195658,train,8.789507698398527,9.24020110587524,8.635764791757278,9.825220468467148,8.408252176832013,10.152289502542436,8.789507698398527,9.24020110587524,8.635764791757278,9.825220468467148,8.408252176832013,10.152289502542436
11,7.0,6.870610749864503,6.797151661508971,train,6.658422031645122,7.291914851638489,6.567514287841295,7.583476566881965,6.311791829790762,7.654650322038612,6.658422031645122,7.291914851638489,6.567514287841295,7.583476566881965,6.311791829790762,7.654650322038612
12,5.4,4.601068957557996,4.448498723866345,train,4.50212375928852,4.764286097306017,4.328520210660722,4.913784540517122,4.257674055974266,5.179497614777959,4.50212375928852,4.764286097306017,4.328520210660722,4.913784540517122,4.257674055974266,5.179497614777959
13,2.2,2.7098651427425557,2.6169508725585433,train,2.4523277260027343,2.913042925684395,2.3040138502406045,3.0669194211190507,2.1857522311255013,3.103229529134794,2.4523277260027343,2.913042925684395,2.3040138502406045,3.0669194211190507,2.1857522311255013,3.103229529134794
14,1.3,1.3850438437143637,1.3762857987764872,train,1.2010652507433295,1.7712440775210636,0.8943515106303926,1.8407426383196406,0.8631592520827874,1.9482690686276523,1.2010652507433295,1.7712440775210636,0.8943515106303926,1.8407426383196406,0.8631592520827874,1.9482690686276523
15,0.6,0.6218821771077244,0.6545231420981056,train,0.2753908907337099,1.0288697003837841,0.1118126497065015,1.2247968119619352,0.027953162426625374,1.3883301772182128,0.2753908907337099,1.0288697003837841,0.1118126497065015,1.2247968119619352,0.027953162426625374,1.3883301772182128
16,0.2,0.24674708538717488,0.28241679957235594,train,0.2770548994792562,0.6718077302692625,0.0898766150194098,0.737879735708556,0.058214340416412665,0.8947647866938204,0.2770548994792562,0.6718077302692625,0.0898766150194098,0.737879735708556,0.058214340416412665,0.8947647866938204
17,0.3,0.08755310742121633,0.11132032197784905,train,0.11942997499077823,0.4451019528087319,0.016581036295110454,0.6405206805649506,0.0041452590737776135,0.6821870444960078,0.11942997499077823,0.4451019528087319,0.016581036295110454,0.6405206805649506,0.0041452590737776135,0.6821870444960078
18,0.4,0.02812717513638243,0.040377157845062066,validation,0.12720012721609172,0.2925613421622032,0.0,0.4770299446016837,0.0,1.1009440930781735,0.12720012721609172,0.2925613421622032,0.0,0.4770299446016837,0.0,1.1009440930781735
19,0.2,0.008288827533114078,0.013591149973627764,validation,0.0,0.12320505058047648,0.0,0.21582705596366075,0.0,0.36753787490511247,0.0,0.12320505058047648,0.0,0.21582705596366075,0.0,0.36753787490511247
