origin_end,target_t,horizon,actual,prediction,error,abs_error
18,18,1,1.0,7.6100439885111015,6.6100439885111015,6.6100439885111015
19,19,1,1.1,6.350682887552839,5.2506828875528395,5.2506828875528395
20,20,1,0.8,5.370442238426839,4.570442238426839,4.570442238426839
21,21,1,0.7,4.564095538758014,3.864095538758014,3.864095538758014
22,22,1,0.8,3.9007063703355236,3.1007063703355238,3.1007063703355238
23,23,1,0.6,3.3556579550344976,2.7556579550344975,2.7556579550344975
24,24,1,0.6,2.8914553780910617,2.2914553780910616,2.2914553780910616
25,25,1,0.6,2.499383617673924,1.8993836176739238,1.8993836176739238
26,26,1,0.5,2.165632682473044,1.6656326824730439,1.6656326824730439
27,27,1,0.5,0.008468791767213825,-0.4915312082327862,0.4915312082327862
28,28,1,0.6,1.4272980962590227,0.8272980962590227,0.8272980962590227
29,29,1,0.2,1.736900012956644,1.5369000129566441,1.5369000129566441
30,30,1,0.1,1.2281687028653825,1.1281687028653824,1.1281687028653824
18,19,2,1.1,0.4804150770888485,-0.6195849229111516,0.6195849229111516
19,20,2,0.8,0.2641629667447146,-0.5358370332552854,0.5358370332552854
20,21,2,0.7,0.2173410275788371,-0.48265897242116285,0.48265897242116285
21,22,2,0.8,0.17722369013204675,-0.6227763098679533,0.6227763098679533
22,23,2,0.6,0.15305267188608826,-0.4469473281139117,0.4469473281139117
23,24,2,0.6,0.11832320289261773,-0.48167679710738226,0.48167679710738226
24,25,2,0.6,0.09281710754496118,-0.5071828924550388,0.5071828924550388
25,26,2,0.5,0.06633407786315627,-0.43366592213684374,0.43366592213684374
26,27,2,0.5,0.047083219569063875,-0.45291678043093614,0.45291678043093614
27,28,2,0.6,0.03132621092931831,-0.5686737890706817,0.5686737890706817
28,29,2,0.2,0.02078830615730751,-0.1792116938426925,0.1792116938426925
29,30,2,0.1,0.01377670199980577,-0.08622329800019424,0.08622329800019424
18,21,4,0.7,0.13710219276101102,-0.562897807238989,0.562897807238989
19,22,4,0.8,0.08020721808698382,-0.7197927819130162,0.7197927819130162
20,23,4,0.6,0.0680109665034376,-0.5319890334965623,0.5319890334965623
21,24,4,0.6,0.05444790782229311,-0.5455520921777068,0.5455520921777068
22,25,4,0.6,0.03816021769089328,-0.5618397823091067,0.5618397823091067
23,26,4,0.5,0.07590069176069564,-0.42409930823930436,0.42409930823930436
24,27,4,0.5,0.04772744981558743,-0.4522725501844126,0.4522725501844126
25,28,4,0.6,0.031352577066399524,-0.5686474229336005,0.5686474229336005
26,29,4,0.2,0.02078636411460433,-0.17921363588539568,0.17921363588539568
27,30,4,0.1,0.01375609825435394,-0.08624390174564607,0.08624390174564607
