t,actual,full_fit_prediction,test_forecast_prediction,segment,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95,raw_lower_50,raw_upper_50,raw_lower_80,raw_upper_80,raw_lower_95,raw_upper_95
0,0.8,1.714164593311774,1.574738476554084,train,0.7360212713426106,2.758786283672666,0.38059707377686025,3.2461383666269823,0.12329442138350957,4.481990813790816,0.7360212713426106,2.758786283672666,0.38059707377686025,3.2461383666269823,0.12329442138350957,4.481990813790816
1,1.2,1.1766428027639524,1.1302660062789438,train,0.011284443541327294,2.347009722493147,0.0,3.786110964062836,0.0,4.168859574021535,0.011284443541327294,2.347009722493147,0.0,3.786110964062836,0.0,4.168859574021535
2,2.1,2.0151809044395215,1.9012922772097975,train,1.0424453331961825,2.650476610960632,0.916260716975552,3.7636439329195275,0.4567316816189395,5.980169681475487,1.0424453331961825,2.650476610960632,0.916260716975552,3.7636439329195275,0.4567316816189395,5.980169681475487
3,3.8,2.8589888157723067,2.7198254460513507,train,2.560399672976407,3.7814654037787134,2.4628517598730078,3.980802476863539,2.313599424079661,4.28358188932564,2.560399672976407,3.7814654037787134,2.4628517598730078,3.980802476863539,2.313599424079661,4.28358188932564
4,5.1,4.508367884433441,4.394756796767665,train,4.628047614529526,5.188096929791394,3.8077213846585822,5.480825736368793,3.3668942305581044,5.561960989758662,4.628047614529526,5.188096929791394,3.8077213846585822,5.480825736368793,3.3668942305581044,5.561960989758662
5,7.7,7.253336650624946,7.188364423384913,train,6.156740904419526,8.289878752773188,6.022717184368346,8.715718469171328,5.990623846234366,9.44227448104118,6.156740904419526,8.289878752773188,6.022717184368346,8.715718469171328,5.990623846234366,9.44227448104118
6,9.7,11.890078622315887,11.905474205765406,train,11.225079079892073,13.175900757839864,10.46798484535475,13.563989810565102,9.483560072887366,14.47286130858023,11.225079079892073,13.175900757839864,10.46798484535475,13.563989810565102,9.483560072887366,14.47286130858023
7,18.4,18.676331674987484,18.64638423196942,train,17.850599203966564,19.32443827443516,17.249002922216217,19.84273229942386,17.163954125860275,20.73687328400052,17.850599203966564,19.32443827443516,17.249002922216217,19.84273229942386,17.163954125860275,20.73687328400052
8,26.1,25.334295646011483,25.07523719736371,train,23.83684589582654,25.872562431238208,22.616100551197665,26.483343069683237,22.15482744744479,27.005604268795555,23.83684589582654,25.872562431238208,22.616100551197665,26.483343069683237,22.15482744744479,27.005604268795555
9,22.2,24.63302313279177,24.680861783104557,train,23.616889569651768,25.671940662150575,23.306729362543344,26.031850782223742,21.860865759317107,26.17736260470006,23.616889569651768,25.671940662150575,23.306729362543344,26.031850782223742,21.860865759317107,26.17736260470006
10,18.3,18.40711520013114,18.524534154755504,train,18.36848504442603,19.411425392714126,17.279265025161173,19.65978833347541,17.148219567190665,20.38148933013137,18.36848504442603,19.411425392714126,17.279265025161173,19.65978833347541,17.148219567190665,20.38148933013137
11,16.9,16.005451323014636,15.413465379666972,train,13.817319981269607,15.23737055987691,13.422583706641806,15.860558637778364,13.061882742538698,15.899528946479924,13.817319981269607,15.23737055987691,13.422583706641806,15.860558637778364,13.061882742538698,15.899528946479924
12,18.1,8.529150844225644,10.039749188500663,train,9.633958119029074,11.22344559608311,9.283185139629532,11.842339779145421,8.066774698280447,12.208797871716127,9.633958119029074,11.22344559608311,9.283185139629532,11.842339779145421,8.066774698280447,12.208797871716127
13,10.7,9.596800862209626,8.0325171855222,train,6.713910290544495,8.304867401285534,6.126844280014227,9.072497223171348,6.076109161813841,9.172033737567244,6.713910290544495,8.304867401285534,6.126844280014227,9.072497223171348,6.076109161813841,9.172033737567244
