CATCHMENT,NETWORK,YEAR,YEAR.1,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE,season,t,series_name
Entire Network,FluSurv-NET,2022-23,2022,40,Overall,Overall,Overall,Overall,0.0,0.4,,,2022-23,0,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2022,41,Overall,Overall,Overall,Overall,1.0,0.6,,,2022-23,1,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2022,42,Overall,Overall,Overall,Overall,2.0,0.9,,,2022-23,2,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2022,43,Overall,Overall,Overall,Overall,4.0,1.7,,,2022-23,3,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2022,44,Overall,Overall,Overall,Overall,6.0,2.5,,,2022-23,4,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2022,45,Overall,Overall,Overall,Overall,9.0,3.2,,,2022-23,5,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2022,46,Overall,Overall,Overall,Overall,13.0,3.9,,,2022-23,6,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2022,47,Overall,Overall,Overall,Overall,20.0,6.9,,,2022-23,7,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2022,48,Overall,Overall,Overall,Overall,29.0,8.7,,,2022-23,8,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2022,49,Overall,Overall,Overall,Overall,36.0,7.3,,,2022-23,9,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2022,50,Overall,Overall,Overall,Overall,42.0,6.4,,,2022-23,10,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2022,51,Overall,Overall,Overall,Overall,48.0,5.6,,,2022-23,11,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2022,52,Overall,Overall,Overall,Overall,53.0,5.2,,,2022-23,12,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,1,Overall,Overall,Overall,Overall,56.0,3.0,,,2022-23,13,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,2,Overall,Overall,Overall,Overall,57.0,1.3,,,2022-23,14,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,3,Overall,Overall,Overall,Overall,58.0,0.8,,,2022-23,15,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,4,Overall,Overall,Overall,Overall,59.0,0.5,,,2022-23,16,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,5,Overall,Overall,Overall,Overall,59.0,0.4,,,2022-23,17,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,6,Overall,Overall,Overall,Overall,59.0,0.3,,,2022-23,18,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,7,Overall,Overall,Overall,Overall,60.0,0.3,,,2022-23,19,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,8,Overall,Overall,Overall,Overall,60.0,0.3,,,2022-23,20,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,9,Overall,Overall,Overall,Overall,60.0,0.2,,,2022-23,21,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,10,Overall,Overall,Overall,Overall,61.0,0.3,,,2022-23,22,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,11,Overall,Overall,Overall,Overall,61.0,0.3,,,2022-23,23,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,12,Overall,Overall,Overall,Overall,61.0,0.3,,,2022-23,24,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,13,Overall,Overall,Overall,Overall,61.0,0.2,,,2022-23,25,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,14,Overall,Overall,Overall,Overall,62.0,0.2,,,2022-23,26,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,15,Overall,Overall,Overall,Overall,62.0,0.2,,,2022-23,27,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,16,Overall,Overall,Overall,Overall,62.0,0.2,,,2022-23,28,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,17,Overall,Overall,Overall,Overall,62.0,0.1,,,2022-23,29,2022-23 / Overall
Entire Network,FluSurv-NET,2022-23,2023,18,Overall,Overall,Overall,Overall,62.0,0.0,,,2022-23,30,2022-23 / Overall
