origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.5,1.672192280314989,1.172192280314989,1.172192280314989
32,32,1,0.6,0.8374575053274191,0.23745750532741916,0.23745750532741916
33,33,1,0.1,0.7614828440049733,0.6614828440049734,0.6614828440049734
34,34,1,0.1,0.661819183070708,0.561819183070708,0.561819183070708
35,35,1,0.3,0.5776402675038246,0.2776402675038246,0.2776402675038246
36,36,1,0.1,0.5105042139756049,0.4105042139756049,0.4105042139756049
37,37,1,0.2,0.4564835170319558,0.25648351703195577,0.25648351703195577
38,38,1,0.2,0.39688712164886736,0.19688712164886735,0.19688712164886735
39,39,1,0.2,0.3544600394047915,0.15446003940479147,0.15446003940479147
40,40,1,0.1,0.3123622519903781,0.2123622519903781,0.2123622519903781
41,41,1,0.0,0.2767585157262823,0.2767585157262823,0.2767585157262823
42,42,1,0.2,0.24473823413533885,0.04473823413533884,0.04473823413533884
43,43,1,0.0,0.218324310574124,0.218324310574124,0.218324310574124
44,44,1,0.1,0.19476116903461757,0.09476116903461757,0.09476116903461757
45,45,1,0.1,0.1737411324647353,0.07374113246473529,0.07374113246473529
46,46,1,0.0,0.15498973054923143,0.15498973054923143,0.15498973054923143
47,47,1,0.2,0.13826211579804878,-0.061737884201951226,0.061737884201951226
48,48,1,0.2,0.1202795089745208,-0.0797204910254792,0.0797204910254792
49,49,1,0.0,0.10744794449970213,0.10744794449970213,0.10744794449970213
50,50,1,0.2,0.0956086902392757,-0.1043913097607243,0.1043913097607243
51,51,1,0.1,0.08536640525506806,-0.01463359474493195,0.01463359474493195
31,32,2,0.6,0.8770897022715758,0.2770897022715758,0.2770897022715758
32,33,2,0.1,0.7674605675687384,0.6674605675687384,0.6674605675687384
33,34,2,0.1,0.6796118098720115,0.5796118098720116,0.5796118098720116
34,35,2,0.3,0.5892888867597188,0.2892888867597188,0.2892888867597188
35,36,2,0.1,0.5135755954804642,0.4135755954804642,0.4135755954804642
36,37,2,0.2,0.45354149218264594,0.25354149218264593,0.25354149218264593
37,38,2,0.2,0.39821451550259523,0.19821451550259522,0.19821451550259522
38,39,2,0.2,0.35204037006104427,0.15204037006104426,0.15204037006104426
39,40,2,0.1,0.31190955472084275,0.21190955472084275,0.21190955472084275
40,41,2,0.0,0.27682632583691713,0.27682632583691713,0.27682632583691713
41,42,2,0.2,0.2451179717928751,0.04511797179287508,0.04511797179287508
42,43,2,0.0,0.21665650534620015,0.21665650534620015,0.21665650534620015
43,44,2,0.1,0.19292084627165274,0.09292084627165273,0.09292084627165273
44,45,2,0.1,0.1709118974655646,0.07091189746556459,0.07091189746556459
45,46,2,0.0,0.15197511138976078,0.15197511138976078,0.15197511138976078
46,47,2,0.2,0.13520599207953898,-0.06479400792046103,0.06479400792046103
47,48,2,0.2,0.12005786468305737,-0.07994213531694264,0.07994213531694264
48,49,2,0.0,0.10715889030565026,0.10715889030565026,0.10715889030565026
49,50,2,0.2,0.0955148589740628,-0.10448514102593721,0.10448514102593721
50,51,2,0.1,0.08511532576890761,-0.014884674231092396,0.014884674231092396
31,34,4,0.1,0.7192871712958571,0.6192871712958571,0.6192871712958571
32,35,4,0.3,0.6170742666882865,0.3170742666882865,0.3170742666882865
33,36,4,0.1,0.5473412173750501,0.44734121737505017,0.44734121737505017
34,37,4,0.2,0.4732742583112079,0.2732742583112079,0.2732742583112079
35,38,4,0.2,0.41125906072212765,0.21125906072212763,0.21125906072212763
36,39,4,0.2,0.36283968023399366,0.16283968023399364,0.16283968023399364
37,40,4,0.1,0.31801766305605217,0.21801766305605216,0.21801766305605216
38,41,4,0.0,0.28067829316154647,0.28067829316154647,0.28067829316154647
39,42,4,0.2,0.248530512285653,0.048530512285653,0.048530512285653
40,43,4,0.0,0.22048731195825014,0.22048731195825014,0.22048731195825014
41,44,4,0.1,0.19512226924913015,0.09512226924913014,0.09512226924913014
42,45,4,0.1,0.1723504880477605,0.07235048804776048,0.07235048804776048
43,46,4,0.0,0.15352021957803075,0.15352021957803075,0.15352021957803075
44,47,4,0.2,0.13589594276993444,-0.06410405723006557,0.06410405723006557
45,48,4,0.2,0.12079848103312106,-0.07920151896687895,0.07920151896687895
46,49,4,0.0,0.10747030926525739,0.10747030926525739,0.10747030926525739
47,50,4,0.2,0.09540892118489437,-0.10459107881510564,0.10459107881510564
48,51,4,0.1,0.08516634651424697,-0.014833653485753037,0.014833653485753037
