origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.5,0.9789077401315672,0.47890774013156723,0.47890774013156723
32,32,1,0.6,0.8583203266074655,0.2583203266074655,0.2583203266074655
33,33,1,0.1,0.7609531060948128,0.6609531060948128,0.6609531060948128
34,34,1,0.1,0.6583696643216159,0.5583696643216159,0.5583696643216159
35,35,1,0.3,0.5747435677813678,0.2747435677813678,0.2747435677813678
36,36,1,0.1,0.5077543284885794,0.4077543284885794,0.4077543284885794
37,37,1,0.2,0.44618264487988846,0.24618264487988845,0.24618264487988845
38,38,1,0.2,0.3946837246528639,0.19468372465286388,0.19468372465286388
39,39,1,0.2,0.34974848109741963,0.14974848109741962,0.14974848109741962
40,40,1,0.1,0.31050459838113464,0.21050459838113464,0.21050459838113464
41,41,1,0.0,0.2751104134897224,0.2751104134897224,0.2751104134897224
42,42,1,0.2,0.24326339041792208,0.04326339041792207,0.04326339041792207
43,43,1,0.0,0.21667517747799625,0.21667517747799625,0.21667517747799625
44,44,1,0.1,0.19200717034767498,0.09200717034767497,0.09200717034767497
45,45,1,0.1,0.17079984955729693,0.07079984955729693,0.07079984955729693
46,46,1,0.0,0.15191283583998239,0.15191283583998239,0.15191283583998239
47,47,1,0.2,0.1347217105835098,-0.06527828941649022,0.06527828941649022
48,48,1,0.2,0.12024939688386345,-0.07975060311613656,0.07975060311613656
49,49,1,0.0,0.10738095568047636,0.10738095568047636,0.10738095568047636
50,50,1,0.2,0.09552214269593909,-0.10447785730406092,0.10447785730406092
51,51,1,0.1,0.08515070361035816,-0.014849296389641845,0.014849296389641845
31,32,2,0.6,0.9841245289350489,0.3841245289350489,0.3841245289350489
32,33,2,0.1,0.7416055678970265,0.6416055678970265,0.6416055678970265
33,34,2,0.1,0.6549625878483479,0.554962587848348,0.554962587848348
34,35,2,0.3,0.5745047596164611,0.2745047596164611,0.2745047596164611
35,36,2,0.1,0.5074541936491281,0.40745419364912816,0.40745419364912816
36,37,2,0.2,0.4476877831527998,0.24768778315279977,0.24768778315279977
37,38,2,0.2,0.3925659129527013,0.1925659129527013,0.1925659129527013
38,39,2,0.2,0.3466392413996173,0.14663924139961731,0.14663924139961731
39,40,2,0.1,0.30700289998074964,0.20700289998074964,0.20700289998074964
40,41,2,0.0,0.27218201730544744,0.27218201730544744,0.27218201730544744
41,42,2,0.2,0.24096114565708643,0.04096114565708642,0.04096114565708642
42,43,2,0.0,0.2124331438440473,0.2124331438440473,0.2124331438440473
43,44,2,0.1,0.1876908094498332,0.0876908094498332,0.0876908094498332
44,45,2,0.1,0.16608866027571328,0.06608866027571328,0.06608866027571328
45,46,2,0.0,0.14754340145467745,0.14754340145467745,0.14754340145467745
46,47,2,0.2,0.13104512328991966,-0.06895487671008035,0.06895487671008035
47,48,2,0.2,0.1162283074872147,-0.08377169251278531,0.08377169251278531
48,49,2,0.0,0.10361533878717565,0.10361533878717565,0.10361533878717565
49,50,2,0.2,0.09240961850220611,-0.1075903814977939,0.1075903814977939
50,51,2,0.1,0.08209566057845452,-0.017904339421545484,0.017904339421545484
31,34,4,0.1,1.027047217836909,0.927047217836909,0.927047217836909
32,35,4,0.3,0.9828808841244158,0.6828808841244158,0.6828808841244158
33,36,4,0.1,0.5372908535032531,0.43729085350325314,0.43729085350325314
34,37,4,0.2,0.46109022790283316,0.26109022790283315,0.26109022790283315
35,38,4,0.2,0.40291817991349954,0.20291817991349953,0.20291817991349953
36,39,4,0.2,0.3566417891425892,0.1566417891425892,0.1566417891425892
37,40,4,0.1,0.31222756639125554,0.21222756639125553,0.21222756639125553
38,41,4,0.0,0.2754651010796644,0.2754651010796644,0.2754651010796644
39,42,4,0.2,0.2438229287427362,0.04382292874273619,0.04382292874273619
40,43,4,0.0,0.21604473000424051,0.21604473000424051,0.21604473000424051
41,44,4,0.1,0.19117059532043976,0.09117059532043975,0.09117059532043975
42,45,4,0.1,0.16839259381284566,0.06839259381284565,0.06839259381284565
43,46,4,0.0,0.14979794137097144,0.14979794137097144,0.14979794137097144
44,47,4,0.2,0.13233533927088942,-0.06766466072911059,0.06766466072911059
45,48,4,0.2,0.1175637321330394,-0.08243626786696061,0.08243626786696061
46,49,4,0.0,0.10449716257037871,0.10449716257037871,0.10449716257037871
47,50,4,0.2,0.09275750998930214,-0.10724249001069787,0.10724249001069787
48,51,4,0.1,0.08273191482250963,-0.017268085177490372,0.017268085177490372
