origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,1.3,1.9154588702449027,0.6154588702449026,0.6154588702449026
32,32,1,0.8,1.7053448312516362,0.9053448312516361,0.9053448312516361
33,33,1,0.9,1.4277593870681178,0.5277593870681178,0.5277593870681178
34,34,1,0.9,1.2546255383894065,0.35462553838940647,0.35462553838940647
35,35,1,0.5,1.0956559801575112,0.5956559801575112,0.5956559801575112
36,36,1,0.5,0.9554048398836006,0.4554048398836006,0.4554048398836006
37,37,1,0.8,0.8249523194282659,0.024952319428265812,0.024952319428265812
38,38,1,0.4,0.7238891934759734,0.32388919347597334,0.32388919347597334
39,39,1,0.5,0.6352070133633342,0.13520701336333418,0.13520701336333418
40,40,1,0.6,0.5573891691291329,-0.042610830870867034,0.042610830870867034
41,41,1,0.4,0.48910457958449705,0.08910457958449702,0.08910457958449702
42,42,1,0.2,0.4212230289600841,0.2212230289600841,0.2212230289600841
43,43,1,0.2,0.36935830410988596,0.16935830410988595,0.16935830410988595
44,44,1,0.4,0.32387976714349587,-0.07612023285650416,0.07612023285650416
45,45,1,0.3,0.284000950568097,-0.015999049431903,0.015999049431903
46,46,1,0.2,0.24903233833081959,0.049032338330819575,0.049032338330819575
47,47,1,0.3,0.21836935669132376,-0.08163064330867623,0.08163064330867623
48,48,1,0.3,0.19148186239839807,-0.10851813760160192,0.10851813760160192
49,49,1,0.3,0.16790498530843775,-0.13209501469156223,0.13209501469156223
50,50,1,0.4,0.14723109404722612,-0.2527689059527739,0.2527689059527739
51,51,1,0.4,0.1291027525205798,-0.27089724747942023,0.27089724747942023
31,32,2,0.8,1.6896015710405246,0.8896015710405245,0.8896015710405245
32,33,2,0.9,1.4868028685846604,0.5868028685846604,0.5868028685846604
33,34,2,0.9,1.261266679396825,0.361266679396825,0.361266679396825
34,35,2,0.5,1.0891738750653142,0.5891738750653142,0.5891738750653142
35,36,2,0.5,0.9488283632579948,0.4488283632579948,0.4488283632579948
36,37,2,0.8,0.8238528197541446,0.02385281975414455,0.02385281975414455
37,38,2,0.4,0.7177492812529908,0.31774928125299073,0.31774928125299073
38,39,2,0.5,0.6302570463339358,0.13025704633393576,0.13025704633393576
39,40,2,0.6,0.5495412651590653,-0.05045873484093466,0.05045873484093466
40,41,2,0.4,0.48105740425973026,0.08105740425973024,0.08105740425973024
41,42,2,0.2,0.421826998140586,0.22182699814058598,0.22182699814058598
42,43,2,0.2,0.369889366777763,0.169889366777763,0.169889366777763
43,44,2,0.4,0.3230399541077729,-0.0769600458922271,0.0769600458922271
44,45,2,0.3,0.2812056740901577,-0.018794325909842313,0.018794325909842313
45,46,2,0.2,0.24648144810988243,0.04648144810988242,0.04648144810988242
46,47,2,0.3,0.21604517259390557,-0.08395482740609442,0.08395482740609442
47,48,2,0.3,0.18936725840801685,-0.11063274159198314,0.11063274159198314
48,49,2,0.3,0.16598361409871928,-0.1340163859012807,0.1340163859012807
49,50,2,0.4,0.1454874532173038,-0.2545125467826962,0.2545125467826962
50,51,2,0.4,0.1275222205406419,-0.27247777945935814,0.27247777945935814
31,34,4,0.9,1.3084036119342497,0.4084036119342497,0.4084036119342497
32,35,4,0.5,1.1422713411869445,0.6422713411869445,0.6422713411869445
33,36,4,0.5,0.9729403293612615,0.4729403293612615,0.4729403293612615
34,37,4,0.8,0.8550304083057955,0.05503040830579542,0.05503040830579542
35,38,4,0.4,0.7316939534134901,0.33169395341349006,0.33169395341349006
36,39,4,0.5,0.6422936701846944,0.1422936701846944,0.1422936701846944
37,40,4,0.6,0.5531318132744266,-0.04686818672557336,0.04686818672557336
38,41,4,0.4,0.4851899853180148,0.0851899853180148,0.0851899853180148
39,42,4,0.2,0.42559351078905144,0.22559351078905143,0.22559351078905143
40,43,4,0.2,0.37331736151335104,0.17331736151335103,0.17331736151335103
41,44,4,0.4,0.32746235289940495,-0.07253764710059507,0.07253764710059507
42,45,4,0.3,0.28723976870632345,-0.012760231293676538,0.012760231293676538
43,46,4,0.2,0.24753965074497247,0.04753965074497246,0.04753965074497246
44,47,4,0.3,0.21700477999356782,-0.08299522000643217,0.08299522000643217
45,48,4,0.3,0.19023648687537498,-0.10976351312462501,0.10976351312462501
46,49,4,0.3,0.1667701592450789,-0.1332298407549211,0.1332298407549211
47,50,4,0.4,0.14619848417324754,-0.2538015158267525,0.2538015158267525
48,51,4,0.4,0.12816439626773862,-0.2718356037322614,0.2718356037322614
