t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.7,0.6125804118424342,0.6203036169216023,train
1,0.7,0.5370851491984714,0.5437649465777911,train
2,0.6,0.8030275904881123,0.8131490885346914,train
3,0.5,0.981962437503187,0.9940649592737975,train
4,1.1,1.2819862680451755,1.297232182952717,train
5,1.6,1.6733001739654454,1.6920650536647734,train
6,2.1,2.2689933477677813,2.2923037147933925,train
7,3.4,3.199707018832104,3.228691219109126,train
8,5.4,4.731413812727511,4.767134802050454,train
9,7.6,7.287352669464896,7.329232638408593,train
10,10.6,11.419139778305306,11.460716533406,train
11,17.4,17.149521901913484,17.17124433619779,train
12,25.2,21.746076120161227,21.723975983749288,train
13,19.3,19.067699301478353,19.04513271748674,train
14,14.7,16.716677417944933,16.69406031630974,train
15,12.0,14.658456325475138,14.636183955656112,train
16,10.2,12.848319062650269,12.826612702484002,train
17,9.6,11.271461580922491,11.25052749392891,train
18,9.4,9.870672864536223,9.850746756760493,train
19,9.0,8.673897018077758,8.654696878535987,train
20,9.2,7.57395942188826,7.556480129886151,train
21,9.4,6.685061929342294,6.66741299201417,train
22,7.2,5.803952837899539,5.7894443991993425,train
23,6.1,5.153361080869211,5.1370976934086805,train
24,4.8,4.4559672340933965,4.444027241847166,train
25,5.0,3.9566815387194545,3.942648612841714,train
26,4.4,3.43709345285426,3.4263887958824073,train
27,3.6,3.0288358376172284,3.017718831329152,train
28,2.7,2.6503604805396557,2.6406643026146948,train
29,2.0,2.3247301037542405,2.315720804214006,train
30,1.5,2.0381585778362488,2.029929731928138,train
31,1.3,1.7869695388694833,1.7794555099343672,validation
32,0.8,1.5667403671390099,1.559889690636904,validation
33,0.9,1.3736529617420412,1.3674162631970324,validation
34,0.9,1.2043620106708934,1.198692033374114,validation
35,0.5,1.0559347402299764,1.0507865508501149,validation
36,0.5,0.9257998635657405,0.9211309939958108,validation
37,0.8,0.8117029946718594,0.8074735164665846,validation
38,0.4,0.7116675848434206,0.7078401284191496,validation
39,0.5,0.6239606792858844,0.6205004099251876,validation
40,0.6,0.547062895488377,0.5439374564004787,validation
41,0.4,0.47964210198776575,0.47682153288271756,test
42,0.2,0.42053034116846216,0.4179869792393473,test
43,0.2,0.36870359619467197,0.36641196508083834,test
44,0.4,0.3232640515221261,0.32120074272183075,test
45,0.3,0.28342453966182307,0.2815680899442971,test
46,0.2,0.2484949047524685,0.24682567235905872,test
47,0.3,0.2178700467084314,0.21637008850545827,test
48,0.3,0.19101943882529362,0.18967239005638276,test
49,0.3,0.1674779372512589,0.166268895116082,test
50,0.4,0.1468377231126184,0.1457531350568735,test
51,0.4,0.1287412377031231,0.12776879502818667,test
