t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.32952167009426125,0.3310794938981791,train
1,0.2,0.3478245769823929,0.3494244534941044,train
2,0.3,0.37814276429594706,0.37964355985929354,train
3,0.3,0.4269064347051307,0.4281202822858912,train
4,0.5,0.5050060534978431,0.5056495124184411,train
5,0.8,0.6316379767275992,0.6312478087204296,train
6,0.9,0.8417047915042383,0.8394998676405443,train
7,1.4,1.199604049289148,1.1943021816793216,train
8,2.1,1.8215783193399566,1.811349081175111,train
9,2.9,2.894289999046844,2.877692983025991,train
10,4.1,4.602694328448786,4.582946608921725,train
11,6.7,6.687915207147461,6.680465001024178,train
12,8.9,7.686137334154022,7.70252050273872,train
13,6.9,6.758505894850497,6.766016942166505,train
14,5.4,5.949238889537632,5.957228413887378,train
15,4.2,5.234947530821211,5.240809003290438,train
16,3.9,4.606939550346451,4.611764736344476,train
17,3.5,4.054151955174407,4.057932086828023,train
18,3.5,3.5677134292474753,3.570662979124883,train
19,3.3,3.139638306051196,3.1418980745597667,train
20,3.3,2.7629262056166994,2.764619504603625,train
21,3.3,2.4314142209968597,2.432644486976127,train
22,2.7,2.1396789761837383,2.1405329711113055,train
23,2.1,1.8829478258874106,1.883498154075189,train
24,1.9,1.6570207748488168,1.6573280320139696,train
25,1.7,1.4582017677492558,1.4583163778389723,train
26,1.7,1.2832382235302133,1.2832020075679957,train
27,1.3,1.1292678247617436,1.129115339614179,train
28,0.9,0.9937716915369638,0.9935313712368108,train
29,0.7,0.8745331738365735,0.8742283015740014,train
30,0.5,0.7696015882258666,0.7692511232148762,train
31,0.4,0.6772603056342158,0.6768795856894873,validation
32,0.3,0.5959986681487435,0.5956000058972127,validation
33,0.3,0.5244872753947255,0.5240804635339071,validation
34,0.3,0.46155623620007263,0.4611489750477438,validation
35,0.2,0.40617602975182515,0.40577428846254815,validation
36,0.2,0.3574406631426038,0.3570489843553174,validation
37,0.2,0.31455284977276987,0.3141746060653455,validation
38,0.2,0.27681096613425155,0.2764485754651803,validation
39,0.2,0.24359757359544207,0.2432526798834696,validation
40,0.2,0.21436931740922338,0.21404294151605538,validation
41,0.1,0.1886480376968599,0.18834070331637587,test
42,0.1,0.166012946987836,0.16572478529055615,test
43,0.1,0.14609374634404085,0.14582458266318402,test
44,0.1,0.12856456745148223,0.12831399281410705,test
45,0.1,0.11313864157513238,0.11290607146757502,test
46,0.1,0.09956360816363256,0.09934833056523563,test
47,0.1,0.08761738635493922,0.08741860076970165,test
48,0.1,0.0771045418427773,0.07692139079795073,test
49,0.1,0.06785308966762454,0.06768468392532075,test
50,0.1,0.05971168062746193,0.05955711916473325,test
51,0.1,0.052547125279355504,0.05240551092941257,test
