origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.4,0.7139890827838061,0.3139890827838061,0.3139890827838061
32,32,1,0.3,0.5985529266809917,0.2985529266809917,0.2985529266809917
33,33,1,0.3,0.5281435492730885,0.2281435492730885,0.2281435492730885
34,34,1,0.3,0.45844429571551604,0.15844429571551605,0.15844429571551605
35,35,1,0.2,0.4003709397775802,0.2003709397775802,0.2003709397775802
36,36,1,0.2,0.3483059703344189,0.1483059703344189,0.1483059703344189
37,37,1,0.2,0.30427328045931756,0.10427328045931755,0.10427328045931755
38,38,1,0.2,0.2658451524067687,0.06584515240676869,0.06584515240676869
39,39,1,0.2,0.23291722656715136,0.03291722656715135,0.03291722656715135
40,40,1,0.2,0.2045061508052676,0.004506150805267589,0.004506150805267589
41,41,1,0.1,0.1795607636962574,0.07956076369625739,0.07956076369625739
42,42,1,0.1,0.15647086867867857,0.056470868678678565,0.056470868678678565
43,43,1,0.1,0.13734335823626692,0.037343358236266916,0.037343358236266916
44,44,1,0.1,0.12051661229328788,0.02051661229328787,0.02051661229328787
45,45,1,0.1,0.10578437023695142,0.005784370236951414,0.005784370236951414
46,46,1,0.1,0.0928535525343243,-0.0071464474656757065,0.0071464474656757065
47,47,1,0.1,0.08150336575193656,-0.018496634248063443,0.018496634248063443
48,48,1,0.1,0.07154059750646866,-0.02845940249353135,0.02845940249353135
49,49,1,0.1,0.06279565321468837,-0.037204346785311634,0.037204346785311634
50,50,1,0.1,0.05511966911244123,-0.04488033088755877,0.04488033088755877
51,51,1,0.1,0.04838197817100374,-0.05161802182899627,0.05161802182899627
31,32,2,0.3,0.6446045823260709,0.3446045823260709,0.3446045823260709
32,33,2,0.3,0.5127115942257652,0.2127115942257652,0.2127115942257652
33,34,2,0.3,0.4628999493884413,0.16289994938844132,0.16289994938844132
34,35,2,0.2,0.4071648286551827,0.2071648286551827,0.2071648286551827
35,36,2,0.2,0.35814045324393734,0.15814045324393733,0.15814045324393733
36,37,2,0.2,0.30583981150306355,0.10583981150306354,0.10583981150306354
37,38,2,0.2,0.2667662327610244,0.06676623276102439,0.06676623276102439
38,39,2,0.2,0.2342970802429598,0.0342970802429598,0.0342970802429598
39,40,2,0.2,0.20577987416425664,0.0057798741642566265,0.0057798741642566265
40,41,2,0.1,0.18073360780427095,0.08073360780427094,0.08073360780427094
41,42,2,0.1,0.1587358196336395,0.0587358196336395,0.0587358196336395
42,43,2,0.1,0.13941546755293635,0.039415467552936345,0.039415467552936345
43,44,2,0.1,0.12244667043487856,0.022446670434878552,0.022446670434878552
44,45,2,0.1,0.10754321140750583,0.007543211407505829,0.007543211407505829
45,46,2,0.1,0.0944537101639734,-0.005546289836026605,0.005546289836026605
46,47,2,0.1,0.0829573828691928,-0.01704261713080721,0.01704261713080721
47,48,2,0.1,0.07286031814465391,-0.0271396818553461,0.0271396818553461
48,49,2,0.1,0.06399220631755635,-0.03600779368244365,0.03600779368244365
49,50,2,0.1,0.05620346676570789,-0.04379653323429211,0.04379653323429211
50,51,2,0.1,0.04936272490440702,-0.05063727509559299,0.05063727509559299
31,34,4,0.3,0.4970415566190232,0.19704155661902323,0.19704155661902323
32,35,4,0.2,0.4372667959697641,0.23726679596976408,0.23726679596976408
33,36,4,0.2,0.35956894706812226,0.15956894706812225,0.15956894706812225
34,37,4,0.2,0.31135186938566267,0.11135186938566266,0.11135186938566266
35,38,4,0.2,0.2711395478745485,0.07113954787454851,0.07113954787454851
36,39,4,0.2,0.23830753325012996,0.03830753325012995,0.03830753325012995
37,40,4,0.2,0.20945126894189778,0.009451268941897767,0.009451268941897767
38,41,4,0.1,0.1808928396473451,0.08089283964734509,0.08089283964734509
39,42,4,0.1,0.15888096084088338,0.05888096084088337,0.05888096084088337
40,43,4,0.1,0.13954759654633622,0.03954759654633622,0.03954759654633622
41,44,4,0.1,0.12256676531975585,0.02256676531975585,0.02256676531975585
42,45,4,0.1,0.10765221758536726,0.0076522175853672575,0.0076522175853672575
43,46,4,0.1,0.09455261704769422,-0.00544738295230579,0.00544738295230579
44,47,4,0.1,0.0830470341532969,-0.01695296584670311,0.01695296584670311
45,48,4,0.1,0.0729415017474547,-0.027058498252545304,0.027058498252545304
46,49,4,0.1,0.06406565546124626,-0.03593434453875374,0.03593434453875374
47,50,4,0.1,0.056269861619659696,-0.04373013838034031,0.04373013838034031
48,51,4,0.1,0.04942269463859811,-0.0505773053614019,0.0505773053614019
