origin_end,target_t,horizon,actual,prediction,error,abs_error
18,18,1,10.3,8.88340528077011,-1.4165947192298916,1.4165947192298916
19,19,1,9.9,9.607445500542129,-0.2925544994578715,0.2925544994578715
20,20,1,6.2,9.757857640851904,3.5578576408519043,3.5578576408519043
21,21,1,5.1,8.210348563729397,3.1103485637293975,3.1103485637293975
22,22,1,3.1,6.233865054531674,3.133865054531674,3.133865054531674
23,23,1,3.1,4.69978862729127,1.5997886272912702,1.5997886272912702
24,24,1,2.5,3.7957418704925963,1.2957418704925963,1.2957418704925963
25,25,1,1.6,3.0764231836370683,1.4764231836370683,1.4764231836370683
26,26,1,1.6,2.4551349153963082,0.8551349153963081,0.8551349153963081
27,27,1,1.6,1.995426069204159,0.3954260692041589,0.3954260692041589
28,28,1,0.4,1.642722296879682,1.2427222968796818,1.2427222968796818
29,29,1,0.5,1.3078567895355568,0.8078567895355568,0.8078567895355568
30,30,1,0.2,1.0531694693768472,0.8531694693768472,0.8531694693768472
18,19,2,9.9,8.819808189370887,-1.0801918106291133,1.0801918106291133
19,20,2,6.2,9.592799360623259,3.3927993606232585,3.3927993606232585
20,21,2,5.1,9.75839209825608,4.65839209825608,4.65839209825608
21,22,2,3.1,7.286572432914672,4.186572432914671,4.186572432914671
22,23,2,3.1,5.529656367492014,2.4296563674920137,2.4296563674920137
23,24,2,2.5,4.105248872779322,1.6052488727793222,1.6052488727793222
24,25,2,1.6,3.2641422407916383,1.6641422407916382,1.6641422407916382
25,26,2,1.6,2.615081642578784,1.0150816425787839,1.0150816425787839
26,27,2,1.6,2.064213621375168,0.46421362137516775,0.46421362137516775
27,28,2,0.4,1.6659172756904392,1.2659172756904393,1.2659172756904393
28,29,2,0.5,1.3652258619710722,0.8652258619710722,0.8652258619710722
29,30,2,0.2,1.0798355710070437,0.8798355710070438,0.8798355710070438
18,21,4,5.1,8.66543392911273,3.5654339291127304,3.5654339291127304
19,22,4,3.1,9.459083073111705,6.359083073111705,6.359083073111705
20,23,4,3.1,9.712371019440527,6.612371019440527,6.612371019440527
21,24,4,2.5,7.9283195736461005,5.4283195736461005,5.4283195736461005
22,25,4,1.6,4.48980794093105,2.88980794093105,2.88980794093105
23,26,4,1.6,3.088556064401823,1.488556064401823,1.488556064401823
24,27,4,1.6,2.382422222608428,0.7824222226084281,0.7824222226084281
25,28,4,0.4,1.8665486584553608,1.4665486584553609,1.4665486584553609
26,29,4,0.5,1.443030610993272,0.943030610993272,0.943030610993272
27,30,4,0.2,1.15017993251456,0.9501799325145601,0.9501799325145601
