t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.0,0.012484044240641954,0.06352177692866502,train
1,0.1,0.0074338203147536865,0.019712788359328548,train
2,0.1,0.035647207606529695,0.10068446419749304,train
3,0.1,0.04286271883883179,0.09958286665471026,train
4,0.2,0.11195564400786288,0.21418559130140158,train
5,0.4,0.17266573268818153,0.2943830282125891,train
6,0.4,0.3516733907222168,0.5097501695762269,train
7,0.5,0.5768298430027472,0.7636655969478798,train
8,0.7,1.0179375680466864,1.206851188497261,train
9,0.8,1.617868377952472,1.7939701014551361,train
10,1.6,2.540539705476694,2.6424080641607053,train
11,3.4,3.7132741854199534,3.721037069549484,train
12,7.4,5.1694474634804175,5.053148276339266,train
13,7.8,6.726048821178486,6.528647126792495,train
14,7.1,8.204333844338555,8.000805594654548,train
15,8.9,9.336160602146014,9.23287954927523,train
16,9.0,9.922054888137007,9.988533402604622,train
17,9.3,9.863025491626294,10.091654889635564,train
18,10.3,9.20679368969861,9.50500189142313,validation
19,9.9,8.113487132711386,8.347651904081754,validation
20,6.2,6.793886964887307,6.851601141037478,validation
21,5.1,5.444357046017125,5.277210286216409,validation
22,3.1,4.206777584160833,3.8349690090527213,validation
23,3.1,3.158148448057733,2.6461018903414577,validation
24,2.5,2.3211015360998095,1.7453021604337113,test
25,1.6,1.6827194171801647,1.1079675431179432,test
26,1.6,1.2124334999902688,0.6815400578804376,test
27,1.6,0.8748568172768318,0.4088576583121214,test
28,0.4,0.6371294850014663,0.24069227176308772,test
29,0.5,0.47208414192339493,0.13988234854921713,test
30,0.2,0.3588590532085731,0.08072978652324231,test
