origin_end,target_t,horizon,actual,prediction,error,abs_error
18,18,1,10.3,10.448067293714335,0.14806729371433391,0.14806729371433391
19,19,1,9.9,11.027175149600046,1.1271751496000455,1.1271751496000455
20,20,1,6.2,11.54626507723322,5.3462650772332205,5.3462650772332205
21,21,1,5.1,12.00892563812318,6.908925638123181,6.908925638123181
22,22,1,3.1,7.592043750357274,4.492043750357274,4.492043750357274
23,23,1,3.1,5.496632191145167,2.396632191145167,2.396632191145167
24,24,1,2.5,4.871006036067748,2.3710060360677483,2.3710060360677483
25,25,1,1.6,4.076185870736943,2.4761858707369426,2.4761858707369426
26,26,1,1.6,3.2858491494136803,1.6858491494136802,1.6858491494136802
27,27,1,1.6,2.8947319563757006,1.2947319563757005,1.2947319563757005
28,28,1,0.4,2.539427162572248,2.139427162572248,2.139427162572248
29,29,1,0.5,1.9204063404353584,1.4204063404353584,1.4204063404353584
30,30,1,0.2,1.5829483126714439,1.382948312671444,1.382948312671444
18,19,2,9.9,9.040022155275787,-0.859977844724213,0.859977844724213
19,20,2,6.2,9.859943625432685,3.6599436254326845,3.6599436254326845
20,21,2,5.1,9.95938026256228,4.859380262562281,4.859380262562281
21,22,2,3.1,8.904152279802238,5.8041522798022385,5.8041522798022385
22,23,2,3.1,5.0856314134608676,1.9856314134608675,1.9856314134608675
23,24,2,2.5,3.7079683458563006,1.2079683458563006,1.2079683458563006
24,25,2,1.6,2.9445730998492126,1.3445730998492125,1.3445730998492125
25,26,2,1.6,2.3234578455132344,0.7234578455132343,0.7234578455132343
26,27,2,1.6,1.811814072836329,0.21181407283632891,0.21181407283632891
27,28,2,0.4,1.435990433777026,1.0359904337770258,1.0359904337770258
28,29,2,0.5,1.1479389284880783,0.6479389284880783,0.6479389284880783
29,30,2,0.2,0.8916738719992919,0.6916738719992919,0.6916738719992919
18,21,4,5.1,9.425225646413951,4.325225646413951,4.325225646413951
19,22,4,3.1,9.880807789820498,6.780807789820498,6.780807789820498
20,23,4,3.1,9.855510499989062,6.755510499989063,6.755510499989063
21,24,4,2.5,7.840861367579803,5.340861367579803,5.340861367579803
22,25,4,1.6,7.647550880042246,6.047550880042246,6.047550880042246
23,26,4,1.6,7.456881396306378,5.8568813963063775,5.8568813963063775
24,27,4,1.6,2.47904647159719,0.87904647159719,0.87904647159719
25,28,4,0.4,1.8815887536858362,1.4815887536858363,1.4815887536858363
26,29,4,0.5,1.5840920439161938,1.0840920439161938,1.0840920439161938
27,30,4,0.2,1.1270631881191329,0.9270631881191329,0.9270631881191329
