origin_end,target_t,horizon,actual,prediction,error,abs_error
18,18,1,42.6,44.489836105536675,1.8898361055366735,1.8898361055366735
19,19,1,34.2,47.48408120396676,13.284081203966757,13.284081203966757
20,20,1,27.8,39.725677122741175,11.925677122741174,11.925677122741174
21,21,1,21.7,26.327234537072247,4.627234537072248,4.627234537072248
22,22,1,15.7,23.975177078590857,8.275177078590858,8.275177078590858
23,23,1,12.4,15.357664796022345,2.9576647960223443,2.9576647960223443
24,24,1,8.8,11.831109018042266,3.0311090180422653,3.0311090180422653
25,25,1,6.4,8.912603893551363,2.512603893551363,2.512603893551363
26,26,1,4.4,6.607115926157184,2.2071159261571838,2.2071159261571838
27,27,1,3.1,4.718232923301843,1.6182329233018433,1.6182329233018433
28,28,1,2.6,3.3144903616409045,0.7144903616409044,0.7144903616409044
29,29,1,2.0,2.461841605524282,0.461841605524282,0.461841605524282
30,30,1,0.8,1.8516950881415029,1.0516950881415028,1.0516950881415028
18,19,2,34.2,53.74370590727088,19.543705907270876,19.543705907270876
19,20,2,27.8,49.416005363754955,21.616005363754955,21.616005363754955
20,21,2,21.7,24.04131205989289,2.341312059892889,2.341312059892889
21,22,2,15.7,24.6259209616644,8.9259209616644,8.9259209616644
22,23,2,12.4,22.028464228172496,9.628464228172495,9.628464228172495
23,24,2,8.8,17.585102909635367,8.785102909635366,8.785102909635366
24,25,2,6.4,12.549998462238888,6.149998462238887,6.149998462238887
25,26,2,4.4,8.80474506581883,4.40474506581883,4.40474506581883
26,27,2,3.1,5.57247235550582,2.4724723555058197,2.4724723555058197
27,28,2,2.6,3.8723520335801758,1.2723520335801757,1.2723520335801757
28,29,2,2.0,2.638822951653171,0.6388229516531712,0.6388229516531712
29,30,2,0.8,1.9430746235589407,1.1430746235589406,1.1430746235589406
18,21,4,21.7,74.93662424397266,53.236624243972656,53.236624243972656
19,22,4,15.7,73.69587042490198,57.99587042490198,57.99587042490198
20,23,4,12.4,15.70601247168124,3.306012471681239,3.306012471681239
21,24,4,8.8,20.41889059125007,11.618890591250068,11.618890591250068
22,25,4,6.4,17.22193220802346,10.82193220802346,10.82193220802346
23,26,4,4.4,10.752090982678467,6.352090982678467,6.352090982678467
24,27,4,3.1,8.05109149448717,4.951091494487171,4.951091494487171
25,28,4,2.6,5.87214470655693,3.27214470655693,3.27214470655693
26,29,4,2.0,4.147112032620363,2.147112032620363,2.147112032620363
27,30,4,0.8,2.717124601634418,1.917124601634418,1.917124601634418
