t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.3,0.45120919233550066,0.17921225364403334,train
1,0.4,0.3790566214759815,0.40785036237840766,train
2,0.6,0.36104581546107894,0.3029206608281975,train
3,0.7,0.4517230717351427,0.7045684082838735,train
4,0.6,0.592356084264183,0.6568687625350371,train
5,0.8,0.9581920719849752,1.4104112579246117,train
6,1.1,1.4055977066075074,1.532887939616856,train
7,1.5,2.387981138165429,3.001851144086132,train
8,1.7,3.49910326048592,3.587789404084325,train
9,3.6,5.782715390912709,6.393932732889251,train
10,5.7,8.12319303235697,7.99610198258739,train
11,10.4,12.60066505053033,12.871544986522444,train
12,22.9,16.52056863952256,16.0765266313189,train
13,31.5,23.342527585397495,23.032717375092925,train
14,25.8,27.85667604934856,27.440489193825616,train
15,27.0,34.82575179450545,34.29569253231445,train
16,32.7,36.99920296051629,37.305112151552066,train
17,43.9,39.98952739631578,39.925046212860586,train
18,42.6,37.34015619538967,38.3069512938622,validation
19,34.2,34.6175472181026,34.842366962146734,validation
20,27.8,28.52337236977634,29.00665932352094,validation
21,21.7,23.028853829632233,22.621915801725564,validation
22,15.7,17.13647526653153,16.4330098058144,validation
23,12.4,12.491170917950795,11.254347001238314,validation
24,8.8,8.693805421703248,7.30816985217491,test
25,6.4,5.970569850467394,4.542734442400287,test
26,4.4,4.015842605756805,2.7248445324535395,test
27,3.1,2.6847242764864268,1.5895965774031457,test
28,2.6,1.781348151374881,0.9078960368838281,test
29,2.0,1.1794670541840915,0.5104820748807593,test
30,0.8,0.7791348257745405,0.2837910961520838,test
