origin_end,target_t,horizon,actual,prediction,error,abs_error
18,18,1,42.6,34.591591174145776,-8.008408825854225,8.008408825854225
19,19,1,34.2,46.02928142173338,11.829281421733377,11.829281421733377
20,20,1,27.8,36.36661708506725,8.566617085067247,8.566617085067247
21,21,1,21.7,32.84964930832254,11.149649308322541,11.149649308322541
22,22,1,15.7,28.283315588145268,12.583315588145268,12.583315588145268
23,23,1,12.4,22.078799775576933,9.678799775576932,9.678799775576932
24,24,1,8.8,16.909980135579595,8.109980135579594,8.109980135579594
25,25,1,6.4,13.359312007797643,6.959312007797642,6.959312007797642
26,26,1,4.4,11.697520752534457,7.2975207525344565,7.2975207525344565
27,27,1,3.1,10.204332017159958,7.104332017159958,7.104332017159958
28,28,1,2.6,8.872614558470394,6.272614558470394,6.272614558470394
29,29,1,2.0,5.372887444499243,3.372887444499243,3.372887444499243
30,30,1,0.8,4.246870978067343,3.446870978067343,3.446870978067343
18,19,2,34.2,50.43510488195378,16.235104881953774,16.235104881953774
19,20,2,27.8,60.818891939768136,33.01889193976814,33.01889193976814
20,21,2,21.7,39.28083802896072,17.580838028960724,17.580838028960724
21,22,2,15.7,29.33076437262855,13.630764372628551,13.630764372628551
22,23,2,12.4,29.576111560951837,17.17611156095184,17.17611156095184
23,24,2,8.8,28.88948310857745,20.08948310857745,20.08948310857745
24,25,2,6.4,28.20327914900698,21.803279149006983,21.803279149006983
25,26,2,4.4,33.950766635441596,29.550766635441597,29.550766635441597
26,27,2,3.1,-1.5650044325060064,-4.665004432506007,4.665004432506007
27,28,2,2.6,291.6282740252182,289.0282740252182,289.0282740252182
28,29,2,2.0,428.97288684020543,426.97288684020543,426.97288684020543
29,30,2,0.8,-37256.61229451465,-37257.41229451465,37257.41229451465
18,21,4,21.7,47.184709127971246,25.484709127971247,25.484709127971247
19,22,4,15.7,43.06104426868871,27.361044268688712,27.361044268688712
20,23,4,12.4,52.790487887120754,40.390487887120756,40.390487887120756
21,24,4,8.8,46.27432539042374,37.47432539042374,37.47432539042374
22,25,4,6.4,52.764288053382685,46.36428805338269,46.36428805338269
23,26,4,4.4,52.33178410376559,47.931784103765594,47.931784103765594
24,27,4,3.1,52.67287021210476,49.57287021210476,49.57287021210476
25,28,4,2.6,34.429520665181464,31.829520665181462,31.829520665181462
26,29,4,2.0,30.121281772697955,28.121281772697955,28.121281772697955
27,30,4,0.8,30.00510727849321,29.20510727849321,29.20510727849321
