origin_end,target_t,horizon,actual,prediction,error,abs_error
18,18,1,13.5,11.874521071808482,-1.6254789281915176,1.6254789281915176
19,19,1,10.6,13.174043216872658,2.574043216872658,2.574043216872658
20,20,1,8.4,11.987429383603478,3.587429383603478,3.587429383603478
21,21,1,6.7,8.104879481541532,1.4048794815415322,1.4048794815415322
22,22,1,4.8,5.49703406846486,0.6970340684648599,0.6970340684648599
23,23,1,3.8,3.679845201677148,-0.1201547983228517,0.1201547983228517
24,24,1,2.6,2.606356764444308,0.006356764444308105,0.006356764444308105
25,25,1,2.0,1.7719316085084222,-0.22806839149157776,0.22806839149157776
26,26,1,1.6,1.2459878591649582,-0.35401214083504184,0.35401214083504184
27,27,1,1.1,0.9804847115732269,-0.11951528842677317,0.11951528842677317
28,28,1,0.8,0.6982066356177966,-0.10179336438220343,0.10179336438220343
29,29,1,0.7,0.49521983973986483,-0.20478016026013512,0.20478016026013512
30,30,1,0.3,0.3558686264748498,0.0558686264748498,0.0558686264748498
18,19,2,10.6,12.01497491358278,1.41497491358278,1.41497491358278
19,20,2,8.4,13.37339514456278,4.9733951445627795,4.9733951445627795
20,21,2,6.7,11.97665659023198,5.276656590231981,5.276656590231981
21,22,2,4.8,6.3335829212604695,1.5335829212604697,1.5335829212604697
22,23,2,3.8,4.091752622621042,0.2917526226210425,0.2917526226210425
23,24,2,2.6,2.542296987769193,-0.057703012230807094,0.057703012230807094
24,25,2,2.0,1.7650953900524387,-0.23490460994756135,0.23490460994756135
25,26,2,1.6,1.1727921727630308,-0.42720782723696926,0.42720782723696926
26,27,2,1.1,0.8117975764937391,-0.288202423506261,0.288202423506261
27,28,2,0.8,0.6908174015350472,-0.10918259846495282,0.10918259846495282
28,29,2,0.7,0.4913999155304454,-0.20860008446955458,0.20860008446955458
29,30,2,0.3,0.3506617453602465,0.050661745360246535,0.050661745360246535
18,21,4,6.7,12.04460698528193,5.3446069852819305,5.3446069852819305
19,22,4,4.8,13.591091866545266,8.791091866545266,8.791091866545266
20,23,4,3.8,11.908846707321745,8.108846707321746,8.108846707321746
21,24,4,2.6,4.0580379428716,1.4580379428716,1.4580379428716
22,25,4,2.0,2.0917551675199224,0.09175516751992241,0.09175516751992241
23,26,4,1.6,1.1091781143747226,-0.4908218856252775,0.4908218856252775
24,27,4,1.1,0.7526996333105905,-0.34730036668940956,0.34730036668940956
25,28,4,0.8,0.4827674093331931,-0.3172325906668069,0.3172325906668069
26,29,4,0.7,0.34666149133423363,-0.3533385086657663,0.3533385086657663
27,30,4,0.3,0.3425618288781044,0.04256182887810439,0.04256182887810439
