t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.006966439604989893,0.091796383366141,train
1,0.1,0.03021491363308413,0.04930631429102148,train
2,0.2,0.029423561279380197,0.13986765980414678,train
3,0.2,0.09289698223469489,0.14968940732017583,train
4,0.2,0.10959567569688279,0.2778872524696046,train
5,0.3,0.2788193061279084,0.3764656443141862,train
6,0.4,0.36611819689568637,0.6163991817336216,train
7,0.5,0.785704384013564,0.9001026094276506,train
8,0.6,1.0787593021013673,1.3904071660354824,train
9,1.2,1.9950743391442767,2.0370076060869087,train
10,2.1,2.723550890532488,2.9867680741703695,train
11,3.8,4.37077666637491,4.206342179604056,train
12,7.7,5.683839129028266,5.760172118499465,train
13,10.1,7.900315699736289,7.532389790125988,train
14,8.4,9.438074649740521,9.387979118562125,train
15,9.2,11.307326258899375,11.039147605938632,train
16,10.9,12.079423305034071,12.184925785035835,train
17,13.4,12.463253147189684,12.553342307631493,train
18,13.5,11.754522051316906,12.035758922043948,validation
19,10.6,10.541396303835118,10.726329280055113,validation
20,8.4,8.815743594139274,8.894648140435084,validation
21,6.7,7.0179201351838705,6.881875180677269,validation
22,4.8,5.309576206765677,4.989115268070071,validation
23,3.8,3.868750550320197,3.407261085042116,validation
24,2.6,2.7316901070271866,2.2057191086059524,test
25,2.0,1.8899575821432735,1.3628392404889673,test
26,1.6,1.2929848035233973,0.8097072420485681,test
27,1.1,0.8839337350056763,0.466356291816436,test
28,0.8,0.6098315923679396,0.26273403687964947,test
29,0.7,0.42881701352815105,0.14628897605470936,test
30,0.3,0.3101809961891594,0.0814993104016751,test
