origin_end,target_t,horizon,actual,prediction,error,abs_error
18,18,1,13.5,11.844458240606517,-1.6555417593934827,1.6555417593934827
19,19,1,10.6,12.857321787039004,2.257321787039004,2.257321787039004
20,20,1,8.4,13.08541112801628,4.6854111280162805,4.6854111280162805
21,21,1,6.7,12.555793344733738,5.855793344733738,5.855793344733738
22,22,1,4.8,11.970932248030197,7.170932248030197,7.170932248030197
23,23,1,3.8,11.25099446446534,7.45099446446534,7.45099446446534
24,24,1,2.6,11.095296055284125,8.495296055284125,8.495296055284125
25,25,1,2.0,9.53261455582169,7.53261455582169,7.53261455582169
26,26,1,1.6,8.64387140552317,7.04387140552317,7.04387140552317
27,27,1,1.1,8.022273519343305,6.922273519343305,6.922273519343305
28,28,1,0.8,7.32541087645732,6.52541087645732,6.52541087645732
29,29,1,0.7,6.711942244257736,6.011942244257736,6.011942244257736
30,30,1,0.3,6.263491286021183,5.963491286021183,5.963491286021183
18,19,2,10.6,12.61888716931128,2.018887169311281,2.018887169311281
19,20,2,8.4,14.043907607318737,5.643907607318736,5.643907607318736
20,21,2,6.7,12.224737694873909,5.524737694873909,5.524737694873909
21,22,2,4.8,10.440201025510705,5.640201025510705,5.640201025510705
22,23,2,3.8,8.46940478750361,4.66940478750361,4.66940478750361
23,24,2,2.6,6.820159193195822,4.220159193195823,4.220159193195823
24,25,2,2.0,5.362947841510123,3.362947841510123,3.362947841510123
25,26,2,1.6,4.166942137919752,2.5669421379197517,2.5669421379197517
26,27,2,1.1,3.1771962262154174,2.0771962262154173,2.0771962262154173
27,28,2,0.8,2.564183404380941,1.764183404380941,1.764183404380941
28,29,2,0.7,2.153719823992047,1.4537198239920472,1.4537198239920472
29,30,2,0.3,1.844760440440349,1.544760440440349,1.544760440440349
18,21,4,6.7,13.473969010101124,6.773969010101124,6.773969010101124
19,22,4,4.8,15.336578137698465,10.536578137698466,10.536578137698466
20,23,4,3.8,12.740910819833347,8.940910819833348,8.940910819833348
21,24,4,2.6,9.865874439438764,7.265874439438765,7.265874439438765
22,25,4,2.0,6.588923955606863,4.588923955606863,4.588923955606863
23,26,4,1.6,3.7256723507818363,2.1256723507818363,2.1256723507818363
24,27,4,1.1,1.886287288021822,0.7862872880218219,0.7862872880218219
25,28,4,0.8,1.5415300528942,0.7415300528941999,0.7415300528941999
26,29,4,0.7,1.2684437039388081,0.5684437039388082,0.5684437039388082
27,30,4,0.3,1.1000263309327027,0.8000263309327027,0.8000263309327027
