series_name,model_name,interval_level,nominal_coverage,empirical_coverage,coverage_gap,average_interval_width,negative_log_likelihood,uncertainty_method,uncertainty_draws,interval_calibration_method,split,calibration_kind,interval_calibration_scale,artifact_dir
2018-19 / 0-4 yr,probabilistic_seir,50,0.5,0.0,-0.5,0.4785804006096997,40.554994064539464,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2018_19___0_4_yr\probabilistic_seir
2018-19 / 0-4 yr,probabilistic_seir,80,0.8,0.0,-0.8,0.9593922324104118,40.554994064539464,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2018_19___0_4_yr\probabilistic_seir
2018-19 / 0-4 yr,probabilistic_seir,95,0.95,0.0,-0.95,1.26475608511244,40.554994064539464,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2018_19___0_4_yr\probabilistic_seir
2018-19 / >= 65 yr,probabilistic_seir,50,0.5,0.0,-0.5,3.677169696503803,106.93663140517263,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2018_19___ge__65_yr\probabilistic_seir
2018-19 / >= 65 yr,probabilistic_seir,80,0.8,0.0,-0.8,9.701470616057241,106.93663140517263,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2018_19___ge__65_yr\probabilistic_seir
2018-19 / >= 65 yr,probabilistic_seir,95,0.95,0.0,-0.95,21.136238747269527,106.93663140517263,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2018_19___ge__65_yr\probabilistic_seir
2018-19 / Overall,probabilistic_seir,50,0.5,0.0,-0.5,10.578334366064833,70.76540286003535,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2018_19___overall\probabilistic_seir
2018-19 / Overall,probabilistic_seir,80,0.8,0.14285714285714285,-0.6571428571428573,48.141126570221125,70.76540286003535,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2018_19___overall\probabilistic_seir
2018-19 / Overall,probabilistic_seir,95,0.95,0.2857142857142857,-0.6642857142857143,120.06554170661222,70.76540286003535,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2018_19___overall\probabilistic_seir
2019-20 / 0-4 yr,probabilistic_seir,50,0.5,0.0,-0.5,1.2500009063412478,17.380872510604853,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2019_20___0_4_yr\probabilistic_seir
2019-20 / 0-4 yr,probabilistic_seir,80,0.8,0.14285714285714285,-0.6571428571428573,1.8865054582019631,17.380872510604853,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2019_20___0_4_yr\probabilistic_seir
2019-20 / 0-4 yr,probabilistic_seir,95,0.95,0.14285714285714285,-0.8071428571428572,2.3807130833638763,17.380872510604853,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2019_20___0_4_yr\probabilistic_seir
2019-20 / >= 65 yr,probabilistic_seir,50,0.5,0.0,-0.5,1.5006386024973628,70.23199984325453,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2019_20___ge__65_yr\probabilistic_seir
2019-20 / >= 65 yr,probabilistic_seir,80,0.8,0.0,-0.8,2.750438006009908,70.23199984325453,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2019_20___ge__65_yr\probabilistic_seir
